text,start,duration,end,dominant_emotion
about 50% of diabetics are not presently being screened in a timely fashion so often it goes undiagnosed and this is the big challenge for the healthcare system is to figure out more efficient,4.5,31.05,35.55,neutral
ways to get patients screened presently they need to make an appointment with an ophthalmologist which tends to be a barrier to care because just another appointment these diabetics have to go,20.34,22.799000000000003,43.139,neutral
to they're already seeing many doctors whether it be for kidney problems or just general care and the last thing they want to do is go see an eye doctor and they're not having any symptoms,32.489,17.731,50.22,neutral
that's why what's really starting to become a standard treatment is this idea of screening patients in the primary care doctors office or the diet ologist office with cameras and that's really,41.25,24.270000000000003,65.52000000000001,neutral
kind of becoming the norm it's a way to screen diabetics one takes a picture of their back of their eye those pictures are typically read by a retina specialist in the future,52.35,22.587999999999997,74.938,neutral
augmented intelligence is going to be reading those as well so we're able to screen a lot more patients in a much more patient friendly manner turna they're not having to show,64.229,17.852,82.081,neutral
up to another doctor having to pay another copay these things tend to be barriers to care or as screening programs in the primary care doctors offices are becoming more and more,73.77,24.419999999999998,98.19,neutral
commonplace I know in the city I work and it really has become the standard way to screen many diabetics that presently are not being screened with their own general ophthalmologists or,85.2,20.970000000000002,106.17,neutral
optometrists wherever they're high care specialists is so I think in the future because there's such an epidemic there such an increase in the number of diabetics the only way they're all gonna,96.6,20.04,116.63999999999999,neutral
be able to be screened is through these larger screening programs using technology using cameras in primary care doctors offices to screen these patients those that have disease then are sent to,106.53,25.589000000000002,132.119,neutral
the eye care specialist who specializes in managing diabetic eye disease and that way they're taking care of those patients their clinics aren't clogged up by screening patients because they're,118.74,21.810000000000002,140.55,neutral
already being screened so we as the retina surgeons are able to manage the patients that actually have disease so everyone wins in that situation so I think you're gonna see more and more of,130.11,18.750999999999998,148.86100000000002,neutral
what's term telemedicine or tell a retinal screening goes by several names and it's really a very cost efficient way to screen patients and to prevent them from having vision loss typically,139.41,21.27,160.68,neutral
patients as mentioned ideally we want to see them before they have any signs and symptoms but patients if they start developing gradual visual blurring those that have diabetic macular oedema tend,149.67,22.229999999999997,171.89999999999998,neutral
to get gradual loss and vision central vision in in one eye or both eyes at a time often pages will present with a sudden onset of floaters which is a very common symptom however in diabetics,160.65,24.78,185.43,neutral
there's always a concern that those floaters are caused by hemorrhaging or bleeding it in the bet in the back of the eye and the vitreous cavity which can cause these floaters sometimes,173.73,16.559,190.289,neutral
patients will present with a sudden vision loss due to a large vitreous hemorrhage which can cause dramatic drop in vision in a matter of seconds or minutes where patients say hey I saw a,182.069,20.911,202.98,neutral
shower of floaters and they increase and suddenly everything was very hazy and it happened maybe I woke up with no vision of my eye or or they were doing something outside and they started,192.06,20.55,212.61,neutral
noticing a bunch of stuff floating in their vision and it started clouding up and that's a typical vitreous hemorrhage will cause that type of symptoms whereas the diabetic macular edema is a much,202.86,18.089,220.949,neutral
more gradual loss of vision of central blurring without associated vitreous hemorrhage some studies there's a lot of data out there some people believe that about 10% of diabetics will lose their,211.53,23.549,235.079,neutral
vision recent studies suggest that that numbers increasing because patients are not getting timely care with the increased number of diabetic patients in the,224.129,23.341,247.47,neutral
limited healthcare access to health care we're seeing more and more patients treated later in their disease which is tragic because we actually have better treatments today than we've ever had and,234.33,21.180999999999997,255.51100000000002,neutral
those that get timely care we can prevent them from losing any vision,244.98,10.088000000000001,255.06799999999998,neutral
