text,start,duration,end,dominant_emotion
so penelope you came in off a neuropathy,1.439,3.281,4.720000000000001,happy
uh,3.84,3.76,7.6,happy
advertisement i think uh yes you saw,4.72,3.28,8.0,happy
this,7.6,2.16,9.76,happy
and you were a teacher by trade and you,8.0,4.16,12.16,happy
liked you liked things yes,9.76,6.079,15.838999999999999,happy
i was but i changed careers many moons,12.16,4.48,16.64,happy
ago,15.839,2.241,18.080000000000002,happy
how much better do your feet feel you,16.64,3.52,20.16,happy
were having burning and numbness how,18.08,3.119,21.198999999999998,happy
much better are you now after a,20.16,2.24,22.4,happy
neuropathy program,21.199,4.641,25.840000000000003,happy
wow uh 90 percent better,22.4,7.76,30.159999999999997,
at least i'd say my legs don't move like,25.84,5.599,31.439,
they were,30.16,5.44,35.6,
my feet don't tingle the same way,31.439,7.041,38.480000000000004,
there's still a little bit but nothing,35.6,5.2,40.800000000000004,neutral
like it was when i first came in,38.48,6.239,44.718999999999994,
absolutely nothing so i really responded,40.8,7.68,48.48,
to uh the treatment very well,44.719,6.801,51.52,
and um i,48.48,7.36,55.839999999999996,happy
well i'm still sort of in it um,51.52,7.44,58.96,happy
on reduced visits but,55.84,5.92,61.760000000000005,happy
it was extremely helpful and i would,58.96,5.36,64.32000000000001,neutral
definitely recommend this for anybody,61.76,4.719,66.479,happy
well thank you for being such a great,64.32,3.92,68.24,happy
patient and,66.479,4.96,71.439,happy
for all the good things you say so well,68.24,6.72,74.96,happy
i don't see them unless i mean them so,71.439,8.0,79.439,happy
wonderful well thank you,74.96,4.479,79.439,happy
