text,start,duration,end,dominant_emotion
hello hello and welcome back thank you,0.03,5.49,5.5200000000000005,neutral
so much for all the love and support and,3.84,3.9,7.74,neutral
all the beautiful comments if you need,5.52,4.8,10.32,neutral
to my channel welcome my name is Blanca,7.74,5.34,13.08,neutral
don't forget to subscribe like and,10.32,3.39,13.71,neutral
comment,13.08,2.79,15.870000000000001,neutral
try and post notifications so you don't,13.71,4.909,18.619,neutral
miss any of my videos or when I go live,15.87,8.39,24.259999999999998,neutral
so today I came to do my glucose test,18.619,8.381,27.0,neutral
it's like where I have to drink,24.26,5.89,30.150000000000002,neutral
something I'm not so excited as you guys,27.0,5.73,32.730000000000004,neutral
see I just woke up like literally like,30.15,3.78,33.93,neutral
five minutes ago,32.73,5.399,38.129,neutral
so yes it's how I look when I wake up so,33.93,8.52,42.45,neutral
I'm gonna see how it goes I have to wait,38.129,8.371,46.5,neutral
an hour to I don't know,42.45,6.66,49.11,neutral
I forgot how it goes but yeah so pretty,46.5,6.12,52.62,neutral
much I'm in the parking lot and yeah and,49.11,4.44,53.55,neutral
I hope everybody's having a wonderful,52.62,3.84,56.459999999999994,neutral
day a wonderful night so let's go do,53.55,5.189,58.739,neutral
this and get this over with,56.46,8.159,64.619,neutral
I am 27 weeks today so it's you're,58.739,9.751,68.49,neutral
supposed to do it between 20 26 or 25,64.619,7.351,71.97,neutral
and 28 weeks so so yes so all right,68.49,5.16,73.64999999999999,neutral
let's do this hopefully I get a good,71.97,3.45,75.42,neutral
drink cause last time I drink it it,73.65,4.02,77.67,neutral
wasn't too bad so let's see the only,75.42,5.64,81.06,fear
thing I hate it's my blood taken out I,77.67,6.3,83.97,neutral
don't like I don't like it I hate,81.06,3.54,84.60000000000001,neutral
needles,83.97,3.45,87.42,neutral
I know isn't that crazy alright let's,84.6,5.309,89.90899999999999,neutral
good let's get started and we'll see you,87.42,5.809,93.229,neutral
guys over there let's go see,89.909,3.32,93.229,neutral
I should just,113.979,4.341,118.32,fear
now,127.79,2.84,130.63,sad
all right I just finished everything,157.269,7.241,164.51,neutral
went good that I was gonna be more hard,160.37,7.259,167.62900000000002,neutral
I don't like when they take blood but,164.51,10.009,174.519,fear
now I get to go sleepy to go take a nap,167.629,6.89,174.51899999999998,fear
but yes so the drink is you guys see I,174.84,6.19,181.03,fear
gotta like them my first time when I,178.93,9.39,188.32,neutral
took there it was um it was orange this,181.03,9.36,190.39,neutral
one was fruit punch it was actually,188.32,5.55,193.87,fear
really good not bad yeah you had to,190.39,6.03,196.42,fear
drink you I wouldn't fight minute wasn't,193.87,6.32,200.19,fear
that crazy but yeah so now going home,196.42,6.09,202.51,neutral
messy okay,200.19,6.16,206.35,neutral
messy care don't care all right thank,202.51,6.35,208.85999999999999,fear
you everyone much left to everyone a,206.35,5.22,211.57,neutral
wonderful day or night see until my next,208.86,7.12,215.98000000000002,neutral
video keep you guys posted everything,211.57,14.54,226.10999999999999,neutral
goes I still have that taste bye Oh,215.98,10.13,226.10999999999999,neutral
