text,start,duration,end,dominant_emotion
"Dr. Timothy Jackson: As a surgeon at the Toronto
Western Hospital bariatric clinic, I’d like",8.24,3.38,11.620000000000001,fear
"to talk to you about the types of weight loss
surgeries that are currently performed in",11.62,3.479,15.099,fear
"our clinic: The Roux-en-Y gastric bypass,
also called the “Roux-en-Y”, and the sleeve",15.099,5.741,20.84,angry
"gastrectomy, also called the “sleeve”.",20.84,2.77,23.61,happy
"Both have been proven to be effective treatments
for morbid obesity.",23.61,3.48,27.09,fear
"Each takes a few hours to perform, and requires
a short hospital stay.",27.09,4.95,32.04,fear
"Research shows that the Roux-en-Y is the current
gold standard which means it has the best",32.04,4.409,36.449,fear
weight loss and health benefits.,36.449,1.981,38.43,fear
"Let me show you more about the Roux-en-Y surgery
that we perform.",38.43,3.269,41.699,fear
"To gain access to the abdominal
cavity, small incisions are created on the",41.699,4.93,46.629,fear
abdomen.,46.629,1.371,48.0,
"Trocars, which serve as passageways for the
surgical instruments, are placed into the",48.0,5.46,53.46,
incisions.,53.46,1.59,55.050000000000004,
"The surgical instruments are passed through
the trocars to access the abdominal cavity.",55.05,6.259,61.309,
"The surgeon observes the abdominal cavity
using a laparoscope, or video camera.",61.309,7.831,69.14,
"A small stomach pouch is created using a stapling
device.",69.14,10.66,79.8,
"The small intestine is separated into two
sections, the lower portion of the small intestine",79.8,8.41,88.21,
is attached to the newly created stomach pouch.,88.21,3.79,92.0,
"This allows food to pass directly into the
small intestine where digestion continues.",92.0,5.78,97.78,
"The upper portion of the small intestine is
reconnected to the lower part of the intestine.",97.78,5.64,103.42,
"The bile and pancreatic fluids from the liver
and pancreas allow for food to be completely",103.42,4.909,108.32900000000001,
digested.,108.329,1.68,110.009,
"By altering the anatomy of the gastro-intestinal
tract, gastric bypass changes signals in the",110.009,5.53,115.539,
"body, resulting in decreased hunger and increased
feelings of fullness after meals.",115.539,5.18,120.719,
"Dr. Timothy Jackson: As I mentioned before,
the Roux-en-Y is considered the gold standard",120.719,4.661,125.38,
in weight loss surgery.,125.38,1.619,126.999,angry
"In some cases there is another surgery we
do, called the “Sleeve”.",126.999,2.342,129.341,fear
"Just like in the Roux-en-Y surgery,
trocars are placed to gain access to the abdominal",129.341,7.159,136.5,
"cavity, and the abdomen is viewed laparoscopically.",136.5,4.19,140.69,
"The average human stomach can expand to hold
around 1 to 1.5 litres of food.",140.69,5.85,146.54,
"While in the stomach, food is mixed with digestive
enzymes to help break down the food to a more",146.54,5.65,152.19,
"simple form, so that it can be more easily
digested and absorbed when it is in the small",152.19,5.56,157.75,
bowel.,157.75,1.5,159.25,
"During a sleeve gastectomy, a thin vertical
sleeve is created by using a stapling device.",159.25,6.54,165.79,
"This sleeve will typically hold between 50
and 150 millilitres, or be about the size",165.79,6.16,171.95,
of a banana.,171.95,1.86,173.81,
The excised portion of the stomach is removed.,173.81,3.03,176.84,
"This results in decreased hunger and increased
feelings of fullness after meals.",176.84,5.39,182.23,
"The bile and pancreatic fluids from the liver
and pancreas mix with the food, and allow",182.23,5.46,187.69,
"it to be completely digested and absorbed
in the bowel.",187.69,3.84,191.53,
"There is no re-routing of the small bowel
needed for the sleeve gastrectomy.",191.53,3.82,195.35,
"As with all weight loss
surgeries, success depends on making lifelong",195.35,5.96,201.31,
changes to your eating and exercise habits.,201.31,3.42,204.73,fear
All surgery has risks.,204.73,1.92,206.64999999999998,angry
"Your weight, age, and medical history and
other factors determine your specific risk.",206.65,4.81,211.46,fear
