text,start,duration,end,dominant_emotion
now's a great opportunity for you to,5.52,3.119,8.639,fear
take a look at this disease,7.2,3.2,10.4,angry
as something you can live with how it,8.639,3.201,11.84,fear
can actually make you healthier because,10.4,2.8,13.2,fear
you're going to have a different focus,11.84,3.12,14.96,fear
on diet and exercise now,13.2,4.24,17.439999999999998,fear
to me i really talk about how diabetes,14.96,4.079,19.039,fear
can really be the opportunity for you to,17.44,3.04,20.48,fear
get healthier,19.039,4.08,23.119,fear
for me being diagnosed with diabetes it,20.48,3.12,23.6,fear
drawn,23.119,3.601,26.72,fear
it drew me more to what can i do how can,23.6,4.72,28.32,fear
i have a healthier diet,26.72,3.52,30.24,fear
eat more fruits and vegetables drink,28.32,3.039,31.359,fear
more water,30.24,3.12,33.36,fear
it helps me to remember my focus on,31.359,4.081,35.440000000000005,fear
exercise because exercise burns blood,33.36,2.8,36.16,fear
sugar,35.44,3.68,39.12,fear
get out be active if you've never had an,36.16,4.559,40.718999999999994,fear
exercise routine before,39.12,3.84,42.959999999999994,fear
now's a great time to start go ahead and,40.719,3.921,44.64,fear
take the walk around the block,42.96,4.079,47.039,angry
go for a walk over your lunch hour if,44.64,4.079,48.719,angry
you really want to join a gym and do,47.039,2.321,49.36,angry
that,48.719,3.201,51.92,angry
do that find something you enjoy the,49.36,3.519,52.879,angry
best thing you're going to do for,51.92,1.76,53.68,angry
yourself,52.879,2.401,55.28,fear
is to be active in something that you,53.68,3.359,57.039,fear
enjoy doing,55.28,4.48,59.760000000000005,fear
if you're someone that only drinks soda,57.039,4.081,61.120000000000005,fear
stop drinking soda,59.76,4.16,63.92,fear
stop drinking juices stop drinking sugar,61.12,3.84,64.96,fear
sweetened drinks,63.92,2.96,66.88,fear
start drinking more water the next thing,64.96,3.199,68.15899999999999,angry
i would encourage you to do is to,66.88,2.559,69.439,angry
schedule an appointment with one of the,68.159,2.241,70.4,neutral
educators,69.439,3.441,72.88,neutral
we can help put this all in perspective,70.4,4.16,74.56,neutral
it's really hard when you're going on,72.88,3.2,76.08,neutral
websites and you're looking around and,74.56,2.96,77.52,neutral
you're getting information,76.08,3.359,79.439,surprise
from your aunt or your uncle or your,77.52,3.52,81.03999999999999,angry
neighbor and everyone's telling you the,79.439,3.281,82.72,angry
bad stuff and the good stuff,81.04,4.48,85.52000000000001,fear
what you can and can't do find a trained,82.72,3.28,86.0,fear
educator,85.52,2.16,87.67999999999999,fear
that's going to be able to put that,86.0,3.68,89.68,fear
together for you in your life,87.68,3.52,91.2,fear
we can make this something you can live,89.68,3.68,93.36000000000001,neutral
with,91.2,2.16,93.36,
many people diagnosed with diabetes ask,96.799,4.801,101.60000000000001,fear
why should i test my blood sugar,98.88,4.879,103.759,fear
to me i don't think i really know how i,101.6,3.92,105.52,fear
feel unless i've tested i look at,103.759,2.881,106.64,fear
testing,105.52,3.04,108.56,fear
as kind of your speedometer you don't,106.64,3.68,110.32000000000001,fear
really know how fast or slow you're,108.56,3.199,111.759,fear
going unless you're actually looking,110.32,1.92,112.24,fear
down,111.759,2.081,113.84,fear
you can be driving in traffic and,112.24,2.879,115.119,fear
believe that you're going the speed,113.84,1.84,115.68,fear
limit,115.119,2.0,117.119,neutral
but actually when you look down you,115.68,3.6,119.28,neutral
recognize that maybe you're 10 15 even,117.119,3.921,121.04,angry
20 miles an hour over,119.28,3.6,122.88,angry
you felt fine because everyone else was,121.04,3.359,124.399,angry
driving that speed limit,122.88,2.96,125.83999999999999,angry
the same can be said for your blood,124.399,3.601,128.0,angry
sugar we get used to how we feel,125.84,4.72,130.56,fear
on a day-to-day basis if we don't test,128.0,3.68,131.68,fear
our blood sugar,130.56,3.039,133.599,fear
we may not even recognize that our,131.68,3.6,135.28,fear
numbers are higher or lower than they're,133.599,2.801,136.39999999999998,fear
supposed to be,135.28,3.28,138.56,fear
testing is a great way to keep yourself,136.4,4.24,140.64000000000001,fear
honest as well as to give you the great,138.56,3.759,142.319,fear
information when you're succeeding at,140.64,2.72,143.35999999999999,neutral
what you're doing,142.319,2.64,144.95899999999997,neutral
that your exercise and your diet are,143.36,4.56,147.92000000000002,neutral
really paying off,144.959,2.961,147.92000000000002,neutral
for most people with diabetes testing,151.519,4.161,155.68,angry
once a day is all you need to do,153.36,5.04,158.4,fear
find the best time of day for you for us,155.68,3.68,159.36,fear
as providers,158.4,3.119,161.519,fear
we like to see a variety of tests how,159.36,3.84,163.20000000000002,neutral
you sit first thing in the morning,161.519,3.281,164.8,angry
and how maybe your blood sugars are one,163.2,3.44,166.64,angry
to two hours after a meal,164.8,3.76,168.56,angry
however if you feel like you can't get,166.64,3.04,169.67999999999998,neutral
that done,168.56,3.039,171.599,neutral
at least get once a day testing when it,169.68,4.0,173.68,neutral
fits in your life this is a disease you,171.599,3.041,174.64,neutral
will have,173.68,2.8,176.48000000000002,happy
for the rest of your life so we want,174.64,3.2,177.83999999999997,angry
this to be something you can feel,176.48,9.36,185.83999999999997,angry
successful in,177.84,8.0,185.84,angry
