text,start,duration,end,dominant_emotion
"  There's no way we're gonna get there in
time. Hey where you going? No no no no no no no
I don't time for you right now.  ",1.639,9.865,11.504,sad
"Dude Cool cool. I feel like we really just bonded just then... no? Hey babe I'm in a traffic jam I'm gonna call you as soon as... I gotta go. Really? What's up dude?
You got 10 minutes to find some food or I'm",11.504,14.926,26.43,sad
"gonna mess you up. But I'm in the middle
of a traffic jam. Toot toot Hey so what'd you think about dinner? You think 10
units was about right? Yeah sure sounds right to me.",27.449,12.121,39.57,sad
"Hey we're at 350 and
skyrocketing! What kind of Mickey Mouse show are you running here? You were
standing right there when we talked about it. You give me
insulin or I'll take us to the moon!",39.57,15.329999999999998,54.9,sad
"Okay calm down
I'll give some more insulin. Calm down??? Okay I tell you what don't worry
about it. No matter how much insulin you give me I'm not coming down for seven
hours. Calm down? Calm down? I'll show you calm. Feel better? Bro. I've been waitin on his pizza all",55.3,17.069,72.369,sad
"week. Been patient though. Gotta keep up
this girlish figure. You know what I'm talkin about? Yeah you know what I'm talkin about.  He knows. Are you serious? Do not ruin this for me. Sorry false alarm. You know how pizza is, kinda weird.",72.869,17.371,90.24,sad
"Pizza is my favorite do not ruin it
for me. All I did was pick it up.   That's impossible. I need to know that you're gonna be cool
with me eating pizza. Hey Buddy",91.6,15.96,107.56,NA
"What is wrong with you? Were you asleep
yet? You looked so comfortable and cozy I almost didn't want to disturb you. Yes I was so close to sleep. I was so comfortable.",130.54,13.21,143.75,NA
"Do you want to play that
game where we see if you can eat everything in the kitchen? I really like
that one. No. No. I don't. I just want to go to sleep. That's all I want I was so close. Whoopsie-daisy.",143.75,14.030000000000001,157.78,NA
Kind of snuck up on us didn't it?,157.78,4.17,161.95,NA
