text,start,duration,end,dominant_emotion
okay one of the things that you'll hear a lot about if you have a diagnosis of diabetes there's two words hyper which is high and hypo which is low glycaemia glycaemia is just to do with your blood,0.03,26.25,26.28,sad
sugar level I'll probably use a lot of hand gestures like this because high is high and low is low and you want to actually try and find the balance in the middle where you're safe and functional,12.78,20.569000000000003,33.349000000000004,sad
everything's working well now hypoglycemia think Oh hypo is low is when you've got either too much insulin or too little sugar typically most people feel symptoms it's pretty much an,23.1,36.43,59.53,sad
insulin overdose but because it's part of the rest of your body there's other bits going on as well because your body is basically reacting to a threat you might get a bit of adrenaline being,41.129,23.011,64.14,sad
kicked out as well so some of the symptoms you can even put down to adrenaline as opposed to just the insulin overdose but what you will feel probably is shaky a bit confused a,53.01,23.488,76.49799999999999,sad
little bit uncoordinated some people get a bit sweaty some people see how they can see their their eyes go a bit funny they can usually tell they'll be looking at something I think that oh you know I,64.409,21.421,85.83000000000001,sad
can notice it it's not quite right now the best thing possible is if you keep your blood testing kit with you is to do a blood test to be certain that you have found yourself going into hypo there's,75.33,26.101,101.431,sad
just a chance that you could be confusing it a hypo could be confused with feeling very nervous about something for example again it's that similar feeling of adrenaline kicking in,88.92,24.59,113.51,sad
having said that when you're having a hypo doing a blood test can be rather tricky if that's I usually know if I'm having a hypo because I'm trying to do all this you're trying to get the,100.79,19.06,119.85000000000001,sad
strip's in and if you sort of end up throwing the thing away and hitting a wall it's because you're just losing it the other factor with adrenaline and insulin is you can get,110.85,24.900000000000002,135.75,sad
very short-tempered and snappy and that can be another sign it's important that you can learn to recognize your symptoms and importance really that you can keep,122.25,22.76,145.01,sad
having your symptoms if you spend an awful lot of time having hypose you might actually start losing your sensitivity to those symptoms and one of the other things that's really helpful,133.76,20.32,154.07999999999998,sad
is for the people around you do them a favor let them know that you have diabetes and that if certain things start to happen they can be part of the help to get you out of your hypo all,144.18,24.240000000000002,168.42000000000002,sad
you'll really need is some sugar in whatever form possible liquids sometimes easier than having to chew if you're having a bad hypo bad anything under when you do a blood test anything under,156.81,27.809,184.619,sad
four would be very very borderline but by the time you're three point eight you're definitely having a hypo and effectively the lower you go the more sugar you're going to get a need to pull,169.739,19.379,189.118,angry
yourself up and it also might make a bit more time to come back up so you want you want to address the hype as soon as you can once you've had diabetes quite a long time and you've had quite a lot,180.209,23.611,203.82,sad
hypose I mean they are inevitable you will get them the real issue is to try not to have too many and when you do have them try not to have any major ones and to always be prepared and have some,191.669,25.77,217.43900000000002,sad
sugar handy the people around you might be able to say you know you're acting a bit funny or you're looking a bit shaky and that those can be the people that help to tell you if you're going a bit,204.629,21.36,225.98899999999998,sad
wobbly if you're not picking picking up the symptoms yourself obviously I've been using the phrase feeling a bit wobbly it's very commonly used so not everyone says I'm feeling hypo or I'm,215.79,19.5,235.29,sad
going into hypo and I don't know any want to use this hyperglycemia wobbly dizzy we all have our own ways of describing it but try not to overdo it when you have a hypo your body once your,225.15,29.61,254.76,sad
body is recovered and getting into sort of recovery situation it too will start kicking out sugars so you don't need to overdo it your main thing you need is to try and keep your head if you can and,240.209,23.07,263.279,sad
sit down and take some time it should take about 15-20 minutes to adjust your sugar levels at or at least pull you away from a hypo if you could you certainly need to be,251.22,23.65,274.87,sad
very careful if you're driving you should have tested before you drive to avoid the possibility of having a hypo but if you happen to be driving you shouldn't really be blood testing at the,263.539,19.561,283.09999999999997,sad
wheel and should pull over and do a blood test and if you are having a hypo treat it and wait at least 15 minutes you should wait until your Sugar's up to at least 5 again as far as treating it,273.44,24.029,297.469,sad
as concerns you can keep things that either don't go off don't melt you know and are just available they can be in your bag they can be in a desk school desk an office desk can be in a glove,284.96,26.461,311.421,sad
compartment and the only thing you have to remember to do is if you use one when you're having a hypo replace it so that next time you need one there is one bare,298.52,19.36,317.88,angry
