text,start,duration,end,dominant_emotion
hello everyone i'm dr ivy ilonzo and,0.08,4.48,4.5600000000000005,fear
you're welcome once again to,2.8,4.16,6.96,fear
this close where we constantly bring you,4.56,4.079,8.639,fear
this close to getting your natural,6.96,3.599,10.559000000000001,fear
healthy skin and glow,8.639,4.241,12.879999999999999,fear
as usual it's powered by beauty secret,10.559,7.361,17.919999999999998,fear
skincare and spa,12.88,5.04,17.92,fear
on today's episode i'm going to be,18.08,3.199,21.278999999999996,happy
talking about hesitation,19.439,4.0,23.439,fear
it's a common condition amongst women,21.279,3.601,24.88,fear
characterized by,23.439,3.281,26.72,fear
hair growth in the unusual part of the,24.88,4.0,28.88,fear
body like the face,26.72,5.28,32.0,fear
chest and abdomen the hair is usually,28.88,3.519,32.399,fear
dark,32.0,2.079,34.079,fear
and coarse studies have shown that,32.399,3.441,35.84,fear
hesitation is one of the leading cause,34.079,2.241,36.32,fear
of,35.84,3.039,38.879000000000005,fear
depression lack of confidence and low,36.32,3.36,39.68,fear
self-esteem,38.879,3.441,42.32,fear
amongst women common causes implicated,39.68,3.039,42.719,fear
here,42.32,3.44,45.76,fear
includes hormones this is linked to,42.719,5.36,48.079,fear
a high production of androgen hormones,45.76,3.04,48.8,fear
which yes,48.079,3.601,51.68,fear
are usually seen in both men and female,48.8,4.8,53.599999999999994,fear
but in this case a higher level is,51.68,3.44,55.12,fear
produced in the woman,53.6,4.0,57.6,fear
causing hair growth due to hormonal,55.12,3.759,58.879,fear
imbalance,57.6,3.92,61.52,fear
other medical conditions include cushion,58.879,3.52,62.399,fear
syndrome,61.52,3.84,65.36,fear
polycystic ovary syndrome and also some,62.399,3.841,66.24,fear
medications,65.36,3.36,68.72,fear
factors that can influence herculism,66.24,5.199,71.439,fear
includes family history and obesity,68.72,5.6,74.32,fear
what i simply mean is for those who have,71.439,4.241,75.67999999999999,fear
hesitation in the family,74.32,4.08,78.39999999999999,fear
and also obesity they are likely to have,75.68,3.759,79.43900000000001,surprise
hesitation,78.4,2.56,80.96000000000001,fear
let me not bore you with my whole,79.439,4.241,83.67999999999999,fear
medical talk i'm basically talking about,80.96,5.04,86.0,fear
facial hair and i want to introduce to,83.68,4.64,88.32000000000001,fear
you the use of laser therapy,86.0,5.36,91.36,fear
for permanent hair reduction this simply,88.32,3.36,91.67999999999999,happy
is,91.36,2.56,93.92,
the use of light beams to destroy hair,91.68,4.399,96.07900000000001,
follicles thereby preventing,93.92,4.72,98.64,
hair growth for more information you can,96.079,4.641,100.72,NA
follow us on instagram at beauty secret,98.64,2.96,101.6,NA
skincare,100.72,2.64,103.36,NA
and also you can subscribe to our,101.6,4.0,105.6,NA
youtube channel below,103.36,12.24,115.6,NA
this is disclosed now you know,105.6,10.0,115.6,NA
