text,start,duration,end,dominant_emotion
hello my name is dr. Simon fryer consultants in clinical neurophysiology this video will provide you with an explanation of how diabetic neuropathy is currently treated you can also find,0.11,22.689999999999998,22.799999999999997,neutral
out more information about how diabetic neuropathy develops and different types of this condition in a separate video by clicking on the information card above firstly to be very clear there are no,11.67,23.568999999999996,35.239,neutral
magical cures for these conditions there are no particular food substances vitamins or exercises that will provide an immediate cure there is no evidence for any of the alternative medicine,24.779,23.900999999999996,48.67999999999999,neutral
cures such as homeopathy Reiki reflexology laser therapy magnets or crystals in helping to treat any of these conditions the single biggest driver of these neuropathies is,36.66,22.75,59.41,neutral
hyperglycemia which means raise blood sugar levels it is vital that optimal blood sugar levels are achieved as soon as possible having the right diet with control sugar intake will form a,48.3,24.63,72.92999999999999,neutral
significant basis of your treatment together with any of the blood sugar lowering agency might be prescribed this should help stop the underlying disease causing processes from continuing I will,60.84,23.429000000000002,84.269,neutral
allow the nerves to gradually start to heal themselves this is not an instant cure and can take a long time maybe even months or years hence prevention of this is best and you're diabetic nurse and,72.479,26.13,98.609,neutral
doctors should be actively screening patients for this to catch it early and prevent it from becoming bad the next step of treatment is to consider adequate symptom control for patients,85.56,24.93,110.49000000000001,neutral
who have painful diabetic neuropathy this will need medications to reduce nerve pain of course these have no place in treating patients for the painless neuropathy in England are nice,97.979,23.189,121.168,neutral
guidelines recommend certain medications to reduce nerve pain first-line agents prescribed in the community setting starts with duloxetine if this cannot be taken or is not helpful than,109.259,24.962,134.221,neutral
amitriptyline and pregabalin are recommended as second-line agents if these are not sufficiently helpful it's more specialized advice will be required and perhaps certain medication,122.13,24.119999999999997,146.25,neutral
such as opioids lidocaine capsaicin or even spinal cord stimulators might be required patients with autonomic symptoms may require medicines to help stabilize blood pressure if they feel,133.59,26.939,160.529,neutral
dizzy when they stand up patients may also need to modify how quickly they stand up and might even benefit from leg compression stockings too if the pacing of the heart is affected regular heart,147.36,24.481,171.841,neutral
check-ups become important and patients might need medications to help regulate their heart rates patients with sexual dysfunctions might require treatments to improve erectile dysfunction in men and,159.48,22.829,182.309,neutral
lubrication in women dietary changes might also be required if the gut motility is affected and also certain medications might also be necessary the next step is preventing complications,170.64,25.971,196.611,neutral
from the neuropathy for those who view sensation in their feeds also prevention is critical in reducing foot infections gangrene and amputations professional nail care forms an important part of,183.62,26.849999999999998,210.47,neutral
this if patients find themselves having difficulty with their balance because of this I usually tend to recommend that they keep the lights on in their hallways on the way to the bathroom at,197.16,23.709000000000003,220.869,neutral
night this can help to reduce Falls the final aspect I would like to introduce our disease modifying agents these represent the latest treatments which are still being evaluated with mixed,208.799,21.151000000000003,229.95000000000002,neutral
results being reported so far after these reductase inhibitors or Harry's have been tried over the last 20 years these reduce metabolism of sugars through the polyol pathways if you,219.69,21.567999999999998,241.25799999999998,angry
recall in the other video these calls are built up a fructose and sucrose inside nerve cells which causes them to swell and become damaged unfortunately only limited effects have been shown,230.819,22.500999999999998,253.32,NA
with these alpha lipoic acid has also been used with some benefit but requires intravenous treatments for many days at a time over a number of months and so is not a great practical benefit carnitine,241.829,22.560000000000002,264.389,NA
has also been shown to have some beneficial effects but side effects have make this a poorly tolerated treatment more excitingly and much more practically there has been a recent,253.739,18.761,272.5,NA
realized that hypertension or raise blood pressure plays an important role in the formation of diabetic neuropathy antihypertensives from the ACE inhibitor,263.34,20.020000000000003,283.35999999999996,NA
class such as trandolapril have been shown to reduce the blood vessel thickening caused by diabetes are significantly improved start letting neuropathy over 12 months I hope that,272.59,20.55,293.14,NA
this video has provided you with a useful overview of current treatments available,283.15,10.63,293.78,NA
