text,start,duration,end,dominant_emotion
"had someone recently comment on my youtube channel 
um they wanted to know why am i getting pcos i'm  ",0.08,7.2,7.28,
"not even 18 years old so i wanted to create this 
quick video on pcos just to explain the simplicity  ",7.28,6.08,13.36,
"of it so you really understand it polycystic 
ovarian syndrome poly means many and then we have  ",13.36,8.16,21.52,
"the word cyst okay many cysts but in reality it's 
not true it's not really cyst it's follicles but  ",21.52,7.76,29.28,surprise
"i'm not going to get into that but for right now 
just understand that there's these little bumps  ",29.28,4.32,33.6,
"growing and there's many of them on the ovary okay 
so we have polycystic ovarian and then syndrome  ",34.24,6.8,41.04,
"now a syndrome is not necessarily a disease it's 
suggestive of a disease but it's a disorder having  ",41.76,8.24,50.0,
"more than one symptom that 
suggests a disease okay so  ",50.56,3.44,54.0,
"all right what are the symptoms infrequent or 
prolonged menstrual cycle excess male hormones  ",55.04,6.8,61.839999999999996,
"as in androgens infertility excessive hair 
growth throughout your body thinning of the  ",61.84,5.92,67.76,surprise
"hair on your head acne and insulin resistance 
now if you look up this condition on wikipedia  ",67.76,7.12,74.88000000000001,
"it will give you a lot of general information 
that that is not very helpful uh they'll talk  ",75.44,6.72,82.16,surprise
"about the cause being genetic they'll talk 
about the cause being potentially environmental  ",82.16,5.36,87.52,fear
"also they will tell you that pcos has no cure but 
it can be treated with metformin anytime you're  ",88.08,5.36,93.44,
"trying to figure out some mysterious medical 
condition um realize that there's usually one key  ",93.44,7.76,101.2,fear
"factor that you need to know to figure it out 
there's one piece of information that explains  ",101.84,6.8,108.64,
"everything and that is rarely if ever found in 
wikipedia or the first page or second page or  ",108.64,7.76,116.4,
"third page on google when you do searches and 
so one thing that i'm really interested in is  ",116.4,5.36,121.76,
"doing videos on that key piece of information so 
you can figure everything out with pcos the key  ",121.76,6.96,128.72,
"piece of information is this high androgens 
can be caused by high levels of insulin okay  ",128.72,8.32,137.04,
"that's what you need to know in other words every 
single one of these symptoms right here is coming  ",138.4,6.24,144.64000000000001,
"from high androgens because you have high levels 
of insulin now what's interesting is that they  ",144.64,7.04,151.67999999999998,
"rarely ever check insulin levels they'll check 
your blood sugar levels now you cannot determine  ",151.68,6.0,157.68,
"what's happening with insulin by checking your 
blood sugars because you could have normal blood  ",157.68,4.24,161.92000000000002,
"sugars yet have high levels of insulin because 
the insulin resistance will buffer some of that  ",161.92,6.24,168.16,
"blood sugar response until a certain point where 
it can't buffer it and then it can't compensate  ",168.16,6.32,174.48,surprise
"and you become a pre-diabetic and a diabetic but 
for right now all you need to know is that your  ",174.48,4.96,179.44,fear
"high androgens are coming from the high levels 
of insulin that's why they treated with metformin  ",179.44,5.52,184.96,
"because metformin treats insulin resistance which 
will help regulate your insulin levels and help  ",184.96,7.68,192.64000000000001,
"normalize them okay but what's behind high levels 
of insulin well if you're new to my channel i  ",192.64,6.0,198.64,
"every almost every single video i have is related 
to that one topic you need to do healthy keto and  ",198.64,5.04,203.67999999999998,
"intermittent fasting is your primary eating plan 
to help you regulate your insulin levels and then  ",203.68,6.0,209.68,
"get your pcos reevaluated because you are probably 
going to find that you have a lot less problems  ",209.68,5.84,215.52,
"with this disorder why because you're getting to 
the root cause if you're new to my channel and you  ",215.52,5.76,221.28,
"want to know what to do i put a link down right 
below of exactly what you should be eating hey  ",221.28,6.32,227.6,NA
"before you go real quick i have a course entitled 
how to bulletproof your immune system it's a free  ",227.6,7.28,234.88,NA
"course i want you to take it and here's why here's 
you here is your environment everyone is focused  ",234.88,12.08,246.96,NA
"on this over here avoiding your environment but 
what about here what about strengthening your  ",246.96,6.64,253.6,NA
"immune system that's what's missing this course 
will show you how to bulletproof yourself and so  ",253.6,5.92,259.52,NA
"you can tolerate and resist your environment 
much better by strengthening your own immune  ",259.52,5.76,265.28,NA
"system i put a link down in the description right 
down below check it out and get signed up today",265.28,8.56,273.84,NA
