text,start,duration,end,dominant_emotion
"So lots of people see this picture of me and
the first thing that they assume is that I",0.299,5.011,5.3100000000000005,sad
"bleached my skin and that is 100% NOT true.
So I wanna talk to you guys about something",5.31,6.81,12.12,sad
"that is a side-effect of my weight gain and
weight loss and something that has been presented",12.12,5.899,18.019,neutral
"to me on both social media um, as well as
through e-mail and just questions about my",18.019,6.121,24.14,neutral
"skin and about the changes that I've seen
since losing weight. So when I first started",24.14,6.779,30.919,neutral
"experiencing the side-effects of what I now
know is Acanthosis Nigricans, I did not know",30.919,6.681,37.6,neutral
"what it was. I had dark, leathery patches
around my eyes, um, on my cheek bones, on",37.6,6.509,44.109,neutral
"my neck, on my elbows, my knees, even my knuckles.
And I had no idea what it was, the main thing",44.109,6.561,50.67,neutral
"that I wanted to do was to fix the obvious
discoloration in my skin, on my face because",50.67,6.0,56.67,neutral
"that was something that was directly affecting
me. So I tried everything, I tried creams,",56.67,5.84,62.510000000000005,neutral
"I tried changing my face wash, I tried facial
scrubs, um I tried dark spot removers, I tried",62.51,7.8,70.31,neutral
"EVERYTHING! So I finally went to see a dermatologist
and when I did, um, they told me or she told",70.31,7.32,77.63,neutral
"me that she thought that it was Acanthosis
Nigricans and she suggested that I go to an...go",77.63,6.15,83.78,angry
"and see my normal doctor or my primary care
physician, um, to be tested for other, you",83.78,7.52,91.3,neutral
"know, other diseases. Um, and so once I got
to my doctor I actually found out that I was",91.3,6.28,97.58,neutral
"in fact pre-diabetic. And that the Acanthosis
Nigricans was a direct um, symptom of that.",97.58,7.71,105.28999999999999,neutral
"And so I do encourage anybody who is experiencing
those types of um, discoloration or differences",105.29,6.38,111.67,neutral
"in your skin...Pay attention because it could
be a sign of something more serious. For me,",111.67,5.4,117.07000000000001,neutral
"um, luckily once I did start to lose the weight,
the discoloration started to fade and my skin",117.07,6.12,123.19,angry
"started to become normal again. Uh, I wanna
point out that before I gained weight, I wasn't",123.19,7.16,130.35,neutral
"this color. So it was an obvious effect of
the weight gain. It was not something where",130.35,5.75,136.1,sad
"I bleached my skin or anything like that to
change my color. I started off this color,",136.1,5.46,141.56,sad
"I turned that color and now I'm back to my
normal color. So I hope that this clears up",141.56,4.98,146.54,neutral
"all of the uh comments and things that I've
been getting on Instagram. And I strongly,",146.54,5.72,152.26,neutral
"strongly suggest that if you are experiencing
any type of skin issues - you should go and",152.26,5.14,157.39999999999998,neutral
"see your doctor because you never know what
your body is trying to tell you. Luckily,",157.4,4.419,161.81900000000002,neutral
"I never did get to the full-blown stage of
diabetes. I was able to prevent it with the",161.819,4.951,166.76999999999998,neutral
"weight loss so again, if you're having any
of those types of, you know, reactions in",166.77,5.36,172.13000000000002,neutral
"your skin or you're seeing changes - don't
ignore it! Your body is probably trying to",172.13,4.62,176.75,neutral
"tell you something. So thank you guys so much
for watching and I will see you next week.",176.75,5.5,182.25,neutral
"Byyyeee! You know usually I'm not like a big
Christmas person, but this year I've got my",182.25,5.48,187.73,happy
"tree up and I've been doing my Christmas shopping
so that's right ya'll, I'm not a Grinch no",187.73,5.31,193.04,neutral
"more, I've been DELIVERT!",193.04,5.19,198.23,neutral
