text,start,duration,end,dominant_emotion
"what....
[burps] pardon me,
it was not me, it was,
gastroparesis, it was the wind coming back up to say hello,
that's not a song... [intro music]",0.62,14.1,14.719999999999999,angry
"Well hello everybody and welcome back to my
channel or if you're new
hello welcome to my channel, my name is Sophie. Today we are talking about Gastroparesis. What is Gastroparesis I hear some of you say? Well I mean the real question is why haven't
you",14.96,13.049999999999999,28.009999999999998,angry
"watched this video from my channel? No, I'm just kidding, if you don't know what
Gastroparesis is be sure to pause this video right now,
go watch my video, learn about Gastroparesis and then come on
over back. So having been diagnosed with Gastroparesis
for 6 or 7 years",28.02,16.19,44.21,angry
"I think it is now,
I still find myself having questions and searching online on youtube on blog posts
for answers. I figured I would sit down and answer some
questions that I received or I have ever wondered
and you know answer the ones that I feel I have enough
knowledge about and enough experience about",44.21,20.349,64.559,angry
"so that you guys never feel alone and you
have a place to come when you need some answers. So let's crack on with the questions. Also before we get into the questions,
I just want to remind you or even let you know if you don't know,
there are so many people and support groups",64.559,15.941,80.5,angry
"and even charities (Gift UK, just saying)
that are there to support you and help you and answer your questions and just be someone
who can truly understand what you're going through. So I will leave the link to any information
that I know of or that I use, but honestly just go on Facebook and type
in",80.5,22.38,102.88,angry
"Gastroparesis support group and you will find
a ton. Ok so the first question is,
as part of my dad's support system how best can we support him on his worst days? I know this isn't the answer that you want
to hear, but honestly there’s really not that much
you can do to make it feel better.",102.88,18.43,121.31,angry
"um.. There’s no cream or plaster that you can
put on and you know you feel you know you feel yourself
again. However i know i can be a bit of a moody *****
when I’m having a really really really bad day,
so from your point of you view,",121.31,17.229999999999997,138.54,angry
"so don’t take anything he may say or do
personally or to hear and get upset because he probably doesn’t mean it and
it’s just his emotions all kind of spiralling and going crazy but other than that,
honestly i just find you know, being with someone or being distracted helps. I do find distraction to be one of the best
medicines so you know just sit with him, watch",138.54,30.729,169.269,angry
"a movie, chat,
you know talk about random stuff, try and make him laugh,
just being there helps more than you’ll ever know
because the feeling you get when people suddenly disappear
and leave you because you’re not feeling well
and you have this condition is such a horrible",169.269,18.67,187.93900000000002,angry
"feeling
so just having you there and seeing you know, you’re by his side is just it helps than
than than you realize honestly. Question number 2, what was it like having
a feeding tube? It really isn’t as bad as it may seem. I have had both a nj tube and a pegj tube
and",187.939,25.439999999999998,213.379,angry
"that is a nasal jejunal tube and the pegj
goes through your stomach wall and although I had quite a lot of problems with
the pegj tube, that was more down to my EDS and the healing
of my skin, rather than the tube and the way the tube
works itself if that makes sense. To me they are life savers and they took pressure
off of me to have to eat",213.379,23.351,236.73,angry
