text,start,duration,end,dominant_emotion
if you have three or more risk factors,3.02,5.74,8.76,happy
for heart disease or stroke your doctor,6.24,5.34,11.58,surprise
may say you have what's called metabolic,8.76,5.4,14.16,surprise
syndrome here are the risk factors a,11.58,5.66,17.240000000000002,happy
large waistline I triglycerides,14.16,6.09,20.25,happy
unhealthy cholesterol levels high blood,17.24,5.94,23.18,happy
pressure and of course high blood sugar,20.25,7.05,27.3,happy
the good news is that we can control and,23.18,6.7,29.88,happy
even reverse metabolic syndrome here's,27.3,6.3,33.6,fear
how eat healthier get more fruits and,29.88,6.359,36.239,fear
vegetables into your diet cut back on,33.6,5.61,39.21,fear
salt sugar and fat a body in motion,36.239,7.14,43.379,fear
stays in motion exercise every day just,39.21,6.75,45.96,fear
a half hour of walking can make a huge,43.379,3.571,46.949999999999996,fear
difference,45.96,2.91,48.870000000000005,angry
lose weight if you need to your,46.95,4.62,51.57,surprise
waistline should be less than 35 inches,48.87,5.25,54.12,happy
for a woman and less than 40 inches for,51.57,4.89,56.46,happy
a man work with your doctor to get your,54.12,4.709,58.82899999999999,surprise
numbers in the good range if you need,56.46,6.029,62.489000000000004,surprise
medications take them as prescribed and,58.829,6.841,65.67,fear
if you smoke forget it millions of,62.489,5.611,68.1,happy
people have picked the habit and you can,65.67,5.85,71.52,happy
too metabolic syndrome is your body's,68.1,6.51,74.61,fear
Way of telling you to take action now,71.52,6.72,78.24,fear
for a longer healthier life get cutting,74.61,6.049,80.659,angry
smart,78.24,2.419,80.65899999999999,angry
you,81.09,2.059,83.149,
