text,start,duration,end,dominant_emotion
"In this video, I will explain what is a normal
blood sugar level.",0.62,3.77,4.39,neutral
"I will show what is a normal blood sugar level,
what would be considered prediabetic blood",4.39,5.03,9.42,neutral
"glucose level, and what would be considered
a diabetic blood glucose level.",9.42,4.07,13.49,surprise
"And I will share both, fasting blood glucose
and glucose after meals levels.",13.49,5.05,18.54,neutral
"If you’re new to my YouTube channel, my
name is Greta, and I’m an online nutritionist",18.54,4.34,22.88,
and a holistic health coach.,22.88,1.62,24.5,
"If you haven’t yet, consider subscribing
to my YouTube channel for weekly health related",24.5,5.37,29.87,neutral
videos.,29.87,1.0,30.87,neutral
"So firstly, what is a normal blood sugar level?",30.87,2.919,33.789,neutral
"According to CDC (Centers for disease control
and prevention) normal fasting blood sugar",33.789,5.77,39.559,
level would be 99 mg/ dL or less.,39.559,3.851,43.41,neutral
"It is equivalent to 5.5 mmol/L. Fasting glucose
means that you check your glucose in the morning",43.41,6.53,49.94,neutral
before having any food.,49.94,1.91,51.849999999999994,
"And 2 hours after the meal, it is considered
normal, to have blood sugar levels of 140",51.85,5.33,57.18,neutral
mg/dL or less.,57.18,2.35,59.53,happy
Which is 7.8 mmo/L or less.,59.53,3.459,62.989000000000004,
"And your A1C, which is your average blood
glucose, or blood sugar level over the past",62.989,3.761,66.75,
"3 months, should be no more than 5.7%.",66.75,3.3,70.05,
"Now, if you have prediabetes, your fasting
blood glucose would be 100-125 mg/dL or 5.6",70.05,8.4,78.45,
"– 6.9 mmol/L. And your A1C would be 5.7
– 6.4%.",78.45,7.09,85.54,neutral
"And lastly, if you have diabetes, your fasting
blood glucose would be 126 mg/dL or above.",85.54,7.66,93.2,neutral
Which is equivalent to 7 mmol/L or more.,93.2,3.31,96.51,neutral
And your A1C would be 6.5 or above.,96.51,3.77,100.28,neutral
"Typically, to diagnose diabetes, a health
care professional would use the fasting plasma",100.28,5.29,105.57000000000001,neutral
glucose test or the A1C test.,105.57,3.14,108.71,
"In some cases, they may use a random plasma
glucose test.",108.71,3.5,112.21,neutral
"Mow you know what is a normal blood sugar
level.",112.21,3.55,115.75999999999999,neutral
"I hope you found it useful don’t forget
to like this video, and subscribe to my YouTube",115.76,4.22,119.98,neutral
channel.,119.98,1.0,120.98,neutral
"If you want to learn more about how different
foods and different diets affect blood glucose",120.98,5.15,126.13000000000001,neutral
"levels, definitely check out my CGM experiment
video.",126.13,4.76,130.89,
"Also, if you are newly diagnosed with type
2 diabetes, and you need support and a step",130.89,5.579,136.469,
"by step guide for putting your diabetes into
remission, check out my online type 2 diabetes",136.469,5.74,142.209,
coaching program with personalised meal plans.,142.209,2.991,145.20000000000002,NA
Link provided in the description.,145.2,2.5,147.7,NA
"Thanks so much for watching and I hope to
see you in the next video.",147.7,2.369,150.069,NA
