text,start,duration,end,dominant_emotion
don't you ever wish that people would,0.12,2.73,2.85,neutral
just make really simple videos for,1.319,3.361,4.68,neutral
really simple topics especially related,2.85,3.42,6.27,neutral
to health well I want to do that with,4.68,3.06,7.74,neutral
this video but make it short you make it,6.27,3.03,9.299999999999999,neutral
sweet make it straight to the point,7.74,3.54,11.280000000000001,neutral
we're talking about glycemic index vs.,9.3,3.299,12.599,neutral
glycemic load and this is probably,11.28,2.76,14.04,neutral
something you've wondered you've heard,12.599,2.851,15.45,neutral
glycemic index before you've heard,14.04,3.63,17.669999999999998,neutral
glycemic load but maybe you're even,15.45,4.53,19.98,neutral
afraid to ask like what the heck is it,17.67,3.48,21.150000000000002,neutral
and what's the difference so let's just,19.98,2.549,22.529,fear
make it really simple for you okay it,21.15,3.33,24.479999999999997,neutral
all comes down to how carbohydrates,22.529,4.17,26.698999999999998,neutral
react within our bodies and what they do,24.48,4.17,28.65,neutral
okay so make sure you hit that red,26.699,3.391,30.090000000000003,neutral
subscribe button and then please hit,28.65,3.18,31.83,neutral
that little Bell icon so you can turn on,30.09,3.36,33.45,
notifications so you know whenever I go,31.83,3.9,35.73,
live then after this video please check,33.45,4.05,37.5,
out the rive Market down below in the,35.73,3.509,39.239,neutral
description that's an online grocery,37.5,3.45,40.95,neutral
store so I'm able to put like all my,39.239,4.291,43.53,neutral
keto boxes my fasting boxes all,40.95,4.05,45.0,
groceries that I would normally get I,43.53,3.36,46.89,
can consolidate them into like an online,45.0,4.2,49.2,neutral
grocery box that you guys can therefore,46.89,4.38,51.27,neutral
go and order so that way you utilize the,49.2,3.21,52.410000000000004,neutral
right market get groceries delivered,51.27,2.76,54.03,
right to your doorstep so please do,52.41,3.03,55.44,
check them out after you watch this,54.03,3.509,57.539,neutral
video super awesome deals there so,55.44,5.639,61.079,neutral
glycemic index is how quickly a fixed,57.539,6.48,64.019,neutral
amount of food or carbohydrates get,61.079,5.851,66.93,neutral
converted into glucose okay so yes if,64.019,5.881,69.9,neutral
you have one specific amount how quickly,66.93,5.34,72.27000000000001,neutral
does that elevate your blood sugar and,69.9,4.38,74.28,neutral
get converted into glucose okay so for,72.27,5.07,77.34,neutral
example glucose is 100 it's the highest,74.28,5.55,79.83,neutral
point that you can get to so for example,77.34,7.86,85.2,
wheat bread is a 75 okay carrots are a,79.83,10.38,90.21,
40 broccoli is a 15 and eggs are a zero,85.2,7.2,92.4,
it's just that's just how you measure,90.21,5.1,95.30999999999999,
sort of the carbohydrate glucose density,92.4,4.77,97.17,
of something but here's something pretty,95.31,3.48,98.79,
interesting so the American Journal of,97.17,3.57,100.74,
Clinical Nutrition published a study it,98.79,3.99,102.78,
was done out of Harvard took a look at,100.74,5.43,106.16999999999999,neutral
12 men gave them nearly identical meals,102.78,5.1,107.88,neutral
ok so literally they ate the same meal,106.17,4.409,110.57900000000001,
same calories the same macronutrient,107.88,5.04,112.92,
same proteins fats and carbs the only,110.579,6.091,116.66999999999999,
difference was the glycemic index was 37,112.92,6.989,119.909,
in one group and was 84 in another okay,116.67,5.4,122.07000000000001,
so high glycemic versus low glycemic the,119.909,3.99,123.899,
participants didn't even know their food,122.07,4.439,126.50899999999999,neutral
was different okay now what they found,123.899,4.621,128.52,neutral
is that the high glycemic index caused a,126.509,4.051,130.56,neutral
