text,start,duration,end,dominant_emotion
hi my name is Imran and I'm an eye doctor a lot of my patients are like Steve here hello he's just me diagnosed diabetic retinopathy and has a lot of questions hopefully in the next three,0.0,17.78,17.78,sad
minutes we'll try and answer them all [Music] diabetes common disease and a lot of people affect lose their vision if they're not creatures there are almost,8.49,22.927999999999997,31.418,sad
four million diabetics for me you can almost half a million of those don't know they have it in the world is estimated to be about 500 million people with diabetes which is about 1 in 10 of,20.039,20.581,40.620000000000005,sad
the world's population diabetic for 20 times more likely to lose their vision the average person diabetic retinopathy is a term used to describe the restaurant damage causing the vision,30.24,20.671,50.911,sad
loss some people are born with it others acquired the disease in later life the body can't store the sugar from food and therefore it courses through the bloodstream,39.66,17.549,57.208999999999996,sad
this sugar reacts to the walls of blood vessels as it does so causing them to break down over time diabetic retinopathy is damage to the retina as light rays come into the eye through the,49.59,22.59,72.18,NA
lens they land on the retina to be turned into electrical signals to be sent to the brain arteries and veins bring oxygen nutrients to your asana and diabetes damaging destroys these blood,60.989,19.381,80.37,NA
vessels if the changes are there they'll affect the health of your retina causing patients to lose their vision untreated diabetic retinopathy is one of the most common causes of blindness you're at,70.2,20.28,90.48,sad
risk of getting diabetic retinopathy whether you'll die be to the control by diet tablets or insulin in short yes background diabetic retinopathy is the,81.09,22.637999999999998,103.72800000000001,sad
earliest stage of damage to your etta with uncontrolled diabetes this can progress to pre pre listed retinopathy which means that the blood vessel damage the retina is worse prolific diabetic,92.009,23.202,115.211,sad
retinopathy is more serious still and can result in you losing your vision sometimes the fluid leaks from the damaged blood vessels it can also cause diabetic macular passi the macula is the,103.77,20.31,124.08,sad
small central part of the rectum that you use to see things clearly if you imagine the retina to the size of a postage stamp the macula is a pinprick in the middle if the most-used area of,114.03,21.240000000000002,135.27,sad
the retina is the part you are now using to watch this video with diabetic macular disease that area is damaged you will find it difficult to see faces or words on a page this requires close,124.53,25.238999999999997,149.769,sad
monitoring and intensive treatments treatment for proliferative retinopathy reduces the risk of sight loss especially if it's given before your vision has affected this could consist,136.15,18.729,154.87900000000002,sad
of laser treatments which burn the peripheral retina to preserve a central vision or injections into the eyes stop fluid from leaking into the raster and damaging it the problem with diabetic,148.329,24.659,172.988,sad
retinopathy is they're usually poor sight loss until it's reached an advanced stage unmonitored an untreated diabetic retinopathy can lead to blindness so it's really important to,160.659,18.931,179.59,sad
make sure you attend all your appointments with your medical team controlling your blood sugar levels is essential for every second your blood Sugar's out of control,170.5,15.959,186.459,happy
you are causing damage to your blood vessels the level of fat and cholesterol in your blood also needs to be controlled to protect your arteries and veins and it's also ties in with,178.329,17.761,196.09,happy
controlling your blood pressure also if you smoke stop not only will smoking make you go blind it will also kill you so there you go a quick whirlwind guide to diabetic,186.849,21.179000000000002,208.028,sad
retinopathy if you need more information click on the links below and feel free to ask any questions and I'll try and get back to you until next time,197.439,18.189999999999998,215.629,sad
