text,start,duration,end,dominant_emotion
i'm felicia derose and i'm going to,2.159,4.481,6.64,fear
share a few of my favorite tips on how,4.24,6.48,10.72,fear
to manage diabetes through food,6.64,4.08,10.719999999999999,fear
if you're newly diagnosed with diabetes,10.96,4.0,14.96,neutral
and you feel like you already have a,13.36,3.759,17.119,neutral
busy schedule trust me i understand i,14.96,4.239,19.199,neutral
had a busy life before diabetes came in,17.119,4.401,21.52,neutral
and was like hold up everything else,19.199,3.761,22.96,neutral
everything else,21.52,4.64,26.16,neutral
comes second to diabetes and so,22.96,6.239,29.199,neutral
oftentimes as busy as my world is i have,26.16,4.72,30.88,fear
to remember,29.199,3.281,32.480000000000004,fear
that yes i'm packing my daughter's,30.88,4.16,35.04,fear
snacks for school but i also need to,32.48,5.12,37.599999999999994,NA
pack my snack right like,35.04,5.12,40.16,neutral
she can't get a snack packed for her if,37.6,6.2,43.800000000000004,neutral
mommy's not here,40.16,3.64,43.8,neutral
when it comes to a,45.36,5.519,50.879,neutral
diabetic diet i don't use the word diet,47.76,5.439,53.199,surprise
it's a meal plan it's an option there's,50.879,5.281,56.16,happy
the plate method the glycemic index and,53.199,5.52,58.718999999999994,neutral
carb counting the plate method is the,56.16,6.0,62.16,neutral
simplest one the plate is nine inches,58.719,6.881,65.6,neutral
half of it is vegetables 25 is the carb,62.16,5.76,67.92,neutral
and then 25 is protein that makes the,65.6,5.28,70.88,neutral
plate then there's carb counting carb,67.92,5.12,73.04,fear
counting is about figuring out how many,70.88,5.12,76.0,surprise
carbs are in each food then there's a,73.04,5.84,78.88000000000001,surprise
glycemic index this one is a little bit,76.0,6.32,82.32,neutral
challenging but because i love cherries,78.88,6.08,84.96,neutral
and i love grapes i had to figure out,82.32,5.76,88.08,fear
how many grapes if they're green grapes,84.96,5.28,90.24,neutral
purple grapes they all have a different,88.08,5.2,93.28,neutral
level of sweetness,90.24,3.04,93.28,neutral
there are these things that are on my i,95.759,4.801,100.56,neutral
don't eat that anymore list and i make,98.24,5.519,103.759,NA
sure that i don't bring them home,100.56,5.76,106.32000000000001,neutral
when i go grocery shopping i read the,103.759,5.201,108.96,neutral
labels i'm constantly like reading the,106.32,5.6,111.91999999999999,fear
food label and trying to figure out,108.96,6.479,115.439,fear
how much of this item can i have that,111.92,6.72,118.64,fear
fits into my 45 grams of carbs that i,115.439,4.801,120.24,NA
eat per meal,118.64,3.759,122.399,NA
a tip for you when you go grocery,120.24,4.64,124.88,NA
shopping is to shop on the outside where,122.399,5.761,128.16,fear
there is fresh foods before you go,124.88,5.999,130.879,fear
inside the lines where you have packaged,128.16,3.68,131.84,fear
foods,130.879,2.481,133.35999999999999,neutral
so if you start on the outside and you,131.84,3.039,134.879,neutral
have your protein,133.36,4.239,137.59900000000002,neutral
then you have your vegetables by the,134.879,4.641,139.51999999999998,neutral
time you look at your cart,137.599,3.28,140.879,neutral
it's pretty much,139.52,3.92,143.44,fear
full so there's less room for canned,140.879,4.481,145.35999999999999,fear
food or packaged foods and these kinds,143.44,4.4,147.84,NA
of things,145.36,2.48,147.84,NA
if i'm in a restaurant that has a menu,150.72,5.84,156.56,NA
i first look at the appetizers like how,153.2,5.84,159.04,NA
many carbs are in these appetizers,156.56,4.8,161.36,neutral
if there's an app available that can,159.04,4.479,163.519,neutral
tell me the amount of carbs,161.36,4.959,166.31900000000002,neutral
