text,start,duration,end,dominant_emotion
"(upbeat music) - So what are artificial sweeteners? They are essentially
additives type products that are sweet in nature,
but do not have sugar or calories in them.",0.125,12.063,12.188,NA
"So are often used as substitutes
for high sugar drinks for other food products. (upbeat music) Do artificial sweeteners come in a variety of brands and types?",18.43,11.749,30.179000000000002,NA
"They do taste differently
but some of them are bitter and are often mixed with other sweeteners to make them taste better for people. (upbeat music) It's really hard to study
artificial sweeteners",31.12,11.76,42.88,NA
"and know if they lead to weight loss. In general, data suggests
that it might be helpful in lowering calories and sugar intake if you're switching from high sugar foods, to foods that are sweetened
with artificial sweeteners",42.88,13.700000000000003,56.580000000000005,NA
"because they're lower
in calories and sugar. However, there are no
great long-term studies that show that artificial sweeteners actually help people lose weight. (upbeat music)",56.58,12.17,68.75,NA
"In general, though they
are not healthy appetite suppressants and don't usually affect your other food choices. (upbeat music) There's no data that suggests
that they're good for you.",68.75,11.690000000000001,80.44,NA
"The question is, are they bad
for you or are they neutral? My opinion is that they're probably better than high sugar drinks. So if you're replacing a diet soda instead of a regular soda,",80.44,12.9,93.34,NA
"they're of potentially health benefits because the regular soda has so much sugar and calories in it. But if you're somebody
who's already drinking water or herbal tea, I don't
think switching to any type",93.34,11.78,105.12,angry
"of diet beverage offers any benefit. (upbeat music) I usually recommend people who are currently consuming
foods that are high in sugar, especially juice or soda,",105.12,12.113999999999999,117.23400000000001,NA
"try to switch to artificially
sweetened soda or juice if they do not wanna switch to completely unsweetened beverages which is water, black
coffee, or herbal tea. Eventually though, I
think for ideal health",118.59,13.96,132.55,angry
"they would also limit their
consumption or their eating of diet products as well. So if somebody starting out by drinking two liters
per day of a diet soda, which a lot of people who do that",132.55,12.32,144.87,angry
"I recommend trying to limit that to one liter a day for a
few weeks or few months. Yes, eventually they can
sort of wean themselves down. (upbeat music) Artificial sweeteners can worsen headache.",144.87,13.023,157.893,NA
"They might be related to seizures and they may affect your mood. Though I usually recommend limiting them in people who suffer from
migraine or mood disorders or who have a history
of seizure disorders.",158.88,12.714,171.594,angry
"(upbeat music) I don't think anyone can say with 100% certainty,
artificial are bad for you, or that they're good for you. I don't think any data
shows they're good for you.",171.594,12.926,184.51999999999998,NA
"They might be bad for you but I believe they are better
than full sugar option. (upbeat music)",184.52,8.144,192.66400000000002,NA
