text,start,duration,end,dominant_emotion
Hey guys.,1.78,1.0,2.7800000000000002,neutral
Dr. Berg here.,2.78,1.0,3.78,sad
"In this short video, we're going to talk about
hypoglycemia.",3.78,1.56,5.34,sad
What is that?,5.34,1.0,6.34,sad
That's a low blood sugar situation.,6.34,2.67,9.01,sad
The symptoms are irritableness.,9.01,3.09,12.1,sad
"Sometimes you get bloodshot eyes or irritable
or sand in the eyes that feels like it's an",12.1,3.819,15.919,neutral
"irritated or sensitive eye situation, but
you're going to be craving carbs.",15.919,5.921,21.84,sad
You're not going to think correctly.,21.84,1.36,23.2,fear
You're going to be looking for sugar.,23.2,2.51,25.71,fear
"What's happening is you have a rebound effect
from insulin being too powerful.",25.71,7.04,32.75,sad
"The insulin is too much, and it's creating
a decrease in the blood sugars.",32.75,3.37,36.12,fear
"Normally it's between 80 and a hundred, and
then anytime you go lower than that, you create",36.12,4.239,40.358999999999995,sad
a situation where you're hypoglycemic.,40.359,3.34,43.699,fear
"Now, the way it works is the pancreas makes
insulin, and it makes another hormone called",43.699,7.84,51.539,sad
glucagon.,51.539,1.0,52.539,NA
"So this is another new word I wanted to help
you understand.",52.539,4.351,56.89,fear
"Glucagon is kind of like, it work with insulin.",56.89,3.269,60.159,fear
"It sort of works ... It works together, not
necessarily opposed, to bring the sugars at",60.159,5.091,65.25,sad
a certain level.,65.25,1.0,66.25,sad
"So glucagon, what that does, it releases stored
sugar in the liver to raise the sugar higher.",66.25,9.92,76.17,sad
"So that way we can always have a balance of,
if something's too high, bring it down.",76.17,4.29,80.46000000000001,sad
"If it's too low, it brings it up.",80.46,1.699,82.15899999999999,fear
"So we have both of these hormones working
together to keep your blood sugars level.",82.159,5.161,87.32000000000001,fear
All right?,87.32,1.88,89.19999999999999,NA
"The real problem that creates this is too
much insulin.",89.2,2.339,91.539,fear
It means you eat too much sugar.,91.539,3.451,94.99,fear
"What triggers insulin is sugar and refined
carbohydrates.",94.99,3.18,98.17,fear
"The body will go in there and take the sugar
out and store it as fat or cholesterol.",98.17,9.189,107.35900000000001,sad
"What happens is that you have glucagon, which
is also going to work in this trigger by protein.",107.359,7.07,114.429,sad
"So that's why, if you take a hypoglycemic
and you give them protein, they feel so much",114.429,3.821,118.25,sad
better.,118.25,1.27,119.52,fear
Why?,119.52,1.269,120.789,fear
"Because you are triggering the release of
sugar, and it's going to raise the sugar,",120.789,4.101,124.89,fear
"and now all of a sudden, the cravings will
go away.",124.89,2.32,127.21,fear
