text,start,duration,end,dominant_emotion
hi everyone happy new year,7.639,5.531,13.17,sad
I'm Cheryl Christian from low-gi meals,10.71,7.68,18.39,sad
and I am a passionate fitness person but,13.17,7.26,20.43,sad
I'm also very very passionate about,18.39,4.799,23.189,sad
teaching nutrition I myself did not,20.43,4.679,25.109,sad
understand the correlation of how,23.189,4.561,27.75,sad
important it was to eat right to get the,25.109,4.801,29.910000000000004,sad
best out of your workout and to live a,27.75,4.38,32.13,sad
really healthy lifestyle so I want to,29.91,5.37,35.28,sad
start off with just a very few simple,32.13,5.46,37.59,sad
points there are six classes of,35.28,3.9,39.18,neutral
nutrients let's start with that so you,37.59,4.05,41.64,sad
have your carbohydrates proteins and,39.18,4.92,44.1,sad
fats and then there's vitamins minerals,41.64,4.649,46.289,sad
and water I only want to talk right now,44.1,4.139,48.239000000000004,sad
about the first three because those are,46.289,3.36,49.649,sad
the ones that are going to provide an,48.239,4.021,52.26,sad
energy source to you and fuel your,49.649,5.82,55.469,sad
activities so what I want to also talk,52.26,4.77,57.03,sad
about is the importance of the low,55.469,4.531,60.0,sad
glycemic index now a lot of people are,57.03,4.829,61.859,sad
just starting to hear about this so I'm,60.0,4.409,64.409,sad
going to try and quickly explain what,61.859,4.651,66.51,sad
it's all about to you so first of all,64.409,5.011,69.42,sad
we're talking about carbohydrates so in,66.51,4.92,71.43,sad
that food group you're going we're,69.42,6.269,75.68900000000001,sad
talking about your breads rice pastas,71.43,6.299,77.72900000000001,sad
your fruits and vegetables these are all,75.689,5.22,80.90899999999999,fear
carbohydrates they give you energy,77.729,6.721,84.45,sad
sometimes instant energy we don't want,80.909,5.221,86.13000000000001,sad
you to focus on those foods that give,84.45,3.36,87.81,sad
you instant energy and I'm going to tell,86.13,4.41,90.53999999999999,sad
you why right now here's my chart and,87.81,4.26,92.07000000000001,sad
let's just say in the morning you have,90.54,4.59,95.13000000000001,fear
at breakfast and you have let's just say,92.07,6.119,98.189,sad
whole-wheat toast and some juice those,95.13,5.76,100.89,sad
foods break down very quickly to blood,98.189,4.621,102.80999999999999,sad
glucose or blood sugar okay they're,100.89,3.6,104.49,sad
gonna break down into a sugar in your,102.81,4.379,107.18900000000001,sad
system they're going to raise your blood,104.49,5.37,109.86,sad
Sugar's really quickly and what happens,107.189,5.101,112.28999999999999,sad
at that peak point is the body's,109.86,5.31,115.17,sad
