text,start,duration,end,dominant_emotion
[Music],0.38,4.419,4.7989999999999995,fear
metabolic syndrome is a cluster of,3.04,3.359,6.399,fear
medical problems with the common,4.799,3.361,8.16,angry
underlying root cause of insulin,6.399,2.961,9.36,angry
resistance,8.16,2.72,10.88,angry
insulin is a hormone made by the,9.36,3.12,12.48,angry
pancreas which is released into the,10.88,3.679,14.559000000000001,angry
blood to regulate blood sugar,12.48,3.76,16.240000000000002,neutral
too high of blood sugar reduces the,14.559,3.521,18.08,neutral
effectiveness of our immune system,16.24,3.68,19.919999999999998,neutral
changes the ph of our blood and can,18.08,4.24,22.32,neutral
disrupt nerve signaling in the body,19.92,4.72,24.64,neutral
symptoms include increased belly fat,22.32,3.52,25.84,angry
high blood pressure,24.64,3.76,28.4,angry
high cholesterol and rising blood sugars,25.84,4.4,30.240000000000002,angry
the risks of metabolic syndrome,28.4,3.839,32.239,angry
include strokes heart disease and,30.24,3.2,33.44,angry
cancers,32.239,3.201,35.44,angry
insulin resistance is where your body's,33.44,3.92,37.36,angry
elevated blood sugar cannot be lowered,35.44,4.24,39.68,angry
by the insulin your body is making,37.36,4.24,41.6,neutral
the hormones of metabolism and stress,39.68,3.039,42.719,neutral
regulation are,41.6,3.279,44.879000000000005,angry
involved and it's not fully understood,42.719,3.601,46.32,angry
if increasing body fat,44.879,3.441,48.32,neutral
drives insulin resistance or if,46.32,3.2,49.52,neutral
increasing,48.32,3.52,51.84,neutral
insulin resistance drives accumulation,49.52,3.6,53.120000000000005,neutral
of body fat,51.84,3.359,55.199000000000005,angry
genetics and environment or lifestyle,53.12,4.24,57.36,angry
choices can also contribute to having,55.199,3.601,58.8,angry
metabolic syndrome,57.36,3.199,60.559,neutral
metabolic syndrome does make it more,58.8,3.36,62.16,neutral
difficult to lose weight because the,60.559,3.441,64.0,neutral
body is in a hormonal state,62.16,5.12,67.28,neutral
of stress where we store or gain,64.0,5.28,69.28,neutral
and not in that of to use calories and,67.28,3.36,70.64,neutral
to lose fat,69.28,3.12,72.4,angry
making lifestyle changes such as,70.64,3.92,74.56,angry
increasing activity not snacking,72.4,4.56,76.96000000000001,fear
practicing mindfulness eating more whole,74.56,3.44,78.0,fear
foods and fiber,76.96,3.519,80.479,fear
are hallmarks of treatment avoid simple,78.0,4.08,82.08,neutral
carbohydrates and sugars,80.479,3.601,84.08,neutral
is also important to reduce the need for,82.08,3.12,85.2,neutral
insulin,84.08,3.039,87.119,neutral
lean protein consumption and healthy,85.2,3.599,88.799,neutral
fats don't cause the same spike in,87.119,3.521,90.64,neutral
insulin as carbohydrates do,88.799,3.68,92.47900000000001,neutral
however i must warn you not all,90.64,3.76,94.4,neutral
carbohydrates are equal,92.479,3.841,96.32,neutral
foods without labels or those with a,94.4,3.12,97.52000000000001,neutral
single ingredient,96.32,3.439,99.75899999999999,neutral
are the best for you vegetables and,97.52,4.0,101.52,neutral
legumes are complex,99.759,4.561,104.32,neutral
carbohydrates rich in fiber and,101.52,5.44,106.96,neutral
antioxidants and are also good for you,104.32,4.24,108.55999999999999,neutral
the mediterranean diet is a great,106.96,3.6,110.55999999999999,neutral
resource or example of a whole foods,108.56,2.96,111.52,neutral
diet,110.56,2.48,113.04,neutral
weight loss surgery has the most,111.52,3.279,114.79899999999999,neutral
profound effects on weight loss in the,113.04,3.52,116.56,neutral
treatment of metabolic syndrome compared,114.799,4.081,118.88000000000001,neutral
to any other treatment modality,116.56,4.48,121.04,neutral
weight loss surgery paired with healthy,118.88,3.36,122.24,neutral
lifestyle changes,121.04,3.119,124.159,neutral
statistically can reverse metabolic,122.24,3.919,126.15899999999999,neutral
syndrome in as many as 85 percent of,124.159,2.721,126.88000000000001,neutral
cases,126.159,3.44,129.59900000000002,angry
versus medical therapy alone weight loss,126.88,4.8,131.68,neutral
surgery is now commonly referred to as,129.599,3.201,132.79999999999998,neutral
metabolic surgery,131.68,3.04,134.72,fear
because of this effect on the hormones,132.8,3.439,136.239,neutral
that regulate insulin,134.72,4.159,138.879,neutral
appetite and body weight to learn more,136.239,4.601,140.84,neutral
contact samaritan weight management,138.879,4.961,143.84,neutral
institute,140.84,3.0,143.84,neutral
