text,start,duration,end,dominant_emotion
obviously pre-diabetes is a major burden,0.0,5.46,5.46,NA
here in America pre-diabetes is when you,2.58,5.729,8.309000000000001,NA
basically have a high blood sugar but,5.46,4.08,9.54,NA
it's not high enough to be called,8.309,3.921,12.229999999999999,NA
diabetes so we know that there is a,9.54,5.82,15.36,NA
significant genetic component a family,12.23,5.71,17.94,fear
history when it comes to diabetes but it,15.36,4.32,19.68,neutral
doesn't necessarily mean that you will,17.94,4.02,21.96,NA
develop diabetes if you make the right,19.68,4.769,24.448999999999998,NA
decisions I make the right choices the,21.96,4.829,26.789,NA
fact the things you do every day has an,24.449,5.281,29.73,neutral
impact diabetes comes from resistance to,26.789,5.761,32.550000000000004,neutral
insulin in some patients and then obese,29.73,5.579,35.309,neutral
increases that risk so when you lose,32.55,4.97,37.519999999999996,neutral
weight your body's resistance to insulin,35.309,4.77,40.07899999999999,sad
you know is less and you don't have,37.52,4.21,41.730000000000004,sad
diabetes or the risk is reduced,40.079,3.541,43.62,sad
significantly the thing that we,41.73,3.809,45.538999999999994,neutral
recommend for patients to do will have a,43.62,4.14,47.76,neutral
high blood sugar like pre-diabetes is,45.539,4.831,50.370000000000005,NA
basically to know to exercise but that's,47.76,5.31,53.07,NA
very important you know 30 to 45 minutes,50.37,4.619,54.989,NA
every day if you can do it most days of,53.07,4.52,57.59,NA
the week or you also want to eat right,54.989,5.191,60.18,NA
avoiding simple carbs you want to eat,57.59,4.69,62.28,NA
more fruits vegetable fibers there are,60.18,4.32,64.5,NA
30 million Americans I have diabetes but,62.28,3.629,65.909,NA
you're almost 90 million I have,64.5,3.78,68.28,NA
pre-diabetes and studies have shown that,65.909,4.32,70.22900000000001,NA
within three to five years if you do,68.28,3.39,71.67,NA
have pre-diabetes and you don't do,70.229,3.301,73.53,NA
anything you will develop full-blown,71.67,4.559,76.229,NA
diabetes there's good news because,73.53,4.409,77.93900000000001,NA
numerous studies have shown that,76.229,4.621,80.85,NA
diabetes is totally preventable and it,77.939,5.401,83.33999999999999,NA
can be mitigated to a large extent by,80.85,4.32,85.16999999999999,NA
your daily choices what you eat,83.34,4.02,87.36,sad
powerfully exercise you know and,85.17,4.32,89.49000000000001,sad
maintain your healthy habits that's a,87.36,3.12,90.48,NA
good one,89.49,3.05,92.53999999999999,NA
you,90.48,2.06,92.54,NA
