text,start,duration,end,dominant_emotion
"We specialize in the treatment of various
foot conditions and the beautification of",2.71,3.62,6.33,happy
"your feet through medical pedicure within
the Ottawa region.",6.33,3.95,10.280000000000001,surprise
"Medical pedicures are nail and foot care provided
with a hospital grade sterilization protocol,",10.28,4.57,14.85,surprise
"by trained and qualified foot specialists,
doctors of podiatric medicine, and chiropodists.",14.85,5.22,20.07,happy
"Today, I will be talking about diabetic foot
ulcers.",20.07,3.68,23.75,happy
"A diabetic foot ulceration is a very dangerous
skin breakdown, opening the door to bacterial",23.75,5.94,29.69,fear
"infection and possible amputation of the affected
foot.",29.69,4.4,34.09,fear
"Most skin ulcers occur at the bottom aspect
of the feet as a result of these areas are",34.09,4.89,38.980000000000004,fear
subject to weight bearing.,38.98,1.41,40.38999999999999,fear
"The most prevalent areas affected by skin
breakdown include:",40.39,4.46,44.85,fear
"- Bottom aspect of the feet, mainly heels
and ball of the foot; and",44.85,4.0,48.85,fear
"- Tips of the most prominent or the most hypercontracted
toes.",48.85,5.489,54.339,fear
"The poor peripheral blood circulation of diabetic
people, sometimes complicated with poor distal",54.339,5.511,59.85,fear
"nerve conduction and protection, sooner or
later weaken the ability of the skin of the",59.85,4.831,64.681,fear
affected feet to regenerate and heal.,64.681,2.959,67.64,surprise
"Ulcers will develop because feet are far away
from the hearth, the very last to receive",67.64,4.14,71.78,fear
"blood nutrients as well as the very first
to suffer from an impaired blood circulation.",71.78,4.69,76.47,fear
"The reduced blood flow to the foot results
is slow healing and low sensitivity.",76.47,5.28,81.75,fear
"As a result, diabetic foot ulcers are responsible
for more hospitalizations than any other complication",81.75,5.17,86.92,fear
associated with diabetes.,86.92,1.269,88.18900000000001,happy
"We provide cleanliness and proper sterilization
procedures when it comes to the treatment",88.189,4.171,92.36,fear
of your feet.,92.36,0.499,92.859,happy
