text,start,duration,end,dominant_emotion
[Music] growth hormone is pulsatile throughout the day and is not useful for the diagnosis of acromegaly the best screening test is a serum igf-1 or,0.65,26.509999999999998,27.159999999999997,angry
insulin derived growth factor excess growth hormone is confirmed with an oral glucose tolerance test because glucose normally suppresses growth hormone levels to less than one nanogram per ml,13.71,25.34,39.05,angry
growth hormone levels greater than one nanogram per per ml are diagnostic of growth hormone excess anterior pituitary MRI should be obtained once growth hormone excess is confirmed by,26.93,25.599,52.528999999999996,angry
chemically to rule out aperture tree lesion acromegaly is the clinical syndrome that occurs when a pituitary tumor secretes excessive amounts of growth hormone in an adult patient prior,39.719,24.811,64.53,angry
to puberty patients with growth hormone secreting tumors develop excessive longitudinal growth and gigantism above normal for age let's go through some of the external features of acromegaly,52.14,25.56,77.7,angry
again in the head there may be prominence of the brow and jawline they may have been enlarged skull there may be facial edema and cautioning of facial features excessive spacing between the,65.01,23.97,88.98,angry
teeth usually of the lower jaw and finally macro gracia or enlargement of the tongue the skin can demonstrate thickening and skin tags and the hands and feet may be disproportionately large,77.22,29.509,106.729,angry
in the joints arthritis may be a manifestation and other internal features include diabetes mellitus hypertension colon polyps and excessive perspiration or hyperhidrosis,91.43,30.059999999999995,121.49000000000001,angry
obstructive sleep apnea is usually caused by excessive growth of tissue in the upper airway and are in and around the mouth along with macro gracia which leads to obstructive symptoms when,106.49,25.021,131.511,angry
sleeping left ventricular hypertrophy can occur in the heart and these patients may present with cardiomyopathies and then finally there are increased rates of cancers,119.13,20.648999999999997,139.779,NA
particularly the colon esophagus and stomach as well and even melanomas a clinical pearl here is in clinical practice because of the increased number of colonic polyps,129.509,23.82,153.32899999999998,angry
patients are predisposed to colon cancers and will often present as a as a first feature with blood in the stool the treatment of acromegaly requires transfer noodle tumor resection and,141.33,24.869999999999997,166.20000000000002,angry
surgery is the only treatment that is potentially curative remission is achieved when igf-1 levels are within the normal range for age and the response of growth hormone to glucose,153.959,23.300999999999995,177.26,angry
tolerance tests returns to normal patients not achieving remission require injection injectable somatostatin analogs to inhibit growth hormone secretion high-dose dopamine agonist,165.51,23.679000000000002,189.189,angry
therapy is marginally effective when the tumor Co secretes prolactin heavy segment a growth hormone receptor blocker is then used to lower igf-1 levels but it works in the peripheral,177.329,23.671,201.0,angry
tissues as an antagonist to growth hormone and does not decrease growth hormone production by the tumor [Music],189.45,27.669,217.119,NA
