text,start,duration,end,dominant_emotion
so I know that you probably found this,0.03,2.94,2.9699999999999998,sad
video because you're looking for an,1.5,3.569,5.069,sad
alternative to that nasty Glu Cola that,2.97,3.69,6.66,sad
you're gonna drink for you that glucose,5.069,2.701,7.77,sad
tolerance test,6.66,3.0,9.66,sad
hey hey mama is it's your midwife Kyra,7.77,3.93,11.7,sad
here I want to give you a truly natural,9.66,4.47,14.129999999999999,fear
perspective on that glucose tolerance,11.7,4.95,16.65,sad
test if truly natural is something that,14.13,3.899,18.029,sad
you're interested in you're gonna want,16.65,2.19,18.84,sad
to go ahead and click the subscribe,18.029,2.881,20.91,sad
button to get update every Midwife,18.84,4.17,23.009999999999998,sad
Monday but for today let's talk a little,20.91,4.65,25.560000000000002,sad
bit about the glucose tolerance test so,23.01,3.75,26.76,sad
this looks actually a really common,25.56,2.91,28.47,sad
topic I've been watching it spread all,26.76,3.39,30.150000000000002,fear
over the internet for the last couple of,28.47,3.78,32.25,fear
years that mom is just like you are,30.15,4.319,34.469,sad
looking for alternatives to that nasty,32.25,3.96,36.21,sad
Glu Cola because of all of its harsh,34.469,2.551,37.02,sad
chemicals,36.21,3.15,39.36,sad
it's nasty ingredients it's really,37.02,4.109,41.129000000000005,sad
starting to get a bad rap among the,39.36,4.289,43.649,sad
natural community traditionally since,41.129,4.291,45.42,sad
I've been trained at least midwives have,43.649,3.691,47.34,fear
offered an alternative to the Glu Cola,45.42,4.709,50.129000000000005,fear
txt and still getting the same glucose,47.34,4.8,52.14,fear
tolerance test results that are really,50.129,3.601,53.73,fear
important to the optimal health of your,52.14,4.11,56.25,sad
pregnancy so if you're wondering if the,53.73,4.53,58.26,sad
test is important the answer is yes,56.25,4.949,61.199,sad
so around 28 weeks of pregnancy your,58.26,4.529,62.789,sad
physician or Midwife is gonna be,61.199,3.24,64.439,fear
offering you a glucose tolerance test,62.789,3.841,66.63,fear
and let me start by saying this test is,64.439,3.811,68.25,sad
actually really important,66.63,4.5,71.13,sad
diabetes is rampant in the United States,68.25,5.7,73.95,sad
but particularly during pregnancy it is,71.13,4.19,75.32,sad
actually a pretty common problem,73.95,3.51,77.46000000000001,sad
particularly in Louisiana where I,75.32,5.08,80.39999999999999,sad
practice because of the diets that we,77.46,6.99,84.44999999999999,sad
