text,start,duration,end,dominant_emotion
[Music] hello ladies and gentlemen dr ravi shanker senior endocrinologist apollo hospitals jupiter hills hyderabad is here to,0.23,21.951,22.181,NA
discuss about what is bmi bmi stands for body mass index it is a way of standardizing and teasing out if one is really overweight,17.68,22.959,40.638999999999996,angry
weight in kilos divided by height in meter square for example if somebody were to be 170 centimeters you multiply that twice 1.7 into 1.7 okay and you take the weight for example,29.519,32.239999999999995,61.75899999999999,angry
if the weight is around 70 kilos you divide 70 kilos by whatever you get as a product of multiplying 1.7 into 1.7 you get a value it could be 23 for example,46.32,25.439999999999998,71.75999999999999,angry
so if somebody were to be falling within a certain bracket then you can call them as not being overweight for example if you're less than 25,58.399,20.721000000000004,79.12,angry
then you're fine if if are less than say 18 then you are very thin and you're underweight if your bmi is more than 25 yeah you're,68.96,18.0,86.96,angry
definitely more than what you shouldn't be and if you're more than 30 then definitely you're obese and again you know,78.88,18.88,97.75999999999999,angry
if your weight is say more than 35 or 40 then you can call it as very obese or morbidly obese so there is a classification for this you don't have to remember all,86.88,19.919,106.79899999999999,angry
this classification but body mass index is a way of measuring if somebody is overweight or not and this is a standardized,98.079,17.759999999999998,115.839,angry
way of doing it because somebody could be very tall and they could be 80 kilo 80 kilos you can't call that individual as,106.32,19.121,125.44099999999999,angry
overweight but if somebody who is only um say five feet height and is 70 kilos in weight that person is overweight so you have a standardization,116.32,25.440000000000005,141.76,angry
by means of bmi to say if somebody is overweight or not that's all you need to know take care,128.56,19.520000000000003,148.08,angry
