text,start,duration,end,dominant_emotion
here's the latest on xbox.com data from,0.0,5.97,5.97,fear
a recent real-world observational study,3.659,4.891,8.55,fear
has found its an obvious type 2 diabetes,5.97,5.339,11.309000000000001,NA
drug to jail but associated with a lower,8.55,5.28,13.830000000000002,NA
risk of hypoglycemia compared to other,11.309,5.671,16.98,NA
basal insulin according to the,13.83,5.25,19.08,NA
researchers diabetic patients taken to,16.98,5.28,22.26,NA
jail experience your hypoglycemic events,19.08,7.039,26.119,NA
without loss of blood sugar control,22.26,3.859,26.119,NA
[Music],28.36,6.35,34.71,NA
hello I'm Sara hand editor and webinar,31.55,5.62,37.17,NA
moderator for a coxcomb and welcome to,34.71,5.13,39.84,surprise
this edition of X ox vitals the,37.17,5.58,42.75,surprise
observational study deliver one analyzed,39.84,5.1,44.940000000000005,surprise
the electronic medical records for,42.75,5.93,48.68,surprise
"nearly 1,900 type 2 diabetic patients",44.94,6.93,51.87,sad
for the purposes of comparative analysis,48.68,5.83,54.51,fear
patients were equally split into two,51.87,5.579,57.449,surprise
cohorts patients that switch from basal,54.51,5.52,60.03,surprise
insulin to to jail and patients that,57.449,5.27,62.718999999999994,sad
switch from one basal insulin to another,60.03,5.94,65.97,NA
using data collected one year before the,62.719,5.951,68.67,NA
medication switch and six months after,65.97,5.189,71.15899999999999,NA
the researchers compared the average,68.67,5.129,73.799,NA
change in blood sugar levels occurrence,71.159,4.861,76.02000000000001,NA
of hypoglycemia and the incidence of,73.799,5.011,78.81,NA
hypoglycemia related in patient and,76.02,6.3,82.32,NA
emergency room visits diabetic patients,78.81,5.79,84.60000000000001,NA
who switch from basal insulin to to Jo,82.32,4.86,87.17999999999999,NA
showed fewer hypoglycemic events,84.6,4.589,89.189,NA
compared to those to switch to another,87.18,5.61,92.79,NA
basal insulin what's more the reduced,89.189,6.271,95.46,NA
rate of hypoglycemic events was not,92.79,4.68,97.47,surprise
associated with a compromise in blood,95.46,5.42,100.88,surprise
sugar control in patients taking two jo,97.47,6.3,103.77,surprise
patients taking to jail also experienced,100.88,4.93,105.81,surprise
a nearly fifty percent reduction in,103.77,4.559,108.329,fear
inpatient or emergency room visits,105.81,5.33,111.14,surprise
associated with hypoglycemic events,108.329,5.281,113.61,surprise
subscribe to the Xbox YouTube channel by,111.14,4.299,115.43900000000001,sad
clicking the subscribe button below and,113.61,5.28,118.89,surprise
visit XCOM for more information on this,115.439,5.551,120.99,surprise
story and others like it in the life,118.89,4.549,123.43900000000001,neutral
science industry,120.99,2.449,123.439,neutral
[Music],125.38,5.129,130.509,NA
