text,start,duration,end,dominant_emotion
could covert 19 trigger diabetes,0.24,4.48,4.720000000000001,
like we needed it but proof that the,3.04,3.92,6.96,
freestyle libra works,4.72,5.44,10.16,
and could a cure be around the corner,6.96,10.96,17.92,
that's all coming up in today's video,10.16,7.76,17.92,
hello my name's jamie lowe and news,20.24,3.92,24.159999999999997,fear
about that cure coming up in just a,22.08,4.08,26.159999999999997,fear
second but first emerging evidence,24.16,3.84,28.0,fear
suggests that covid19,26.16,4.4,30.560000000000002,fear
could trigger diabetes in some people,28.0,4.399,32.399,fear
but scientists don't know yet if these,30.56,4.48,35.04,fear
cases represent type 1 diabetes,32.399,5.761,38.160000000000004,fear
type 2 diabetes or a new form,35.04,5.039,40.079,fear
scientists have long suspected viral,38.16,3.68,41.839999999999996,fear
infections could play a role in,40.079,4.16,44.239000000000004,
triggering some type 1 diabetes at least,41.84,5.039,46.879000000000005,
in some people but now the new england,44.239,4.32,48.559,
journal of medicine has published the,46.879,2.241,49.12,
emerging,48.559,2.561,51.12,
observations of a team of 17,49.12,3.759,52.879,
international researchers exploring,51.12,2.32,53.44,
links,52.879,3.441,56.32,fear
between covert 19 patients and diabetes,53.44,5.439,58.879,
francesco rubino a researcher on one of,56.32,3.52,59.84,
the projects,58.879,2.881,61.76,
said diabetes is one of the most,59.84,3.6,63.440000000000005,fear
prevalent chronic diseases,61.76,3.439,65.199,fear
and we are now realizing the,63.44,4.24,67.67999999999999,
consequences of the inevitable clash,65.199,5.441,70.64,
between two pandemics the freestyle,67.68,3.759,71.43900000000001,
libra system,70.64,3.36,74.0,
significantly improves glycemic control,71.439,5.04,76.479,
and hypoglycemic awareness according to,74.0,4.08,78.08,
the abdc's first,76.479,4.081,80.56,
national audit into the technology now i,78.08,4.0,82.08,
don't think this is coming as a surprise,80.56,2.559,83.119,happy
to anyone really,82.08,3.359,85.439,happy
i have been using the freestyle libra,83.119,3.761,86.88,happy
for,85.439,3.121,88.55999999999999,happy
i think a couple of years now i can't,86.88,3.12,90.0,happy
even remember when i got it i think i,88.56,3.28,91.84,
got it around the same time as i got my,90.0,2.799,92.799,
pump so,91.84,5.2,97.04,
approximately two years and i do,92.799,6.401,99.2,
and i'm exposing myself here probably,97.04,4.48,101.52000000000001,
about five fingerprint tests,99.2,4.64,103.84,
in a year i do very very little it's,101.52,3.76,105.28,
completely changed,103.84,3.52,107.36,
my relationship with diabetes and my,105.28,3.68,108.96000000000001,
