text,start,duration,end,dominant_emotion
okay so,4.08,3.04,7.12,NA
dana just finished,5.359,4.561,9.92,happy
well today's her last visit and we did,7.12,4.88,12.0,happy
our evaluation,9.92,4.799,14.719000000000001,happy
and i'm totally blown away at how well,12.0,4.56,16.56,happy
she's done i know she's done really well,14.719,2.56,17.279,happy
so,16.56,2.0,18.56,happy
tell a little bit about what brought you,17.279,3.121,20.4,happy
into the office what was this what were,18.56,4.799,23.358999999999998,happy
your symptoms first well i do a lot of,20.4,4.16,24.56,happy
walking,23.359,5.601,28.96,happy
and for exercise as well as doing my,24.56,7.839,32.399,happy
gym thing and my feet would just keep,28.96,6.08,35.04,happy
burning and burning all the time was,32.399,4.721,37.120000000000005,happy
just achy and,35.04,3.039,38.079,happy
and,37.12,3.439,40.559,happy
really not able to really,38.079,4.721,42.8,happy
function well really well and feel good,40.559,3.84,44.399,happy
about it and how long have that been,42.8,3.759,46.559,happy
bothering you for oh gosh it's probably,44.399,3.521,47.92,happy
been,46.559,3.52,50.079,happy
15 years okay,47.92,4.08,52.0,happy
now deana came in and actually did,50.079,5.441,55.52,happy
another program of mine a few years ago,52.0,5.84,57.84,happy
for thyroid problems and she did really,55.52,4.559,60.079,happy
well with that as well,57.84,4.719,62.559000000000005,happy
she came in a couple of months ago and,60.079,5.04,65.119,happy
said hey i saw your ad and i have this,62.559,3.841,66.39999999999999,happy
and i didn't even know she was dealing,65.119,2.161,67.28,happy
with that,66.4,4.24,70.64,happy
so we put together a program for her and,67.28,7.04,74.32000000000001,happy
so when she started out she was 73 loss,70.64,7.28,77.92,happy
of function on her one foot and 63 loss,74.32,5.52,79.83999999999999,happy
of function on the other,77.92,5.68,83.6,happy
today we just did the reaval and what,79.84,5.68,85.52000000000001,happy
were your numbers,83.6,5.44,89.03999999999999,happy
eight on one side and 21 on the other,85.52,4.4,89.92,happy
side,89.04,3.28,92.32000000000001,happy
eight percent loss she went from 63,89.92,4.48,94.4,happy
percent loss of function to eight,92.32,4.0,96.32,happy
percent loss which is incredible i've,94.4,3.84,98.24000000000001,happy
never had that happen so far that's the,96.32,4.4,100.72,happy
best results i've ever seen so far,98.24,5.28,103.52,happy
the other one to go to 21,100.72,5.28,106.0,happy
is incredible as well when you start out,103.52,4.72,108.24,happy
at 73 percent loss of function and go to,106.0,4.0,110.0,happy
21,108.24,3.519,111.759,happy
that's incredible you know i'm happy,110.0,6.079,116.079,happy
when i see a 55 percent um you know,111.759,6.72,118.479,happy
functionality versus,116.079,4.64,120.719,happy
when you're that low so that was,118.479,4.401,122.88,happy
incredible i am just i'm i'm kind of,120.719,3.76,124.479,happy
speechless it's incredible how well,122.88,3.76,126.64,happy
she's done now why did you think you've,124.479,3.201,127.67999999999999,happy
done so well because you were just,126.64,2.959,129.599,happy
telling me that so tell tell,127.68,3.68,131.36,happy
the audience whoever's watching this why,129.599,3.36,132.959,happy
did you do so well,131.36,4.959,136.31900000000002,happy
i i think i did well because i,132.959,6.241,139.2,happy
was really strict with the diet okay,136.319,4.0,140.319,happy
which,139.2,5.119,144.319,happy
also let me lose 18 pounds wow,140.319,7.601,147.92,happy
we'll take that yeah how old are you,144.319,4.481,148.79999999999998,happy
i'll be,147.92,4.959,152.879,happy
i'm 77. 77. so usually 77,148.8,6.0,154.8,happy
year old people aren't losing weight,152.879,3.521,156.39999999999998,happy
unless there's problems like health,154.8,4.0,158.8,happy
problems right yes so that's great i,156.4,4.8,161.20000000000002,happy
mean so an added bonus,158.8,4.64,163.44,happy
but she stuck to the diet she did the,161.2,4.56,165.76,happy
metabolic stuff that we needed to do and,163.44,3.84,167.28,happy
look at those numbers,165.76,2.96,168.72,happy
21,167.28,3.12,170.4,happy
loss of function and eight percent loss,168.72,3.36,172.08,happy
of function so that means,170.4,4.08,174.48000000000002,happy
she her numbers basically flipped on her,172.08,5.28,177.36,happy
one foot she was had a 73 percent loss,174.48,6.399,180.879,happy
and now she has 73 percent gain which is,177.36,5.2,182.56,happy
awesome,180.879,3.121,184.0,happy
what would you recommend people who are,182.56,3.36,185.92000000000002,happy
looking at this program,184.0,8.879,192.879,happy
i i would say come in talk to dr watt um,185.92,6.959,192.879,happy
and just,193.04,4.0,197.04,happy
adhere to whatever he says and be strict,194.0,4.959,198.959,happy
about everything because it's worth it i,197.04,4.08,201.12,happy
mean it's it's it's so much worth it to,198.959,4.321,203.28,happy
avoid the bad stuff to get what we've,201.12,3.119,204.239,happy
gotten,203.28,3.44,206.72,happy
and sometimes it's just really hard to,204.239,4.961,209.20000000000002,happy
follow a diet day after day right yeah,206.72,4.159,210.879,happy
it gets old for sure,209.2,4.959,214.159,happy
and you you just gotta really be strict,210.879,4.321,215.2,happy
and,214.159,3.36,217.519,happy
and stick to it yeah mind the in the,215.2,5.44,220.64,happy
right place and look at the big picture,217.519,4.961,222.48000000000002,happy
yeah for sure now do you have any more,220.64,3.36,224.0,happy
burning on the feet i didn't even ask,222.48,3.2,225.67999999999998,happy
you this question no more burning in the,224.0,4.0,228.0,happy
feet you're walking you're exercising,225.68,3.919,229.59900000000002,happy
all that stuff she goes to curves,228.0,2.959,230.959,happy
regularly,229.599,3.84,233.439,happy
and no more pain right that's a high,230.959,3.761,234.72,happy
five right there thank you so much,233.439,4.841,238.28,happy
you've been awesome,234.72,3.56,238.28,happy
you,248.239,2.08,250.31900000000002,NA
