text,start,duration,end,dominant_emotion
hi guys welcome to another episode of,0.32,2.8,3.1199999999999997,happy
sugar md,2.32,4.479,6.7989999999999995,happy
today we are talking about beets,3.12,6.32,9.440000000000001,happy
are beats good for diabetes i get this,6.799,3.121,9.92,happy
question,9.44,2.88,12.32,happy
frequently and i'll talk about that,9.92,3.28,13.2,happy
today,12.32,2.56,14.88,happy
i am dr ahmed ergin i'm an,13.2,3.68,16.88,happy
endocrinologist and a diabetes education,14.88,3.04,17.92,happy
specialist,16.88,4.559,21.439,happy
and let's talk about beets,17.92,3.519,21.439,happy
okay guys so beets are nice,24.16,5.6,29.759999999999998,happy
and tasty not everybody likes them but,27.519,3.361,30.88,happy
actually,29.76,4.319,34.079,happy
they are like medicinal food,30.88,5.92,36.8,happy
they do not necessarily help your,34.079,4.241,38.32,happy
diabetes per se,36.8,3.599,40.399,happy
but it helps a lot other things and i'll,38.32,4.079,42.399,happy
tell you what they are,40.399,4.64,45.039,happy
but let's talk about diabetes part first,42.399,3.68,46.079,happy
now one cup of,45.039,4.961,50.0,happy
raw beets are around 13 grams of carbs,46.079,6.48,52.559,happy
and they have good amount of fiber so,50.0,3.44,53.44,happy
you end up with,52.559,4.081,56.64,happy
around nine grams of net carbs,53.44,5.599,59.039,happy
which is not bad right so it's low in,56.64,3.52,60.160000000000004,happy
calories,59.039,2.801,61.84,happy
there's a great addition to your salad,60.16,3.92,64.08,happy
some people even drink beet juice,61.84,5.12,66.96000000000001,happy
but what is really important about beets,64.08,3.92,68.0,happy
is,66.96,4.24,71.19999999999999,happy
it is very good for your blood pressure,68.0,5.52,73.52,happy
a significant blood pressure drop has,71.2,3.36,74.56,happy
been seen,73.52,4.0,77.52,happy
with beets and beet juice now the,74.56,4.48,79.04,happy
beaches may have more,77.52,3.36,80.88,happy
carbohydrates in it so you have to be,79.04,3.68,82.72000000000001,happy
careful about how much you consume,80.88,4.96,85.83999999999999,happy
but it is very high in folate and b,82.72,6.88,89.6,happy
vitamins and very high in antioxidants,85.84,5.84,91.68,happy
now one of the antioxidants is alpha,89.6,3.519,93.119,happy
lipoic acid,91.68,3.92,95.60000000000001,happy
which has been shown to reduce the nerve,93.119,4.881,98.0,happy
damage in patients with diabetes,95.6,4.8,100.39999999999999,happy
so it helps your blood pressure,98.0,3.6,101.6,happy
reduction,100.4,2.96,103.36,happy
and it helps with the nerve damage now,101.6,3.6,105.19999999999999,happy
