text,start,duration,end,dominant_emotion
my name is Sarah I'm a certified,0.03,5.249,5.279,fear
diabetes educator today I'm going to,2.34,5.49,7.83,sad
demonstrate how to give insulin using an,5.279,5.221,10.5,sad
insulin pen first you need to gather,7.83,4.95,12.780000000000001,sad
your supplies which would be the insulin,10.5,6.06,16.56,sad
pen itself an alcohol swab and the pen,12.78,6.749,19.529,sad
needle then you want to wash your hands,16.56,5.37,21.93,sad
with soap and water or use an alcohol,19.529,8.881,28.41,sad
sanitation solution rub your hands,21.93,13.469,35.399,sad
together until it's dry start by,28.41,11.669,40.079,sad
removing the cap to the pan at this,35.399,7.68,43.079,sad
point if you have cloudy insulin which,40.079,5.701,45.78,sad
would include NPH insulin or mixture,43.079,6.121,49.2,sad
thereof you want to mix it you mix it,45.78,6.72,52.5,sad
with your palms like rolling it together,49.2,6.96,56.160000000000004,sad
or you can go gently back and forth you,52.5,6.899,59.399,sad
don't want to rigorously shake it if you,56.16,5.46,61.62,sad
have clear insulin that does not contain,59.399,5.461,64.86,sad
NPH then you can you don't don't have to,61.62,6.679,68.29899999999999,sad
mix you can skip that part all together,64.86,7.56,72.42,sad
use your alcohol lights to wipe the,68.299,8.011,76.31,sad
rubber membrane on the end of the pen,72.42,3.89,76.31,sad
and then remove the protective tab on,76.46,11.56,88.02,sad
the pen needle push the needle into the,81.869,9.061,90.93,
end of the pen and turn it clockwise to,88.02,7.59,95.61,
tighten it next you want to do what we,90.93,7.619,98.549,
call a safety check to make sure there's,95.61,6.149,101.759,sad
no air in the system you'll dial the,98.549,7.291,105.84,sad
dose indicator to two units remove the,101.759,6.871,108.63,sad
outer needle cap and save that for later,105.84,5.459,111.299,sad
the inner needle cap you can remove and,108.63,6.09,114.72,sad
throw away so you've dialed to two units,111.299,5.1,116.399,sad
you're going to push on the injector,114.72,3.509,118.229,sad
button and watch the end of the needle,116.399,3.961,120.36,sad
to make sure that you see some insulin,118.229,4.981,123.21,sad
come out it might be a stream or it,120.36,5.369,125.729,sad
might be just drops of insulin as long,123.21,4.14,127.35,sad
as you see liquid there you know that,125.729,4.98,130.709,sad
there's no air in the system next you're,127.35,4.74,132.09,sad
going to dial the dose that's been,130.709,3.061,133.77,sad
prescribed for you,132.09,4.8,136.89000000000001,
for example if five units is my dose,133.77,6.0,139.77,
I'll dial to the mark right between the,136.89,6.39,143.27999999999997,
four and the six and I'm ready to give,139.77,6.45,146.22,
it the preferred site for insulin,143.28,5.4,148.68,
administration is the abdomen the,146.22,5.07,151.29,
abdomen is from your ribcage to your,148.68,5.16,153.84,
hips and as far laterally as you can,151.29,5.31,156.6,sad
comfortably reach you want to rotate,153.84,4.89,158.73,sad
sites so that you're not returning to,156.6,4.34,160.94,
the same couple places again and again,158.73,4.92,163.64999999999998,sad
you should be about two finger widths,160.94,6.25,167.19,sad
away from your belly button so first,163.65,7.32,170.97,sad
expose the injection site hold your pen,167.19,6.99,174.18,sad
like a like a writing pen or a dart and,170.97,5.85,176.82,sad
then you want to go straight into the,174.18,6.33,180.51000000000002,sad
skin you can use the other hand if you,176.82,5.82,182.64,sad
wish or the same hand to push on the,180.51,5.52,186.03,sad
injector button and just you'll feel it,182.64,6.68,189.32,sad
and see it rotate as it is it's injected,186.03,8.34,194.37,sad
and then once you've injected the entire,189.32,8.53,197.85,NA
solution hold it for 10 seconds or count,194.37,8.52,202.89000000000001,NA
to ten before removing the needle when,197.85,7.5,205.35,NA
you're done you want to dispose of that,202.89,4.74,207.63,NA
pen needle in a puncture proof container,205.35,6.03,211.38,NA
a coffee can a detergent bottle a,207.63,5.579,213.209,NA
prescription bottle something that's,211.38,4.71,216.09,NA
puncture proof and has a lid you'll put,213.209,6.901,220.11,NA
the protective cap on and turn,216.09,9.29,225.38,NA
counterclockwise to remove the needle,220.11,5.27,225.38000000000002,NA
lastly you want to make sure the pen cap,226.43,5.05,231.48000000000002,NA
gets back on to protect the insulin from,228.99,4.85,233.84,NA
the light,231.48,2.36,233.84,NA
