text,start,duration,end,dominant_emotion
[Music],0.31,3.62,3.93,
hello i'm dr. sanjay panicum I found it,5.87,6.07,11.940000000000001,fear
Ambra Tommy apathy in 1997 in a small,9.12,5.34,14.459999999999999,neutral
town in Kerala later be expanded to,11.94,4.23,16.17,neutral
Bangalore and right now we have two,14.46,3.81,18.27,neutral
clinics in Koramangala and Merritt,16.17,4.38,20.55,neutral
Holley we specialize in hair and skin,18.27,5.249,23.519,neutral
problems respiratory problems pediatrics,20.55,6.41,26.96,neutral
allergies and infertility homeopathy can,23.519,6.901,30.419999999999998,neutral
reverse peripheral neuropathy provided,26.96,6.04,33.0,fear
peripheral neuropathy is detected in the,30.42,4.53,34.95,neutral
early stages of the patient comes to us,33.0,3.66,36.66,neutral
in the early stages of the disease as,34.95,4.019,38.969,neutral
the disease progresses and it becomes,36.66,3.899,40.559,neutral
more and more advanced it becomes,38.969,4.201,43.17,neutral
difficult to cure peripheral neuropathy,40.559,5.011,45.57,neutral
completely we can palliate it but in the,43.17,4.08,47.25,neutral
early stages I have many patients who,45.57,3.809,49.379,neutral
have got completely cured of peripheral,47.25,4.11,51.36,neutral
neuropathy now it is important to,49.379,3.901,53.28,neutral
identify what are the symptoms or which,51.36,3.929,55.289,neutral
are the areas that peripheral neuropathy,53.28,3.54,56.82,neutral
is affecting and what are the causes,55.289,4.29,59.579,neutral
behind it as we know that nutritional,56.82,5.039,61.859,neutral
deficiency is one of the primary causes,59.579,3.78,63.359,fear
where a lot of patients do come to us,61.859,2.91,64.769,fear
with peripheral neuropathy,63.359,5.431,68.79,fear
it is commonly seen in diabetics that is,64.769,5.911,70.68,neutral
one of the major systemic disease which,68.79,4.14,72.93,neutral
can cause peripheral neuropathy it is,70.68,4.38,75.06,neutral
also seen in alcoholics who have a,72.93,4.11,77.04,neutral
constant habit of drinking alcohol and,75.06,4.98,80.04,neutral
so the B complex dips because a,77.04,4.619,81.659,neutral
bacterial flora is destroyed so,80.04,4.11,84.15,neutral
absorption of nutrients reduce so when B,81.659,4.261,85.92,fear
complex dips peripheral neuropathy,84.15,4.14,88.29,neutral
happens and the other reason can be,85.92,5.1,91.02,neutral
endurance whenever there is an injury of,88.29,6.869,95.159,neutral
the nerves which supplies the peripheral,91.02,6.75,97.77,neutral
areas then there can be peripheral,95.159,4.32,99.47900000000001,neutral
neuropathy so correction and treatment,97.77,3.27,101.03999999999999,neutral
of the injury using medicines like,99.479,5.1,104.579,neutral
arnica is very helpful also we have,101.04,7.02,108.06,neutral
various other reasons why peripheral,104.579,5.881,110.46,neutral
neuropathy may happen like for example,108.06,3.72,111.78,fear
when the weather is really bad,110.46,4.199,114.65899999999999,fear
very cold weathers frostbite can cause,111.78,6.24,118.02,neutral
peripheral neuropathy we also based on,114.659,6.151,120.81,neutral
the area affected we can use the right,118.02,5.76,123.78,neutral
homeopathic medicine which can cure,120.81,5.339,126.149,neutral
peripheral neuropathy for example when,123.78,3.869,127.649,neutral
bladder is affected and there is,126.149,2.42,128.569,neutral
peripheral Europe,127.649,2.601,130.25,neutral
then caustic um is one of the major,128.569,4.681,133.25,neutral
remedy which is used when extremities,130.25,4.95,135.2,neutral
fingers there is burning of the palms,133.25,4.65,137.9,neutral
and the soles then we use medicines like,135.2,6.929,142.129,neutral
sulphur Midori nam vipera or crotalus,137.9,8.399,146.299,neutral
horridest or lattices hydrops these are,142.129,5.761,147.89,fear
the medicines which is used in,146.299,3.451,149.75,
peripheral neuropathy based on the,147.89,3.9,151.79,
symptoms which a physician can rightly,149.75,6.329,156.079,
identify again if there is due to injury,151.79,6.779,158.569,
then arnica as I told you hyper recom is,156.079,4.891,160.97,NA
again very useful in peripheral,158.569,4.95,163.51899999999998,NA
neuropathy so this is how we can treat,160.97,5.159,166.129,NA
and cure if you identify the cause and,163.519,5.071,168.59,NA
treat using the medicines treating the,166.129,5.371,171.5,NA
cause along with a constitutional,168.59,5.22,173.81,NA
approach then constitutional mix which,171.5,4.379,175.879,NA
covers the whole symptoms of the person,173.81,3.81,177.62,NA
then peripheral neuropathy can be,175.879,3.991,179.87,NA
connected if diabetes is there treat,177.62,4.11,181.73000000000002,NA
diabetes to along with the homeopathic,179.87,4.41,184.28,NA
medicines for peripheral neuropathy so,181.73,5.14,186.86999999999998,NA
that went acylation,184.28,6.279,190.559,NA
[Music],186.87,3.689,190.559,NA
