text,start,duration,end,dominant_emotion
so what our dive aggression of the,0.0,5.79,5.79,sad
symptoms in the early stages there are,1.589,6.811,8.4,sad
no symptoms sometimes even in the most,5.79,4.41,10.2,sad
advanced stages there are no symptoms,8.4,4.739,13.139,sad
and that is why there is a comprehensive,10.2,4.68,14.879999999999999,sad
squealing program that exists in the,13.139,3.9,17.038999999999998,sad
United Kingdom where all diabetic,14.88,3.659,18.539,sad
patients over the age of 12 are,17.039,4.951,21.990000000000002,sad
monitored for life to make sure that,18.539,4.951,23.490000000000002,sad
diseases picked up at the appropriate,21.99,5.279,27.269,sad
stage when symptoms do become apparent,23.49,7.47,30.959999999999997,sad
is usually to some degree a difficulty,27.269,7.021,34.29,sad
reading this can happen if there's,30.96,5.55,36.51,sad
swelling of the central retina called,34.29,4.47,38.76,sad
the macula and we call this macular,36.51,5.52,42.03,sad
edema Lions may look irregular or,38.76,6.69,45.449999999999996,sad
crooked objects may become patchy or,42.03,6.599,48.629000000000005,sad
broken and it's an indication that you,45.45,5.28,50.730000000000004,sad
may need laser treatment or injections,48.629,6.781,55.41,sad
into the eye another alarming symptom is,50.73,6.809,57.538999999999994,sad
the sudden onset of floaters or black,55.41,3.93,59.339999999999996,sad
dots or threads that float around in the,57.539,4.11,61.649,sad
eye this can suggest that there has been,59.34,5.01,64.35000000000001,sad
a bleed into the eye from the growth of,61.649,4.591,66.24,sad
abnormal blood vessels in advance,64.35,4.8,69.14999999999999,neutral
proliferate a digression aarthi these,66.24,4.71,70.94999999999999,NA
features need to be addressed urgently,69.15,5.49,74.64,NA
and again treated with laser within one,70.95,7.76,78.71000000000001,NA
to two weeks of diagnosis,74.64,4.07,78.71000000000001,NA
