text,start,duration,end,dominant_emotion
symptoms of type 2 diabetes are often,0.0,4.799,4.799,fear
subtle and it's possible you may be too,2.639,4.111,6.75,surprise
used to them to notice the symptoms,4.799,4.291,9.09,surprise
include chronic fatigue itchy skin,6.75,5.219,11.969000000000001,surprise
frequent thirst blurry vision sexual,9.09,5.129,14.219,surprise
dysfunction gum disease or mood changes,11.969,4.381,16.35,fear
it's even true that many people aren't,14.219,3.931,18.15,NA
diagnosed until chronically high blood,16.35,3.99,20.340000000000003,NA
sugar levels damage their cardiovascular,18.15,6.03,24.18,fear
system eyes kidneys skin or nerves but,20.34,5.67,26.009999999999998,surprise
how does type 2 diabetes develop in,24.18,4.2,28.38,surprise
healthy people the pancreas produces a,26.01,4.62,30.630000000000003,NA
steady supply of the hormone insulin to,28.38,4.05,32.43,NA
help move glucose from the bloodstream,30.63,4.26,34.89,NA
into every cell in your body where it is,32.43,4.86,37.29,NA
used for fuel and people with type 2,34.89,4.71,39.6,NA
diabetes however your body becomes,37.29,4.26,41.55,NA
resistant to the effects of insulin so,39.6,4.35,43.95,NA
it cannot do its job eventually you may,41.55,4.71,46.26,NA
produce less and less insulin these,43.95,4.14,48.09,NA
problems don't appear overnight but,46.26,3.42,49.68,fear
gradually they trigger symptoms that,48.09,4.68,52.77,NA
worsen over time that's why everyone 45,49.68,5.16,54.84,NA
and older should get screened for type 2,52.77,5.01,57.78,NA
diabetes every 3 years especially if,54.84,5.039,59.879000000000005,NA
they have one of the risk factors such,57.78,5.279,63.059,NA
as obesity physical inactivity family,59.879,5.43,65.309,NA
history of the disease heart disease or,63.059,4.501,67.56,NA
high blood pressure learn more about,65.309,4.231,69.53999999999999,NA
type 2 diabetes by checking out other,67.56,4.76,72.32000000000001,surprise
videos in this series,69.54,2.78,72.32000000000001,fear
