text,start,duration,end,dominant_emotion
"Many of my patients are hesitant to begin
injecting insulin, but once they actually",1.329,5.18,6.5089999999999995,happy
"try it, it becomes like any other routine.
Here’s how I teach them.",6.509,4.721,11.23,happy
You’ll need:,11.23,1.35,12.58,
"• Your bottle of insulin
• Syringe",12.58,2.639,15.219,
• And a sharps container,15.219,2.381,17.599999999999998,
"Always wash your hands with soap and water
before you begin.",17.6,4.65,22.25,
"Typically, there are 3 syringe sizes:
• 1 cc holds 100 units of insulin",22.25,6.4,28.65,
"• a ½ cc holds 50 units
• and 1/3 cc holds 30 units",28.65,5.009,33.659,
"Talk to your care team about how much insulin
you need and which syringe size you should",33.659,5.0,38.659,
use.,38.659,1.851,40.51,fear
"Insulin needles have gotten much smaller over
the years. So they are much less painful than",40.51,4.81,45.32,fear
you might expect.,45.32,2.23,47.55,fear
"When you first get your insulin, keep it refrigerated.
After the first time you use it, you can keep",47.55,6.02,53.56999999999999,
"it in room temperature for 28 to 42 days.
It will more comfortable to inject.",53.57,6.19,59.76,
"If you have cloudy insulin, it needs to be
mixed. Gently roll the bottle in your hands.",59.76,5.74,65.5,
"Then rotate it from top to bottom, without
shaking.",65.5,4.909,70.409,
"• When you’re ready to inject, pull the
plunger back to the number of units needed,",70.409,4.891,75.30000000000001,
"drawing air into the syringe.
• Insert the needle into the bottle of the",75.3,4.06,79.36,
"insulin through the rubber cap.
• Inject the air from the syringe into the",79.36,4.54,83.9,
"bottle.
• Turn the bottle upside down with the needle",83.9,3.45,87.35000000000001,
"in it.
• Make sure the tip of the needle is fully",87.35,3.03,90.38,
"submerged in the insulin as you pull the plunger
back to the correct number of insulin units.",90.38,6.29,96.67,
This helps prevent air bubbles.,96.67,2.75,99.42,
"Air bubbles aren’t harmful, but can take
up room and prevent you from getting the right",99.42,5.14,104.56,
dose.,104.56,1.22,105.78,happy
"If you have bubbles, simply inject the contents
back into the bottle and repeat the procedure.",105.78,6.52,112.3,fear
"Next, inject at a 90-degree angle.",112.3,4.98,117.28,
Hold for 5 seconds.,117.28,1.52,118.8,
Then pull the needle out.,118.8,2.9,121.7,
"Drop the syringe into the sharps container,
which you can buy at any local pharmacy.",121.7,6.309,128.00900000000001,
"Ask your diabetes care manager where to safely
dispose of your sharps container when it’s",128.009,5.781,133.79,
full.,133.79,1.0,134.79,fear
"Make sure not to re-use insulin needles, as
it’s not safe and can cause more pain with",134.79,5.279,140.069,fear
injection.,140.069,1.0,141.069,fear
"It’s important to switch injection sites
to prevent bruising and pain.",141.069,5.151,146.22,fear
"Each time you inject, choose a new site this
way:",146.22,5.21,151.43,
"• Rotate injection sites in a imaginary
circle.",151.43,4.279,155.709,
"• Always leave 2 fingers width in between
injection sites.",155.709,3.651,159.36,NA
"• And, keep the same distance from your
belly button.",159.36,4.56,163.92000000000002,NA
"Your care team prescribes insulin because
it’s safe and effective. We’re confident",163.92,4.74,168.66,NA
"you will be able to use it successfully. If
you have any questions about how to inject",168.66,6.18,174.84,NA
"insulin, or how much to take, ask your care
manager.",174.84,4.229,179.06900000000002,NA
"Adjusting to a new habit can be challenging
at first, but the benefits to your health",179.069,4.941,184.01,NA
are worth it.,184.01,0.489,184.499,NA
