text,start,duration,end,dominant_emotion
[Music],0.23,2.429,2.659,
hi this is Sushma jaiswal the CEO of,2.72,6.129,8.849,
Sasuke nutrition I have more than three,6.06,5.22,11.28,fear
decades of experience across the globe,8.849,5.071,13.92,fear
with UNDP w-h-o and many other,11.28,4.68,15.959999999999999,fear
international organizations for last,13.92,3.75,17.67,fear
seven years I am running my business,15.96,4.89,20.85,fear
brand Swasey nutrition in Bangalore and,17.67,5.67,23.340000000000003,fear
few other cities to provide your dietary,20.85,4.53,25.380000000000003,fear
solutions for most of your health,23.34,10.14,33.480000000000004,fear
concerns the blood-group dydz you know,25.38,10.769,36.149,fear
they are a fashion in the Western world,33.48,6.75,40.23,fear
for quite some time however it is not,36.149,6.511,42.660000000000004,fear
practical for many reasons according to,40.23,5.099,45.32899999999999,fear
that diet you know o+ people beef is,42.66,6.39,49.05,fear
most suitable but being in India we do,45.329,7.081,52.410000000000004,fear
we don't eat beef so and the vegetarians,49.05,7.759,56.809,fear
don't eat non-veg anyways so it's not a,52.41,8.19,60.599999999999994,fear
suitable answer for for them and in,56.809,6.16,62.968999999999994,fear
India we follow a variety of the food,60.6,3.41,64.01,happy
groups,62.969,4.381,67.35,happy
India is the soil which is very very,64.01,7.35,71.36,fear
rich in almost all the varieties of,67.35,6.42,73.77,fear
foods which are available throughout the,71.36,5.95,77.31,fear
world because of its mean climatic,73.77,6.72,80.49,fear
conditions we have a very cold climatic,77.31,5.73,83.04,fear
condition in the North extreme north,80.49,5.879,86.369,fear
like Kashmir and and we have very very,83.04,6.21,89.25,fear
hot climate conditions in the middle,86.369,6.39,92.759,fear
middle of the country and very humid,89.25,6.2,95.45,fear
conditions towards Kanyakumari and and,92.759,5.731,98.49,fear
all the hilly stations and also we have,95.45,5.26,100.71000000000001,fear
all the climatic conditions present in,98.49,4.32,102.81,
India which are throughout the world you,100.71,5.25,105.96,
know in India we have lots we have more,102.81,5.37,108.18,
varieties of food than any other country,105.96,6.18,112.13999999999999,
in India we cannot follow strictly those,108.18,6.21,114.39,
the blood group guides it's better to,112.14,4.74,116.88,NA
follow whatever ancestors followed and,114.39,5.61,120.0,NA
what is known in a region and so those,116.88,5.64,122.52,NA
are best things to to suit us so stay,120.0,4.88,124.88,NA
healthy,122.52,2.36,124.88,NA
[Music],126.88,3.07,129.95,NA
