text,start,duration,end,dominant_emotion
"so let's talk about the ten pre symptoms
of diabetes all right you could have",0.03,4.44,4.470000000000001,fear
"darkened skin on the folds of your body
like armpits groin neck and a lot of",4.47,7.98,12.45,NA
"people think that's normal but no it's a
pre-diabetic symptom number two your",12.45,5.04,17.49,NA
"memory is starting to become an issue
you start to look for your car where did I park",17.49,6.15,23.64,NA
"where did I put my keys that can
definitely be pre-diabetes because what",23.64,5.34,28.98,NA
"it does to the brain diabetes in general
affects four main areas brain and",28.98,5.97,34.95,NA
"nervous system which covers a lot the
heart the arteries of the heart the eye",34.95,5.789,40.739000000000004,NA
"and the kidney okay other than that it
leaves everything else alone all right",40.739,4.98,45.718999999999994,sad
"next one is you're tired after you eat
you need a nap after you eat number four",45.719,5.721,51.44,NA
"belly fat if you look down you can't see
your feet you have belly fat okay five",51.44,6.52,57.959999999999994,NA
"you can't go a long period of time
without being hungry two or three hours",57.96,5.64,63.6,NA
"you need a snack and you definitely have
carb cravings okay number six slow",63.6,7.47,71.07000000000001,NA
"healing let's say you had an injury or a
wound and it's taking forever to heal",71.07,6.53,77.6,NA
"number seven you have frequent urination
at night and or you're excessively thirsty",77.6,7.9,85.5,NA
"you're always wanting to drink some
fluids alright number eight and nine",85.5,4.17,89.67,NA
"excuse me
dry mouth and itchy and ten blurred",89.67,6.15,95.82000000000001,NA
"vision but what's fascinating is your
sugars might not be high you could have",95.82,6.42,102.24,NA
"all of these symptoms and basically have
normal sugar it might be a little high",102.24,6.12,108.36,NA
"but it's not going to be excessively
high and that's what I want to talk",108.36,3.81,112.17,NA
"about just briefly what happens way
before you get diabetes or prediabetes",112.17,5.909,118.07900000000001,NA
"as you start out having high insulin and
the reason for that is you're doing too",118.079,4.351,122.42999999999999,NA
"many carbs and you're eating too
frequently you're having a lot of snacks",122.43,2.96,125.39,NA
"okay so the insulins going to go up and
then you're going to develop insulin",125.39,4.149,129.539,NA
"resistance okay because too much insulin
is toxic on the body so",129.539,3.871,133.41,NA
"we have been some resistance that shuts
down the entry of insulin but you're",133.41,3.87,137.28,NA
"still doing the carbs the cells are not
getting the insulin so the feedback",137.28,4.14,141.42,NA
"mechanism causes the pancreas to produce
more and more insulin a person with",141.42,5.46,146.88,NA
"insulin resistance has 5 to 7 times as
much insulin as a normal person so we",146.88,6.9,153.78,sad
"have a mass amount of insulin so this is
kind of a protective mechanism that's",153.78,5.16,158.94,NA
"compensating from all the sugar in the
diet and that's why you don't see the",158.94,3.03,161.97,NA
"high sugar in the blood initially is
because the insulin is keeping it down",161.97,3.18,165.15,NA
"that's what it does and that goes on for
a period of years right until the point",165.15,4.44,169.59,NA
"where your pancreas is tired it's done
it can't keep doing that work so you",169.59,6.75,176.34,NA
"then fail to compensate you fail to
block blood sugars now the blood sugar",176.34,5.16,181.5,NA
"starts going a little higher okay 100
supposed to be like 80 so it goes to 100",181.5,6.03,187.53,NA
"up to 125
this is pre-diabetes okay then give it a",187.53,4.11,191.64000000000001,NA
"little more time if you don't change
your carbohydrate consumption it goes to",191.64,5.64,197.27999999999997,NA
"126 or greater and then you become
officially a diabetic now this is such",197.28,5.52,202.8,NA
"an easy problem to solve if you just
understand that all of these really are",202.8,6.21,209.01000000000002,NA
"side effects from too much insulin and
too much blood sugar and so why would",209.01,6.57,215.57999999999998,NA
"anyone not want to do the obvious thing
which would be cutting down the",215.58,5.55,221.13000000000002,NA
"carbohydrates in the diet they don't do
that what happens is then they instead",221.13,4.59,225.72,NA
"put you on the medication to manage your
symptoms until you need stronger and",225.72,4.26,229.98,NA
"stronger medication and then eventually
even taking insulin or other medications",229.98,4.5,234.48,NA
"that raise insulin and then they're
going to tell you that the danger of",234.48,4.11,238.59,NA
"that is hypoglycemia so then you have to
buy glucose tablets so they tell you to",238.59,6.57,245.16,NA
"eat more sugar because they don't want
you to have low blood sugar well why not",245.16,3.93,249.09,neutral
"just cut down on the medication so
anyway I put some very interesting",249.09,4.92,254.01,NA
"videos on blood sugars if you have not
seen them check them out they're on this",254.01,3.9,257.90999999999997,NA
page right here and thanks for watching,257.91,4.07,261.98,NA
