text,start,duration,end,dominant_emotion
[Music] welcome peripheral neuropathy is a very common thing worldwide this can come from accidents injuries on the muscles and nerves it can come from,7.55,23.918,31.468,angry
toxins diabetes infections many things can cause us burning tingling cramping aching pain it can radiate the different parts throughout your body and remember,23.439,26.722,50.161,angry
that these nerves affect muscles so if the nerve impulses are not working correctly throughout your body the muscles can eventually feel weak and tired so i want to get right to the nuts,37.44,22.799,60.239,angry
and bolts for you so you can feel better quicker i have found from many years of practice with many conditions of neuropathy from many many many patients,49.28,27.121,76.401,angry
i have found that the b vitamins can do miracles for many of your problems now the reason why i say the b vitamins is because i find it more wiser and effective to,62.0,28.96,90.96000000000001,sad
take a b complex vitamin to make sure you're getting all the b vitamins rather than just b1 b6 or b12 those are the three main vitamins that they found that are directly tied into neuropathy,76.72,30.238999999999997,106.959,angry
but here is the problem if you are deficient in any other b vitamin because of poor diet excessive stress these vitamins all work together by taking a good b complex and usually,92.159,28.64,120.799,angry
they come b 50s or b 100s but even b 50s are suffice preferably you want to take a b complex that is time released meaning that you don't,105.68,21.681,127.361,angry
want it to get out of your system too quick but it will make your p very yellow so don't panic even though you're hydrating you'll notice that your p is very yellow that means you're,117.2,27.118,144.318,angry
getting a lot of assimilation of those b vitamins now try to get a time release and if you cannot at least try to split it up because you want those b vitamins in,130.319,23.279999999999998,153.599,angry
your body give it a couple weeks you should really see great changes b vitamins are generally very safe whatever your body doesn't need you're going to excrete it your body doesn't,142.239,23.122,165.361,angry
store it like fat soluble vitamins like vitamin a d e and k but try those b vitamins i really believe it's going to help many,153.92,20.479,174.399,angry
of you but you must have a well-balanced diet try to exercise the best you can hydrate get your sleep try to keep the stress down and i really think that you will benefit please share this video,163.92,24.8,188.72,angry
with your friends and family leave your comments below and most important make it a great day i'm dr alan mandel [Music],176.72,25.239,201.959,angry
[Music],194.42,4.399,198.819,NA
