text,start,duration,end,dominant_emotion
hello my friends unfortunately this,0.399,5.201,5.6,sad
video does not contain any new tips or,2.96,3.6,6.5600000000000005,sad
tricks,5.6,2.64,8.24,sad
but it's more like a video where i just,6.56,3.999,10.559,sad
want to say thanks as a content creator,8.24,4.24,12.48,sad
to you supporters thanks for ongoing,10.559,4.721,15.28,sad
support and during my two years of,12.48,5.28,17.76,sad
youtubing i didn't know i would got this,15.28,4.48,19.759999999999998,sad
far because at the beginning i was,17.76,3.679,21.439,sad
thinking hey i'll make a channel and i,19.76,3.12,22.880000000000003,sad
didn't know how much time and effort to,21.439,3.92,25.359,sad
go into this and it has been a lot of,22.88,4.159,27.038999999999998,sad
time and effort into this and i've done,25.359,4.16,29.519000000000002,sad
this for free so people are asking me,27.039,4.16,31.199,sad
hey back why don't you make a patreon,29.519,3.681,33.199999999999996,neutral
account account where people can donate,31.199,3.921,35.120000000000005,sad
some money for you each month you know,33.2,3.92,37.120000000000005,sad
you can take this money and buy a better,35.12,4.56,39.68,sad
audio camera and so on and i was,37.12,4.16,41.28,sad
thinking beginning,39.68,3.199,42.879,sad
i don't want to do that because i want,41.28,3.439,44.719,sad
to deliver and,42.879,4.16,47.039,sad
now i almost have 8000 subscribers i,44.719,3.68,48.399,sad
hope you guys give me comments and,47.039,2.721,49.760000000000005,neutral
contact me,48.399,4.241,52.64,neutral
in my emails and asking tips and tricks,49.76,5.36,55.12,sad
so maybe this is the time i will put on,52.64,4.559,57.199,sad
the next step for my channel so i just,55.12,4.4,59.519999999999996,NA
made a patreon account with different uh,57.199,4.721,61.92,neutral
various of donations what is patreon,59.52,5.12,64.64,sad
patreon is a membership platform where,61.92,4.32,66.24000000000001,sad
content creators like me connects with,64.64,3.44,68.08,sad
supporters like you so if you want to,66.24,4.48,70.72,neutral
donate a small amount to me every month,68.08,5.12,73.2,neutral
i'm very happy so and of course i will,70.72,4.16,74.88,neutral
keep on going with this channel and all,73.2,3.68,76.88000000000001,sad
the money which comes in through patreon,74.88,3.36,78.24,sad
will go to,76.88,3.04,79.92,sad
to this channel and make this channel,78.24,5.44,83.67999999999999,sad
even better just such as equipment audio,79.92,6.16,86.08,sad
video you know editing and stuff like,83.68,3.36,87.04,neutral
that,86.08,4.64,90.72,NA
nevertheless i'm very happy that,87.04,5.36,92.4,NA
you are still following me after all,90.72,4.24,94.96,NA
these years so i will keep on going,92.4,4.48,96.88000000000001,NA
making this kind of video and remember i,94.96,3.199,98.15899999999999,NA
will put the link in description down,96.88,2.96,99.83999999999999,NA
below for you to go directly to my,98.159,3.841,102.0,NA
patreon account i catch up with you in,99.84,6.319,106.159,NA
my next video peace out,102.0,4.159,106.159,NA
