text,start,duration,end,dominant_emotion
">> SCOTT: I only get to do this YouTube video
in one take",0.0,3.149,3.149,
so I hope you'll bear with me.,3.149,1.951,5.1,
"So, as a diabetic, when I eat my blood sugar
goes up,",5.1,4.7,9.8,neutral
"when I take insulin, my blood sugar goes down.",9.8,2.44,12.24,neutral
"It's kind of like flying a plane and adjusting
the altitude.",12.24,3.46,15.7,neutral
"Eat it goes up, insulin it goes down.",15.7,2.23,17.93,neutral
"So I try to ""fly"" nice and steady, so I don't
crash into the ground, and I don't float away.",17.93,5.79,23.72,neutral
"Typically I use a needle to give myself that
insulin.",23.72,3.42,27.14,neutral
My body doesn't produce any insulin.,27.14,2.809,29.949,neutral
My pancreas doesn't work.,29.949,1.58,31.529000000000003,neutral
"I can give myself a shot here and there,",31.529,2.991,34.52,neutral
"but at some point I'm gonna be giving myself
8 to 10 shots.",34.52,3.24,37.760000000000005,
So I use what's called an insulin pump.,37.76,1.46,39.22,
"And my insulin pump sits right here. It sits
on my belt.",39.22,4.58,43.8,neutral
"It's got a little bunch of insulin right there,",43.8,2.17,45.97,neutral
"a big long tube, and it's plugged into me.",45.97,2.19,48.16,neutral
It's plugged into me all the time.,48.16,2.4,50.559999999999995,neutral
"See these bruises? That's because I'm putting
holes in myself faster than I can heal them.",50.56,5.21,55.77,
"When the insulin pump runs out, like it did
tonight, I have to fill it up.",55.77,4.65,60.42,neutral
"So here's what I do when I change my insulin
pump.",60.42,2.13,62.550000000000004,neutral
"I take this off. This is a little port. Pull
this off me. Now I've got a hole in me.",62.55,8.17,70.72,neutral
"That's the little needle - it's called a ""cannula""
 - that was sticking in me.",70.72,4.02,74.74,neutral
"That's where the insulin came out. Throw that
away.",74.74,1.43,76.17,
"Then I'm going to take the insulin pump, pull
out the tubing, this is disposable; this goes",76.17,7.45,83.62,neutral
away.,83.62,1.0,84.62,neutral
Now I've got an empty insulin pump.,84.62,1.05,85.67,neutral
"I'm gonna tell this pump to rewind and get
ready for a new bunch of insulin.",85.67,6.93,92.6,neutral
"See that ""screw drive"" that's moving backwards
right there?",92.6,3.88,96.47999999999999,neutral
"That's the plunger. That's rewinding. You
can hear it.",96.48,3.89,100.37,neutral
"While that's rewinding, I'll take a fresh
""reservoir""",100.37,4.45,104.82000000000001,neutral
and a bunch of insulin.,104.82,5.07,109.88999999999999,neutral
"Push air into it. Now I'm pulling it out,
filling up the reservoir with insulin.",109.89,5.089,114.979,neutral
I do this every three days.,114.979,2.261,117.24,neutral
"Insulin is measured in ""units."" I give myself
about 30 units a day.",117.24,5.739,122.979,neutral
"Disconnect it, insulin goes away, now I've
got a reservoir full of insulin.",122.979,5.121,128.1,neutral
"Now I take this, this is also disposable.
I have to buy these. This is pretty expensive.",128.1,7.859,135.959,neutral
"This is that tubing, it's a fresh one.",135.959,2.581,138.54,neutral
Plug the reservoir into the tubing.,138.54,4.79,143.32999999999998,neutral
"I'll take this and put it inside the pump,",143.33,2.59,145.92000000000002,neutral
"Take that and put it inside the pump and tell
the pump that I've got some.",145.92,6.05,151.97,neutral
And it's going to start to push.,151.97,4.19,156.16,neutral
And It's filling up the tube.,156.16,3.18,159.34,
See that? See the insulin dropping out?,159.34,3.18,162.52,
I'll put the pump down temporarily.,162.52,3.11,165.63000000000002,
"Take this thing here and I'm going put it
inside this.",165.63,5.47,171.1,
"This a little plunger and I'm gonna put this
on top if it.",171.1,6.499,177.599,
"This is a little sticker. I'll pull the sticker
off.",177.599,3.661,181.26,neutral
"See that blue thing on top, there's a needle
under there.",181.26,4.729,185.989,neutral
"Push it down into the plunger, pull that off;
needle's in there.",185.989,5.101,191.09,neutral
Use my arm.,191.09,2.45,193.54,neutral
"[INHALES, EXHALES SHARPLY. SNAP!]",193.54,5.2,198.73999999999998,neutral
">> SCOTT: Now it's plugged in me. Pull out
the needle, that's the needle.",198.74,7.06,205.8,neutral
Remember that one we threw away earlier?,205.8,5.58,211.38000000000002,neutral
This little plastic tube is in there.,211.38,3.329,214.709,neutral
"So now, the pump is plugged into the tube
which is plugged into me.",214.709,6.221,220.93,neutral
"I wear it 24 hours a day. I wear it when I
sleep, I put it underneath my pillow.",220.93,5.22,226.15,neutral
Clip it onto my belt. 24 hours a day.,226.15,1.86,228.01000000000002,neutral
"The only time I take it off is for a few minutes
when I shower.",228.01,3.29,231.29999999999998,neutral
So this is easier than shots.,231.3,1.769,233.06900000000002,neutral
"And now I can do little tiny adjustments to
my ""plane"" that's flying.",233.069,4.431,237.5,neutral
"Unfortunately though, pump are expensive.",237.5,2.34,239.84,neutral
"A lot of people who don't live in Western
Countries can't get ahold of pumps.",239.84,2.649,242.489,neutral
"There's a lot of money here, These are a couple
thousand bucks.",242.489,2.391,244.88,neutral
"They're usually paid for by insurance but
you'll usually have to fight your insurance",244.88,3.21,248.09,neutral
company to get one.,248.09,1.0,249.09,neutral
So that's thing number one.,249.09,1.0,250.09,neutral
"Every three days, I do this maneuver that
we just did. Every three days.",250.09,3.251,253.341,neutral
"I'll take the pump, put it in my pocket.",253.341,3.738,257.079,neutral
"Thing number two, I'm going to put in a Continuous
Glucose Meter.",257.079,4.68,261.759,neutral
"Sometimes you hear about diabetic who prick
their finger.",261.759,2.391,264.15000000000003,neutral
"They look at the blood on their finger and
they measure it and that tells you what your",264.15,3.109,267.25899999999996,neutral
blood sugar is.,267.259,1.0,268.259,neutral
"It's like looking at your altimeter on an
airplane, seeing what your altitude.",268.259,3.291,271.55,neutral
"But there are things called Continuous Glucose
Meters that allow you to get that information",271.55,4.48,276.03000000000003,neutral
more often.,276.03,1.0,277.03,neutral
"I prick my finger between 8 and 10 times a
day.",277.03,2.139,279.169,neutral
"I've got black marks and calluses on my finger
from doing this for 15 years.",279.169,4.791,283.96,neutral
"This is a sensor, these are expensive, again,
fighting with the insurance to get these things.",283.96,6.129,290.089,
"This going to allow me to check my blood sugar
every 5 minutes.",290.089,2.48,292.569,
"This sensor - looks kind of like a mosquito
 - has a sticker and a needle.",292.569,5.49,298.059,
"You'll notice that one of the thigns about
diabetes is that there's a lot of needles...",298.059,2.69,300.749,
and it sucks.,300.749,2.901,303.65000000000003,
"This is another one of those ""inserter"" deals.",303.65,1.579,305.229,
[SNAP],305.229,1.56,306.789,
[POP],306.789,1.56,308.349,
