text,start,duration,end,dominant_emotion
"Well hello everybody and welcome back to my
channel, or if you are new, hello welcome to my channel my name is Sophie. I hope you are doing really well today. So for today’s video I thought we would
talk about what Gastroparesis is. It was the first condition I was diagnosed
with and it was the whole reason that I started",0.93,17.31,18.24,angry
"blogging and vlogging and Youtubing. No-one’s ever really heard of it they’re
like Gastro What?? So let’s learn about it today… If you wanna learn, carry on watching. [Intro Music]",18.24,22.18,40.42,angry
"Gastroparesis is when the nerves in stomach
are damaged or stop working for whatever reason There’s a number of different reasons and
it is the Vagus nerve that they believe to be the problem. And I don’t mean like Las Vegas... party... I can see where the link would be but it's
not vagus it is the Vagus nerve.",41.6,19.22,60.82,sad
"Mind you i would really love to be in las
vegas right now. And it does seem to be more common in females. I don’t really know why and doctors don’t
seem to know why but it can be of all ages and it can be males it just tends to be females. There are so many different way and different
combinations of things that can cause it but",60.92,20.759999999999998,81.68,angry
"these are kind of the most known reasons behind
Gastroparesis. So if you are diabetic that is a very common
one, derv… derve namage? Great sophie. So you can get damage to a nerve during an
operation of some sorts whether it is regarding the stomach or not if damage is done that
can cause Gastroparesis.",83.9,18.539,102.43900000000001,sad
"Parkinson disease Multiple sclerosis Anorexia is another one that can cause it. Kind of the after effects of everything that
goes through your body when you have anorexia. After pregnancy you can actually get Gastroparesis",104.37,16.179,120.549,angry
"A virus leaving its ’’mark’’ as they
say. And another common one that they are find
is EDS or Ehlers Danlos Syndrome if you know what that is or if you don’t, I also did
a video as to what that is so I will leave the link below and you can learn about that. But the two are very often very much….",120.549,18.509999999999998,139.059,angry
"linked together. They are like a pair. The most common form of gastroparesis is the
‘unknown’. Basically doctors call this Idiopathic Gastroparesis
which in our term basically means we don’t have a clue but this is what you have so deal
with it.",139.059,18.381,157.44,angry
"[music] Symptoms can be a number of things and you
can get some of them, all of them, a couple of them etc... Everyone's obviously different and gets them
to different extents. But these are kind of the symptoms that are
universal and things that link with it.",157.44,16.639,174.079,sad
"Feeling full early after eating Bloating Pain and discomfort in the tummy… and it
is painful! Nasuea Vomiting",174.159,9.541,183.7,angry
Weight loss or in some cases weight gain. Acheyness Exhaustion Lightheadedness Passing out,183.7,7.73,191.42999999999998,sad
Malnutrition Dehydration Heartburn Acid reflux A loss of appetite,191.43,6.619,198.049,happy
"Insomnia Or problems sleeping which are kind of the
same thing And the list kind of just goes on and on. But i would say those are probably like the
main ones and yeah… they are not fun. I am not going to lie, i'm not gonna sugar
coat it, i never do in these videos, they’re",198.049,17.520000000000003,215.56900000000002,angry
