text,start,duration,end,dominant_emotion
"Transcriber: Giedrė Kasparaitytė
Reviewer: Denise RQ",0.0,7.0,7.0,
"Today, I'd like to talk about
turning around an epidemic.",5.459,4.788,10.247,
"One hundred million Americans right now
do have either diabetes or pre-diabetes,",10.248,4.711,14.959,neutral
"and that puts them
at risk for amputations,",14.96,3.333,18.293,angry
"for heart disease, for blindness.",18.294,2.539,20.833000000000002,neutral
"and we're exporting
this epidemic overseas.",20.834,3.779,24.613,happy
"The word ""epidemic"" comes from Old Greek:",24.614,3.132,27.746000000000002,neutral
"'epi' means 'on', 'demos' means 'people',",27.751,4.775,32.526,neutral
"so an epidemic is something we study with
sterile statistics, and maps, and graphs,",32.527,4.742,37.269,neutral
"but the truth is, it's something",37.27,1.615,38.885000000000005,angry
"that impinges directly on people,
on living, breathing human-beings.",38.886,5.588,44.474000000000004,angry
"But my story actually starts
in the basement of a Minneapolis hospital.",45.152,3.765,48.917,neutral
"The year before I went to medical school,
I was the morgue attendant,",48.918,4.288,53.206,neutral
"or as I'd like to say,
""the autopsy assistant"".",53.207,2.299,55.506,happy
"What that meant was,",55.507,1.049,56.556,happy
"whenever anybody died,
I would bring the body out of the cooler,",56.557,3.069,59.626000000000005,neutral
"and put the body on
an examination table,",59.627,2.424,62.051,neutral
"and the pathologist
would come into the room.",62.052,2.811,64.863,happy
"And one day, a person died
in a hospital of a massive heart attack.",64.864,3.895,68.759,fear
"Probably from eating hospital food,
but that's another story.",68.76,2.929,71.68900000000001,neutral
(Laughter),71.69,1.389,73.079,neutral
"To examine the heart,
you have to remove a section of ribs,",73.08,3.545,76.625,neutral
and this is not done with great delicacy:,76.626,2.232,78.858,neutral
"you take what looks like a garden clipper,",78.859,2.809,81.66799999999999,neutral
"and you go crunch, crunch, crunch,
through the ribs on this side,",81.669,3.623,85.292,neutral
"and crunch, crunch, crunch,
through the ribs on this side.",85.293,3.606,88.899,sad
"And the pathologist pulled
this big high wedge of ribs off the chest,",88.9,4.401,93.301,neutral
set it on the table.,93.302,1.494,94.796,neutral
"And he knew I was going to be
going to medical school,",94.797,2.593,97.39,neutral
"so he wanted to make sure
that I saw everything.",97.391,2.735,100.126,neutral
"And he would say, ""Neal, look at this.
These are the coronary arteries,""",100.127,3.499,103.62599999999999,neutral
"- we call them coronary
because they crown the heart -",103.627,2.664,106.291,angry
"and he sliced one open,
and he said, ""Look inside.""",106.292,3.811,110.10300000000001,neutral
"With my gloved finger, I poked around,
and it wasn't a wide open artery,",110.104,5.671,115.775,angry
"it had what was sort
of like chewing gum inside,",115.776,3.097,118.87299999999999,angry
"except that it was hard
like a rock, and he said,",118.874,2.462,121.336,fear
"""That's your bacon and eggs,
Neal, that's atherosclerosis.""",121.337,2.954,124.291,neutral
"And we looked at the carotid arteries
going to the brain,",124.292,2.834,127.126,sad
"the arteries going to the legs,
the arteries going to the kidneys.",127.127,3.248,130.375,angry
"They all had this hardening
of the arteries, that's atherosclerosis.",130.376,3.505,133.881,sad
"He said, ""We see the beginnings of this
in two thirds of people by age 23,",133.882,5.2,139.082,angry
"which happened to be the exact age
that I was at the time.",139.083,2.746,141.829,angry
(Laughter),141.83,1.083,142.913,sad
"So, anyway, he writes up his findings,",142.914,2.003,144.91699999999997,neutral
"""massive atherosclerosis,
acute myocardial infarction,""",144.918,3.542,148.46,sad
and he leaves the room.,148.471,2.112,150.583,neutral
"So, I picked up the ribs
and put them back in the chest,",150.584,3.861,154.445,neutral
"tried to make them fit
right with the other ribs,",154.446,2.337,156.783,sad
"and I sewed up the skin, and cleaned up,",156.784,1.998,158.78199999999998,sad
"and then I went out
and went up to the cafeteria,",158.783,2.687,161.47,sad
"where turned out
they were serving ribs for lunch.",161.471,3.497,164.96800000000002,neutral
(Laughter),164.969,1.567,166.536,sad
"Now, let me tell you something,
I knew about ribs.",168.959,2.792,171.751,sad
"I grew up in Fargo, North Dakota,
I come from a long line of cattle ranchers",171.752,3.791,175.543,sad
"and I remember the smell
of the cows out in the field,",175.544,3.248,178.792,sad
"I remember the smell of the cows
in my grandpa's barn",178.793,2.937,181.73000000000002,sad
"and driving a load of cattle
with my uncle to East Saint Louis,",181.731,3.059,184.79,sad
"to the National Stockyards,",184.791,1.34,186.131,neutral
"and I remember the National
Stockyards hotel, two dollars a night,",186.132,3.243,189.375,neutral
and the smell of that room.,189.376,1.792,191.168,sad
(Laughter),191.169,1.152,192.321,sad
"And I have to say, everyday in my life,",192.322,1.971,194.293,neutral
"it was roast beef,
baked potatoes, and corn.",194.294,2.394,196.68800000000002,neutral
"Except for special occasions, when it was
roast beef, baked potatoes, and peas.",196.689,3.794,200.483,neutral
(Laughter),200.484,1.001,201.485,neutral
"And that's the sort of the way we ate,",201.486,1.819,203.30499999999998,neutral
"but my father did not like
the cattle business, so he left,",203.305,3.612,206.917,sad
"left the family farm,
and he went to medical school.",206.918,2.876,209.794,sad
"And he spent his life at the Fargo clinic
treating diabetes,",209.795,4.663,214.458,neutral
"he became a diabetes expert
for the whole region.",214.459,2.584,217.043,neutral
"And I have to say
my father really was frustrated",217.044,5.289,222.333,neutral
"because patients were given diets
that they did not like.",222.334,3.374,225.708,neutral
"What we would say is,
or what they would say,",225.709,2.486,228.195,neutral
"is diabetes is a condition
where it's too much sugar in your blood,",228.196,3.804,232.0,neutral
"so don't eat anything that turns to sugar,
so don't eat bread, don't eat fruit,",232.001,4.458,236.459,sad
"don't eat pasta, rice, sweet potatoes,",236.46,2.401,238.86100000000002,sad
"don't eat regular potatoes,
beans, don't eat carrots;",238.862,2.503,241.365,angry
"all these things had to be limited
and while you are at it, cut calories,",241.366,3.448,244.81400000000002,sad
"and that's what people had to adhere to,
that's gets old by Wednesday.",244.815,3.349,248.164,sad
"Patients were also given medicines,
and they were given needles,",248.165,3.978,252.143,neutral
"and instructions on how to stick
their fingers and how to inject insulin.",252.144,3.648,255.792,neutral
"And despite all of this,
diabetes never got better,",255.793,5.289,261.082,neutral
"it always progressed,",261.083,1.998,263.081,sad
"and it then became something
that we're exporting overseas.",263.082,3.751,266.83299999999997,sad
"And when I got out of medical school,
we had more medicines,",266.834,2.868,269.702,sad
"and I think we had sharper needles,
but to tell you the truth,",269.703,3.047,272.75,neutral
"it was the same sort of result,
we had unhappy patients,",272.751,2.792,275.54299999999995,neutral
"and we've never ever cured
this disease, it never turned around,",275.544,3.456,279.0,sad
"it was always considered
a progressive disease.",279.001,3.256,282.25699999999995,sad
"But there are two scientific discoveries
that really turned all this around.",283.709,4.584,288.293,neutral
"And the first one was taking
the widest possible lens.",288.294,2.645,290.93899999999996,neutral
"If you look around the world,",290.94,1.604,292.544,neutral
"at those countries that have the least
diabetes, like Japan, for example,",292.545,4.372,296.91700000000003,sad
they weren't following anything,296.918,2.208,299.12600000000003,
"like the diet we were given
to diabetic patients.",299.127,2.372,301.499,
"They weren't saying, ""I'm not going
to eat rice, I won't eat noodles,""",301.5,3.302,304.802,
"they eat this kind of food all the time,
it's front and center on their plate.",304.803,4.211,309.014,sad
"And the second discovery
came from looking inside the cell,",310.125,4.166,314.291,sad
especially the muscle cell.,314.292,1.688,315.97999999999996,
"And the reason we look
at muscle cells in particular",315.981,2.854,318.835,
"is that's where glucose is going,
that's where blood sugar is going,",318.836,3.499,322.33500000000004,
that's the fuel that powers your movement.,322.336,3.372,325.708,sad
"Do you know about a person
who's running a marathon?",325.709,2.457,328.166,sad
"What are they doing in the weeks leading
up for it? They're carbo-loading.",328.167,3.584,331.751,neutral
"So they're eating pasta,
they're eating bread",331.754,2.218,333.97200000000004,neutral
"to try to get that glucose
into the cell for energy.",333.973,3.068,337.041,sad
"And that is the problem in diabetes,",337.042,3.333,340.375,neutral
"because glucose, glucose is there,
outside the cell, trying get inside.",340.376,4.445,344.82099999999997,neutral
"In order to get in, it needs a key.
And that key is insulin.",344.822,3.588,348.41,
"Now, what if I get home,
and I'm getting up to my front door",348.411,5.257,353.668,sad
"and take my key out of the pocket,
I put it in the front door--",353.669,3.382,357.051,neutral
"Wait a minute, it's not working.",357.052,2.234,359.286,neutral
"And there's nothing wrong
with my key, but I look in the lock,",360.375,3.913,364.288,neutral
"and while I was gone,
somebody put chewing gum in my lock.",364.289,3.085,367.37399999999997,neutral
"So what am I going to do?
Crawling in and out the window? No.",367.375,2.876,370.251,neutral
I'm going to clean out the lock.,370.252,2.164,372.416,sad
"Well, when a person has diabetes,
their insulin key is not working.",372.417,4.013,376.42999999999995,sad
"Why would that be?
Why could insulin not signal?",376.431,2.944,379.375,sad
"What supposed to happen is the glucose
is supposed to enter into the cell.",379.376,4.03,383.40599999999995,sad
"And [insulin] is the key
that makes that happen.",383.407,2.249,385.656,
But the reason it doesn't happen,385.656,2.071,387.72700000000003,
"it's not that there's
chewing gum inside the cell.",387.728,2.521,390.249,
"What there is, is fat.
Fat, little globules of fat.",390.25,4.563,394.813,neutral
"I have to say, doctors hate
words like ""fat"",it has one syllable.",394.814,5.227,400.041,neutral
(Laughter),400.042,1.079,401.121,sad
"So we want to call it
intramyocellular lipid.",401.125,4.25,405.375,
(Laughter),405.385,1.989,407.37399999999997,
"'Intra' means' inside', 'myo' means
'muscle', 'cellular' means 'cellular'",407.375,5.918,413.293,
(Laughter),413.293,1.331,414.624,
'lipid' means 'fat'.,414.625,1.874,416.499,
