text,start,duration,end,dominant_emotion
[Music] hi i'm dr. sanjay panikker I founded Amrita homeopathy in 1996 in a small town in Kerala we have two clinics now in Bangalore one is in Koramangala and,0.31,27.811000000000003,28.121000000000002,NA
the other one in marathon we specialize in hair and skin problems respiratory problems allergies Pediatrics infertility varicose eel and hepatitis B so for diameters usually a lot of people,17.94,31.66,49.6,angry
commonly use the elliptic medication before they even approach to any other alternative system of medicine and they usually reaches when nothing is working or when they feel that the side-effects,33.89,25.459,59.349000000000004,angry
of the Olympic medicines like trembling or fainting attacks or feeling cold and feeling giddy and all these things are happening then the patient thinks that he should go for some other alternative,46.469,24.991,71.46000000000001,neutral
line of treatment and that's when they usually approach homeopathy and very often we find that the these patients when they start homeopathic medicines they will not be able to suddenly stop,59.19,22.769,81.959,angry
all their allopathic medication so we're tapering down in new course of the treatment and simultaneously may also start the homeopathic medicines so that there is a support from the,70.92,22.741,93.661,angry
homeopathic side and at the same time the allopathic medicine is gradually reduced eventually it the homeopathic medicine corrects the function of the pancreas and that's how many patients,82.11,23.25,105.36,angry
are able to taper down and stop their allopathic medication so the very common remedies that are used in diabetes are starting from the most famous insulin so insulin is also a homeopathic medicine,93.33,31.948999999999998,125.279,angry
it is extracted and prepared into a medicine in a homeopathic way so it is not exactly insulin but it is the derivative of insulin the other medicines are Shia caesium jumbo lanham,109.47,23.671,133.141,neutral
which is used to bring down the sugar levels then we have gymnema Sylvestre ah which is also used to reduce the sugar levels then we have medicines like safe Alondra,121.74,23.559,145.299,neutral
indica nattramn self Lycopodium ass nakum album uranium nitric um these are all wonderful medicines which are used to reduce the sugar levels even in case of complications where there is eye,132.59,27.931,160.52100000000002,angry
complications phosphorus is a beautiful remedy it helps to reduce the blood sugar and to improve the eye complications where there are neurological complications there are,146.93,20.22,167.15,angry
remedies like phosphoric acid which can help to reduce the sugar and to improve the neurological dysfunction when there is lot of weakness associated with diabetes Avena sativa is a wonderful,156.89,27.259,184.149,angry
remedy which helps to reduce that patients are found to have who have lot of gastritis and gastric problems with diabetes especially more towards the evening,170.84,24.611,195.451,neutral
Lycopodium is a beautiful remedy like this there are so many medicines in the materia medica of homeopathy which helps in treating diabetes to improve the liver function and then to improve the,182.93,25.918,208.848,NA
pancreatic function and thus the main glands which control the functions of the body are regulated and then automatically the patient's general health improves the sugar levels also is,195.919,27.212,223.131,NA
brought under control another major remedy which has kept to mention is pancreatic which is again to improve the function of the pancreas you,209.72,20.997999999999998,230.718,NA
