text,start,duration,end,dominant_emotion
[Music],1.41,5.07,6.48,fear
so good morning viewers,7.759,3.521,11.280000000000001,fear
my name is dr supratik bhattacharya i'm,8.96,3.48,12.440000000000001,sad
a consultant,11.28,3.76,15.04,sad
endocrinologist based at kolkata so,12.44,4.839,17.279,fear
another very important topic,15.04,5.159,20.198999999999998,fear
that we want to talk about today is,17.279,4.241,21.52,sad
pre-diabetes,20.199,4.201,24.400000000000002,fear
the diagnosed cases of diabetes is only,21.52,4.8,26.32,fear
the tip of the iceberg,24.4,4.56,28.959999999999997,fear
so if you see the numbers in hand we,26.32,5.359,31.679000000000002,fear
have around 77 million people suffering,28.96,4.08,33.04,sad
from diabetes,31.679,4.56,36.239,sad
but in india itself all across the world,33.04,4.72,37.76,sad
the number goes up to,36.239,3.761,40.0,sad
around 400 millions and it's going to,37.76,4.4,42.16,fear
touch very soon to 600 million by the,40.0,2.96,42.96,fear
time we're,42.16,4.0,46.16,fear
in 2035 but a much,42.96,5.919,48.879,fear
much larger number are having,46.16,3.919,50.07899999999999,fear
pre-diabetes,48.879,3.921,52.8,fear
who had not yet been diagnosed and will,50.079,5.041,55.120000000000005,fear
be having diabetes very shortly,52.8,5.04,57.839999999999996,fear
if they do not make major lifestyle,55.12,4.239,59.358999999999995,fear
changes,57.84,4.239,62.079,fear
reduce their weight stop smoking start,59.359,3.441,62.800000000000004,fear
walking,62.079,3.681,65.76,fear
and things like that now pre-diabetes is,62.8,4.24,67.03999999999999,fear
a stage,65.76,5.679,71.43900000000001,fear
where the sugar levels are high,67.04,7.439,74.47900000000001,fear
higher than usual but it has not,71.439,5.68,77.119,fear
touched the zone which we can classify,74.479,4.0,78.479,fear
as diabetes,77.119,4.961,82.08,fear
so conventionally we do a fasting sugar,78.479,5.921,84.4,fear
we do a prandtl sugar that is the after,82.08,3.359,85.439,fear
meal sugar,84.4,3.28,87.68,sad
and we also do an average of the past,85.439,3.601,89.03999999999999,fear
three months sugar which we,87.68,4.799,92.47900000000001,fear
call hba1c so what is the diagnostic,89.04,5.52,94.56,fear
criteria of pre-diabetes,92.479,4.801,97.28,fear
so anyone who has got their fasting,94.56,3.36,97.92,fear
level,97.28,3.68,100.96000000000001,fear
between 100 and 126,97.92,5.68,103.6,fear
or the after meal sugar between 140 and,100.96,4.159,105.119,fear
200,103.6,5.08,108.67999999999999,fear
or the average sugar hba1c between,105.119,7.721,112.84,fear
5.7 and 6.4 would be considered,108.68,6.2,114.88000000000001,fear
pre-diabetic the importance of,112.84,3.8,116.64,fear
pre-diabetes is that,114.88,5.279,120.15899999999999,fear
this is that particular place where,116.64,6.64,123.28,fear
you can do diet and you can do exercises,120.159,4.32,124.47900000000001,fear
and have a very,123.28,5.28,128.56,fear
strict regime of lifestyle maintenance,124.479,8.001,132.48,fear
thus revert diabetes or,128.56,6.24,134.8,fear
propensity to develop diabetes in the,132.48,3.52,136.0,fear
first place,134.8,4.159,138.959,fear
for those kind of individuals we need to,136.0,4.64,140.64,fear
have a screening program,138.959,5.36,144.31900000000002,fear
where we do at least annually one test,140.64,7.36,148.0,fear
that is hpa1c or the average blood sugar,144.319,6.081,150.39999999999998,fear
to detect whether they have already,148.0,3.519,151.519,fear
started developing,150.4,4.16,154.56,fear
diabetes or predisposed to be having,151.519,3.841,155.36,fear
diabetes,154.56,3.84,158.4,fear
at a later life and these are the,155.36,3.92,159.28,fear
individuals,158.4,3.199,161.59900000000002,NA
who have a very strong background of,159.28,3.92,163.2,NA
diabetes in the family,161.599,4.0,165.599,NA
like one of the closest members like the,163.2,3.44,166.64,NA
mother of the father,165.599,2.801,168.39999999999998,NA
brother or sister suffering from,166.64,4.16,170.79999999999998,NA
diabetes or they're overweight,168.4,5.36,173.76000000000002,NA
and obese individuals hope this entire,170.8,5.28,176.08,NA
series of educational videos has been,173.76,3.839,177.599,NA
helpful for you,176.08,3.92,180.0,NA
and if you like the video or if you,177.599,5.28,182.879,NA
would require any additional information,180.0,5.12,185.12,NA
make sure that you click on this link,182.879,3.28,186.159,NA
below,185.12,2.8,187.92000000000002,NA
so thank you and i sign off here thank,186.159,12.401,198.56,NA
you so much,187.92,10.64,198.56,NA
