text,start,duration,end,dominant_emotion
hey guys in this video we're gonna talk,0.03,3.95,3.98,fear
about the different effects from,1.709,5.94,7.649000000000001,fear
diabetes type 2 medication okay and this,3.98,5.02,9.0,NA
is based on someone's question they,7.649,2.641,10.29,NA
wanted to know the different effects,9.0,3.389,12.389,NA
this lady was on different medications,10.29,4.05,14.34,NA
and she wanted to know what they were,12.389,4.381,16.77,NA
doing to her body so I said tell you,14.34,3.87,18.21,NA
what I'll just create a little video on,16.77,3.12,19.89,NA
it just to give you the overall picture,18.21,3.899,22.109,NA
alright so now we have pancreas that,19.89,4.32,24.21,NA
makes the hormone insulin insulin is,22.109,4.201,26.310000000000002,NA
traveling through the blood it responds,24.21,4.139,28.349,NA
to carbohydrates okay and it actually,26.31,5.16,31.47,NA
even protein - it's its goal is to lower,28.349,6.091,34.44,NA
the blood sugar so the pancreas releases,31.47,6.69,38.16,NA
insulin it travels through the blood and,34.44,7.26,41.699999999999996,NA
goes into an insulin receptor the,38.16,6.27,44.42999999999999,NA
insulin receptor then receives it and,41.7,5.609,47.309000000000005,NA
then creates an effect one being lowered,44.43,5.039,49.469,NA
blood sugar and then another of being,47.309,5.371,52.68,NA
storage into either glycogen which is,49.469,6.421,55.89,NA
stored sugar or cholesterol or fat,52.68,4.92,57.6,NA
so there's mainly three different,55.89,4.739,60.629,NA
effects that certain medications create,57.6,6.36,63.96,NA
in this scenario one is there's certain,60.629,5.67,66.29899999999999,NA
medications that increase the production,63.96,4.979,68.93900000000001,NA
of insulin being outputted right through,66.299,6.18,72.47900000000001,NA
here okay so there's this little cell,68.939,5.97,74.90899999999999,NA
called a beta cell that makes insulin so,72.479,3.691,76.17,NA
what are the medication that is very,74.909,5.041,79.95,NA
very popular is called sulfonyl urea so,76.17,6.809,82.979,NA
this medication actually increases the,79.95,5.01,84.96000000000001,NA
amount of insulin being produced by the,82.979,4.68,87.65899999999999,NA
pancreas now if someone has type 1,84.96,4.53,89.49,NA
diabetes and they don't produce any more,87.659,4.591,92.25,NA
insulin this will not work so this just,89.49,5.25,94.74,NA
enhances what's already there all right,92.25,4.799,97.049,NA
the problem with this medication is that,94.74,6.419,101.15899999999999,NA
they also use it for an herbicide yeah,97.049,5.491,102.54,NA
because it blocks the certain amino,101.159,4.17,105.32900000000001,NA
acids in plants so I'm like wow that's,102.54,4.92,107.46000000000001,NA
interesting so is it safe for humans,105.329,3.75,109.079,NA
well I don't know there's some,107.46,2.85,110.30999999999999,NA
definitely some side effects,109.079,3.241,112.32,NA
one being increasing risk of,110.31,5.669,115.979,NA
cardiovascular disease and death that's,112.32,6.24,118.55999999999999,NA
right that's the warning on the label so,115.979,4.71,120.689,NA
here you are trying to regulate your,118.56,5.01,123.57000000000001,NA
blood sugars but then it's increasing,120.689,4.86,125.54899999999999,NA
your chance of dying from a heart attack,123.57,5.79,129.35999999999999,NA
okay not good all right another a,125.549,6.641,132.19,NA
mechanism is works on the receptor,129.36,5.38,134.74,NA
the insulin receptor people with,132.19,5.49,137.68,NA
diabetes type 2 have insulin resistance,134.74,5.76,140.5,NA
so their receptors are not receiving,137.68,5.67,143.35,NA
that hormone very well this is going to,140.5,6.03,146.53,NA
create a failure of the return feedback,143.35,5.52,148.87,NA
