text,start,duration,end,dominant_emotion
I wanted to create a video in a onesie,0.179,5.251,5.430000000000001,fear
and its accuracy it's definitely a great,1.68,6.14,7.819999999999999,fear
test to do as part of your evaluation,5.43,5.129,10.559,sad
but don't put all your eggs in that one,7.82,4.83,12.65,sad
basket because of several reasons,10.559,4.591,15.149999999999999,NA
basically its how much glucose that's,12.65,4.57,17.22,NA
sticking to your red blood cells over,15.15,4.59,19.740000000000002,NA
time so it's an average of blood sugars,17.22,4.71,21.93,NA
for like three months so if you have,19.74,4.949,24.689,NA
high sugar in your blood and it combines,21.93,5.49,27.42,NA
with the protein the red blood cell they,24.689,4.471,29.16,NA
can measure it through a test called a,27.42,3.859,31.279000000000003,NA
once-a-year it's called hemoglobin a1c,29.16,6.149,35.309,NA
now if it's 6.5 or more that would,31.279,7.87,39.149,NA
correlate to a fasting blood glucose,35.309,6.601,41.91,NA
test of 126 milligrams per deciliter and,39.149,7.32,46.469,NA
that would be diabetes also if it's this,41.91,6.629,48.538999999999994,NA
high there's also correlation with,46.469,4.32,50.789,NA
increased retinopathy which is damage to,48.539,3.991,52.53,NA
the retina and they also found if you,50.789,3.961,54.75,NA
decrease it just by one percent your,52.53,5.73,58.260000000000005,NA
death rate goes down from diabetes by 27,54.75,5.34,60.09,NA
percent your micro vascular,58.26,3.92,62.18,NA
complications the problems in the eye,60.09,5.37,65.46000000000001,NA
and also the feet the the vascular,62.18,4.93,67.11,NA
system to the nerves of your toes and,65.46,4.53,69.99,NA
your fingers and your eye goes down by,67.11,6.329,73.439,NA
37 percent also myocardial infarction,69.99,6.0,75.99,NA
goes down by 40 percent,73.439,4.651,78.08999999999999,NA
now here's the problem when you measure,75.99,4.62,80.61,NA
anyone seen if you're anemic and by the,78.09,4.919,83.009,NA
way 30 percent of the population is,80.61,5.52,86.13,NA
anemic this is going to be invalid it's,83.009,5.011,88.02,NA
going to alter the test if you have,86.13,4.71,90.83999999999999,NA
sickle cell that will also invalidate,88.02,4.26,92.28,NA
the test because there's a problem with,90.84,3.75,94.59,NA
the shape of your red blood cell if you,92.28,4.89,97.17,NA
have an iron disease it's gonna alter,94.59,5.55,100.14,NA
the a1c test but what's even worse than,97.17,7.409,104.57900000000001,NA
that is this the red blood cells die a,100.14,8.31,108.45,NA
lot sooner and a diabetic than they do a,104.579,6.601,111.17999999999999,NA
healthy person so the turnover rate for,108.45,6.09,114.54,NA
red blood cells for diabetic it is 81,111.18,6.689,117.869,NA
days versus someone that's healthy it's,114.54,6.719,121.259,NA
a hundred and forty six days so if,117.869,5.82,123.689,NA
you're measuring the red blood cells,121.259,4.771,126.03,NA
with a short period of exposure to,123.689,5.04,128.72899999999998,NA
glucose it can dramatically affect which,126.03,6.0,132.03,NA
shows up on the a1c results because it's,128.729,5.411,134.14000000000001,NA
all about how long,132.03,4.33,136.36,fear
those red blood cells are exposed to,134.14,3.83,137.97,NA
glucose in your blood,136.36,4.86,141.22000000000003,NA
better test would be fasting glucose or,137.97,7.12,145.09,NA
