text,start,duration,end,dominant_emotion
"Peripheral Neuropathy is basically a condition
where you'll have numbness and tingling and",0.269,5.311,5.58,
"burning, usually in your feet, or in your
hands.",5.58,4.299,9.879000000000001,
There's many many causes for peripheral neuropathy.,9.879,5.061,14.94,happy
"The most common is usually either alcohol
or ethanol induced.",14.94,5.63,20.57,happy
Although diabetes is extremely high as well as a cause.,20.57,5.75,26.32,happy
"Chemotherapy or poisons as well as thyroid
conditions such as hypothyroidism or low thyroid levels",26.32,7.91,34.230000000000004,neutral
"Peripheral Neuropathy can be moderately reversible
if the cause is something that can be treated",35.44,7.65,43.089999999999996,neutral
"such as correcting your blood sugars with
diabetes as well as correcting your thyroid levels.",43.09,6.95,50.040000000000006,
"If it's early on-late stage neuropathy doesn't
have a cure, and that's when you need to have",50.2,6.379,56.579,
a chronic pain solution for it.,56.579,1.94,58.519,NA
