text,start,duration,end,dominant_emotion
FRANK: Good afternoon.,2.044,0.916,2.96,
Thank you for joining us.,2.96,1.76,4.72,
"I'm really excited to
introduce Dr. James Shapiro.",4.72,3.19,7.91,
"Dr. Shapiro's been working
on diabetes research",7.91,1.98,9.89,
"for a long time, and
in particular he's",9.89,2.43,12.32,
"credited with
developing the Edmonton",12.32,1.92,14.24,neutral
"Protocol for human islet
cell transplantation, which",14.24,3.264,17.504,
"was published in the New
England Journal of Medicine",17.504,2.166,19.67,
in the year 2000.,19.67,1.58,21.25,neutral
"He's currently
continuing this research",21.25,1.96,23.21,neutral
"at the University of
Alberta in Edmonton, Canada.",23.21,3.25,26.46,neutral
"And he also holds the
Canadian Research Chair",26.46,2.44,28.900000000000002,neutral
"in transplantation and
regenerative medicine.",28.9,4.0,32.9,neutral
"Dr. Shapiro's received
quite a lot of awards,",32.9,3.08,35.98,neutral
"including a Hunterian
medal from the Royal",35.98,1.95,37.93,neutral
College of Surgeons of England.,37.93,2.4,40.33,neutral
"And he's also
recently been inducted",40.33,1.65,41.98,neutral
"as a fellow of the
Royal Society of Canada.",41.98,2.96,44.94,neutral
"And with that, please help
me welcome Dr. Shapiro.",44.94,2.26,47.199999999999996,neutral
"DR. JAMES SHAPIRO: Frank,
thank you very much indeed.",51.342,2.208,53.55,
"It's very kind of you
to invite me to Google.",53.55,2.08,55.629999999999995,
"I'm very impressed
with my tour so far.",55.63,2.362,57.992000000000004,
"And I'm very excited
about the discussion",57.992,1.708,59.699999999999996,
"that we're going to have
later on this afternoon.",59.7,2.041,61.741,
"So it's a great privilege
to be here and be with you",61.741,2.578,64.319,
"and share our hopes and trials
and tribulations and progress",64.319,5.681,70.0,
"in some of the treatments for
the condition of diabetes.",70.0,4.725,74.725,
"So we're trying
to get to a point",74.725,1.375,76.1,
"where we have
diabetes cured once",76.1,1.6,77.69999999999999,
and for all for the future.,77.7,2.07,79.77,
"But it's not easy to do
that in one fell swoop.",79.77,3.07,82.83999999999999,
"So we've got several
strategies, and it's really",82.84,2.2,85.04,
"a team and global effort
in diabetes research,",85.04,3.24,88.28,neutral
"to try and take a point
where we have insulin today",88.28,3.48,91.76,
"and hopefully no injections,
no monitoring for the future.",91.76,2.54,94.30000000000001,
"And I'll try and take
you along that journey",94.3,1.935,96.235,
"of cutting edge islet and stem
cell transplant treatments",96.235,3.675,99.91,
"in the clinic for diabetes
as we move forward today.",99.91,4.06,103.97,
So diabetes.,103.97,0.826,104.79599999999999,
"Most of you will know
what diabetes is,",104.796,1.624,106.42,
"but just the start
of the basics.",106.42,1.57,107.99,
"Diabetes is a condition
where patients",107.99,2.32,110.30999999999999,
"lose the ability to
adjust their blood sugar.",110.31,2.525,112.83500000000001,
"And there are two main
types of diabetes--",112.835,1.75,114.585,
"there are several subtypes--
but two main types.",114.585,2.845,117.42999999999999,
"Type one, where the
pancreas basically",117.43,2.63,120.06,
"has lost its ability
to make insulin.",120.06,2.854,122.914,
"The cells in the pancreas
that make insulin",122.914,1.791,124.705,
are called islets of Langerhans.,124.705,1.995,126.7,neutral
"And inside those collections
of cells there are beta cells,",126.7,2.821,129.52100000000002,neutral
"and those are the beta cells
are the ones that make insulin.",129.521,2.499,132.01999999999998,
"So in someone who has
type I diabetes then",132.02,3.32,135.34,neutral
"the body has basically destroyed
those cells-- destroyed",135.34,3.16,138.5,
"the beta cells inside the
pancreas inside the islets",138.5,2.27,140.77,
that make insulin.,140.77,1.12,141.89000000000001,
"So the patients have an
absolute deficiency of insulin.",141.89,3.625,145.515,
"And the other type
of diabetes-- which",145.515,1.615,147.13,
"is of course much more common
and increasing in number as",147.13,3.12,150.25,
"well-- is type 2
diabetes, where patients",150.25,1.93,152.18,
become resistant to insulin.,152.18,2.11,154.29000000000002,
"And therefore when
they receive insulin,",154.29,1.79,156.07999999999998,
"or the pancreas
is making insulin,",156.08,2.1,158.18,
"the body's needs for
insulin are basically",158.18,3.49,161.67000000000002,neutral
"what the pancreas can
release is insufficient.",161.67,4.95,166.61999999999998,
"So diabetes is a very
common condition.",166.62,2.39,169.01,
"There are about
381 million people",169.01,2.01,171.01999999999998,
"with diabetes in
the world today,",171.02,1.58,172.60000000000002,
"based on the world estimates
from the Diabetes Federation",172.6,3.71,176.31,
2013.,176.31,1.46,177.77,
"Type I diabetes represents about
10% of the world population.",177.77,4.12,181.89000000000001,
"By 2030, this population with
type I and type 2 diabetes",181.89,3.73,185.61999999999998,
will double.,185.62,1.01,186.63,
"So it's going to be a huge, huge
health burden for the future.",186.63,4.33,190.96,
"The national cost of diabetes
in this country and the US",190.96,2.48,193.44,
"alone is greater than $245
billion estimated last year.",193.44,5.77,199.21,
"And that increased from
$174 billion in 2007.",199.21,4.14,203.35,
"And clearly, with
the massive increase",203.35,1.94,205.29,
"in numbers of patients
with diabetes,",205.29,1.85,207.14,
"this is going to become
uncontrollable and super",207.14,2.7,209.83999999999997,neutral
"saturate the ability
of health care systems",209.84,2.41,212.25,
to deliver appropriate care.,212.25,2.924,215.174,
"So insulin has been around for
a long time, as some of you",215.174,2.416,217.59,neutral
may know.,217.59,0.78,218.37,neutral
"Banting/Best-- and this
is Frederick Banting",218.37,3.08,221.45000000000002,neutral
"in the physiology laboratories
in London, Canada in 1920,",221.45,7.39,228.83999999999997,
"1921, 1922 when the
team was working",228.84,2.45,231.29,
"on the discovery of insulin
Banting, Best, Collip,",231.29,2.53,233.82,
and Macleod.,233.82,1.48,235.29999999999998,
"And insulin injection
therapy clearly",235.3,2.02,237.32000000000002,
"has been life-saving for many,
many patients with type 1",237.32,4.085,241.405,
"and some patients
with type 2 diabetes.",241.405,2.215,243.62,
"So injections of
insulin from the outside",243.62,2.49,246.11,
"can substitute for the pancreas'
ability to make insulin.",246.11,5.524,251.63400000000001,
"And we measure insulin
in the number of units.",251.634,1.916,253.54999999999998,
"So most patients will take 20,
30, 40 units on insulin a day.",253.55,3.7,257.25,
"And they measure the number
of units of insulin--",257.25,2.519,259.769,
"it was a crude amount-- it was
the amount of insulin needed,",259.769,3.061,262.83,
"one unit of instant to cause
hypoglycemia in a rabbit.",262.83,3.21,266.03999999999996,
"That's how they
originally discovered it",266.04,1.79,267.83000000000004,
"when Banting and Best
were working on this.",267.83,3.96,271.78999999999996,
"Diabetes is a dangerous
condition to have overall.",271.79,2.97,274.76000000000005,
"Kidney failure is a
problem-- 25 times more",274.76,2.31,277.07,
"risk than the
general population.",277.07,2.45,279.52,
"Heart attacks-- two to
five times more risk",279.52,2.08,281.59999999999997,
than the general population.,281.6,1.71,283.31,
"Strokes-- two to
three times more risk.",283.31,1.63,284.94,
"And life expectancy for
patients with diabetes",284.94,3.58,288.52,
"is at least 10 years shorter
than the rest of the world",288.52,2.59,291.10999999999996,
without diabetes.,291.11,3.04,294.15000000000003,
"Diabetes is the leading
cause of vision loss",294.15,2.53,296.67999999999995,
in working age adults.,296.68,1.55,298.23,neutral
"It's the commonest cause of
end stage kidney failure,",298.23,3.29,301.52000000000004,
"and of non-traumatic
lower limb amputations,",301.52,2.292,303.81199999999995,
"because the blood
vessels basically",303.812,1.458,305.27000000000004,
"become destroyed when the
body's glucose becomes awry.",305.27,5.7,310.96999999999997,
"There's been lots
of improvements",310.97,1.82,312.79,
"in the treatment of diabetes
over the course of time.",312.79,2.4,315.19,
"As I mentioned, before
the discovery of insulin",315.19,1.958,317.148,
"in 1921, 1922, diabetes
was a fatal condition.",317.148,3.702,320.85,
"When insulin was first
tried in patients,",320.85,2.23,323.08000000000004,
"it led to complications--
infection, sepsis.",323.08,4.767,327.847,
"Then there's been
various improvements",327.847,1.583,329.43,
"in different types of insulin--
short acting, long acting",329.43,3.84,333.27,
"insulin-- in different
ways of delivering insulin",333.27,2.15,335.41999999999996,
"over the course of time,
including insulin pumps,",335.42,2.63,338.05,
"including continuous blood
glucose monitoring systems.",338.05,3.18,341.23,
"And the whole idea here is to
try to tighten up the sugar",341.23,2.6,343.83000000000004,neutral
"control so that patients
are at less risk of getting",343.83,3.27,347.09999999999997,
"the end stage complications
of diabetes-- the micro",347.1,2.62,349.72,
"and the macro
complications of diabetes.",349.72,2.13,351.85,
"And the reverse side
of that equation",351.85,1.84,353.69,
"is we try to tighten
up the control",353.69,1.92,355.61,
"as the patients get much
more of this condition, which",355.61,2.81,358.42,
"is a iatrogenic condition--
in other words, caused",358.42,2.46,360.88,
"by doctors-- which is
called hypoglycemia.",360.88,1.92,362.8,
"So when the blood sugar falls
below a certain threshold,",362.8,3.33,366.13,
"then patients
become susceptible,",366.13,1.43,367.56,
"because the brain absolutely
requires glucose to function.",367.56,3.85,371.41,
"As soon as the blood glucose
drops below a certain level,",371.41,3.18,374.59000000000003,
"then the brain can
no longer function.",374.59,2.46,377.04999999999995,
"So islet cell transplantation
has been around since the 1970s",377.05,6.08,383.13,
experimentally.,383.13,1.28,384.40999999999997,
"And first trials in patients
happened in the 1980s.",384.41,3.21,387.62,
"And it really took
off in 2000, and there",387.62,3.032,390.652,
have been several done.,390.652,0.958,391.61,
"I'm now going to
explain and tell you",391.61,1.541,393.151,
"the story about
transportation shortly.",393.151,2.389,395.54,
"But really our indications
for islet transplantation",395.54,2.67,398.21000000000004,
"have been to try to reduce
this risk of hypoglycemia,",398.21,3.94,402.15,
"reducing the risk
of lows in patients",402.15,1.6,403.75,
that are needing insulin.,403.75,2.62,406.37,
"So why do we try to run
the blood sugar low?",406.37,1.91,408.28000000000003,
"This is really based on
some very large trials",408.28,2.73,411.01,
in patients with diabetes.,411.01,1.09,412.09999999999997,
"We know from these
curves for example,",412.1,2.02,414.12,
"as we try to tighten up
the blood sugar control,",414.12,2.0,416.12,
"we can definitely reduce
the risk of complications",416.12,2.16,418.28000000000003,
"such as this one on the right,
called retinopathy, which",418.28,2.333,420.613,
"is where the blood vessels in
the back of the eye accelerate,",420.613,2.817,423.43,
"and grow, and cause
the blindness.",423.43,2.77,426.2,
"But, as we tighten
up the control,",426.2,1.53,427.72999999999996,
"then patients are more and
more at risk of getting lows.",427.73,3.07,430.8,
"And we measure this by
the glycated hemoglobin,",430.8,2.86,433.66,
"which is a marker in the
bloodstream that really tells",433.66,2.252,435.91200000000003,
"you how good or
bad the blood sugar",435.912,1.458,437.37,neutral
control is over several months.,437.37,3.04,440.41,
"So here's a patient that's
wearing a state-of-the-art",440.41,2.91,443.32000000000005,
continuous glucose monitor.,443.32,2.52,445.84,
"And you can see across
day one and day two,",445.84,1.97,447.81,
"this patient has quite
wide fluctuations",447.81,2.24,450.05,
in blood sugar control.,450.05,2.31,452.36,
"And at 8:00 in the
morning on the second day,",452.36,2.6,454.96000000000004,
"you can see the
blood glucose drops,",454.96,1.9,456.85999999999996,
"the patient is on their
own, not monitored.",456.86,2.515,459.375,
"And unfortunately,
that patient's",459.375,1.375,460.75,
"found dead in bed
at 9:00 an hour",460.75,1.96,462.71,
"later, from a fatal
hypoglycemic event.",462.71,2.84,465.54999999999995,
"And fortunately, this
is relatively rare,",465.55,2.02,467.57,
but it does happen.,467.57,1.01,468.58,
"And it happens in young
adults with type 1 diabetes",468.58,2.97,471.55,
that have poor control.,471.55,3.36,474.91,
"Now this is what we can achieve
today with an islet cell",474.91,2.35,477.26000000000005,
"transplant in the
lower panel here.",477.26,1.56,478.82,
"You can see very
wide fluctuations",478.82,2.73,481.55,
"in blood sugar over
the course of time,",481.55,1.96,483.51,
"up until that red arrow
when the patient receives",483.51,2.4,485.90999999999997,
an islet transplant.,485.91,1.41,487.32000000000005,
"This is a transplant that
actually is done in Miami.",487.32,3.25,490.57,
"Dr. Camillo Ricordi shared
this slide and data with me.",490.57,3.08,493.65,
"But it's very typical of
what we can achieve routinely",493.65,2.7,496.34999999999997,
with an islet cell transplant.,496.35,1.25,497.6,
"And here you can see, after
the islet transplant, when",497.6,2.5,500.1,
"the patient discontinues
insulin, the blood sugar",500.1,2.39,502.49,
"control becomes very tight,
is in the normal range",502.49,3.46,505.95,
or near normal range.,505.95,1.244,507.194,
"The price of this however,
is that the patient",507.194,1.916,509.11,
"needs a procedure-- a small
procedure to receive cells--",509.11,3.52,512.63,
"and has to have
immunosuppressive drugs",512.63,1.97,514.6,
"in order for the body not
to reject these cells.",514.6,2.629,517.229,
"They're transplanted
cells from organ donors,",517.229,2.061,519.2900000000001,
"and they are
therefore potentially",519.29,1.619,520.909,
foreign to the body.,520.909,1.431,522.34,
"And also the process
that caused diabetes",522.34,2.62,524.96,
"in the first place, which
is an autoimmune process,",524.96,2.23,527.19,
meaning the body attacks itself.,527.19,2.42,529.61,
"This will happen
again after an islet",529.61,1.92,531.53,
"transparent to the new cells,
unless the anti-rejection drugs",531.53,3.28,534.81,
are given.,534.81,1.5,536.31,
"So there's been real progress
in islet cell transplantation.",536.31,2.809,539.1189999999999,
I'll explain that to you.,539.119,1.041,540.1600000000001,
"But I think we're somewhere
along this hype cycle",540.16,1.94,542.1,
"right now, perhaps
somewhere along",542.1,1.416,543.5160000000001,
the slope of enlightenment.,543.516,1.634,545.15,
"We haven't got to
Nirvana yet, but we're",545.15,1.86,547.01,
"trying to get there along
the plateau of productivity.",547.01,3.59,550.6,
"And still I think
if you can read",550.6,2.46,553.0600000000001,
"and you can Google lots
of negative reviews",553.06,3.002,556.0619999999999,
"on islet transplantation,
because I",556.062,1.458,557.52,
"think the knowledge
in this area probably",557.52,1.77,559.29,
"hasn't reached all
of the community.",559.29,3.114,562.404,
"But I'm sharing with you
today some of the progress.",562.404,2.166,564.57,
"But there's been progress
throughout diabetes.",564.57,2.049,566.619,
"And here for example,
is a trial that",566.619,1.541,568.1600000000001,
"was just completed in
September last year, looking",568.16,2.77,570.93,
"at a special instant pump that
switches off when the blood",570.93,3.19,574.12,
"sugar reaches a certain low
threshold, low glucose suspend.",574.12,4.79,578.91,
"And when this is
applied to patients,",578.91,1.59,580.5,
"then the risk of patients
getting hypoglycemia",580.5,2.62,583.12,
"is certainly a lot less
than it would be otherwise.",583.12,2.685,585.805,
"So there's been
lots of progress.",585.805,1.375,587.18,
"And I'm also very
excited this afternoon",587.18,1.79,588.9699999999999,
"to meet with your Google
contact lens team.",588.97,2.06,591.03,
"Because I think the areas of
monitoring for blood sugar",591.03,2.48,593.51,
"control, and our
ability to monitor",593.51,2.586,596.096,
"the function of our cell
transplant therapies",596.096,1.874,597.97,
"over time with this
kind of technology",597.97,2.09,600.0600000000001,
"will be enormously informative
and allow us to tighten up",600.06,3.63,603.6899999999999,
"our control, minimize
the stress on the cells,",603.69,2.66,606.35,
"and allow us all to learn a
lot about controlling diabetes.",606.35,4.16,610.51,
"So who do we offer an
islet transplant to today?",610.51,2.32,612.83,
"We have two real
major categories--",612.83,3.14,615.97,
"those with patients who have
an islet transplant alone.",615.97,3.01,618.98,
"In other words, they haven't
had a previous transplant.",618.98,2.291,621.2710000000001,
"They have to have
type 1 diabetes",621.271,1.729,623.0,
for more than five years.,623.0,1.204,624.204,
"They have to fail on all the
standard therapies, including",624.204,2.416,626.62,
insulin pumps if available.,626.62,2.185,628.805,
"And we have various
scoring systems,",628.805,1.5,630.305,
"which I won't dwell on,
but they're basically",630.305,2.195,632.5,
"to demonstrate that the
patient has severe lows,",632.5,3.89,636.39,
"despite their ability to control
the glucose as best they can.",636.39,3.74,640.13,
"And about 5% to 10% of
the population with type 1",640.13,2.87,643.0,
"diabetes-- at least
in Canada-- would",643.0,1.7,644.7,
"fulfill these very
strict criteria",644.7,2.1,646.8000000000001,
"to justify adding
immunosuppression and receiving",646.8,3.46,650.26,
a cell infusion.,650.26,2.154,652.414,
"The other side of
the equation are",652.414,1.416,653.83,
"patients who have already
had a successful transplant,",653.83,1.99,655.82,
"like a heart, a lung, or in
this case, a kidney transplant.",655.82,2.7,658.5200000000001,
"So they're already on
the anti-rejection drugs,",658.52,2.12,660.64,
"so they don't have to
face any additional risk",660.64,1.916,662.556,
"except from the minor risk
of the procedure required",662.556,2.804,665.36,
to put the cells in.,665.36,1.42,666.78,
"And islet after kidney
transplant, or second category,",666.78,2.65,669.43,
"is becoming a very
successful category too.",669.43,3.6,673.03,
"So we began with the Edmonton
protocol in the year 2000.",673.03,2.584,675.6139999999999,happy
"It didn't just
begin from nowhere.",675.614,1.416,677.0300000000001,happy
"It began from 30
years of research",677.03,1.77,678.8,happy
"in small and large
animal models.",678.8,2.81,681.6099999999999,happy
"And a terrific collaboration
with several international",681.61,4.13,685.74,
centers across the world.,685.74,2.65,688.39,
"And I think that's one of the
privileges involved in science",688.39,2.81,691.1999999999999,
"and in diabetes
research, is that we",691.2,1.58,692.7800000000001,
"have a very, very close knit
community of scientists working",692.78,3.37,696.15,
"together, willing to share
information and ideas",696.15,2.98,699.13,
"to allow us all to
get to the next step.",699.13,1.83,700.96,
"And it probably is
modeled very nicely",700.96,1.98,702.94,
in the Google organization.,702.94,3.5,706.44,
So we published this in 2000.,706.44,1.817,708.2570000000001,
"This is the New England
Journal of Medicine,",708.257,1.833,710.0899999999999,
"where our first seven
patients receiving islets",710.09,2.07,712.1600000000001,
"under the Edmonton protocol--
that we called subsequently",712.16,2.48,714.64,
"the Edmonton protocol--
where all the patients that",714.64,2.76,717.4,
