text,start,duration,end,dominant_emotion
"Transcriber: Emma Gon
Reviewer: Cathrine Ulstrand",0.0,7.0,7.0,NA
"Hello, my name's Hertling",21.258,1.888,23.146,NA
and I'm a soldier and,23.146,1.34,24.486,sad
-- you probably could tell that.,24.486,2.49,26.976,NA
I've been in the military for 38 years.,26.976,2.45,29.426,NA
I'm thinking of making it a career.,29.426,1.385,30.811,NA
I have seen -- (Laughter) --,30.811,1.888,32.699,sad
I have seen and studied and analysed,32.699,2.879,35.577999999999996,sad
all types of security threats.,35.578,2.48,38.058,NA
I've fought in several wars,38.058,1.653,39.711,NA
"but there's an emerging threat
that we're seeing",39.711,3.368,43.079,NA
"and I'd like to talk a little bit
about today",43.079,2.374,45.453,NA
"that I think will have an effect
on our future,",45.453,4.173,49.626000000000005,NA
"our economy,",49.626,1.81,51.436,sad
our youth,51.436,2.079,53.515,NA
and our economic system.,53.515,2.59,56.105000000000004,sad
It is an emerging threat,56.105,1.867,57.971999999999994,NA
that concerns me significantly,57.972,2.706,60.678000000000004,NA
and it's represented in this picture.,60.678,3.63,64.30799999999999,NA
"Now you might think,",64.308,1.108,65.41600000000001,NA
why is a soldier talking about,65.416,1.832,67.24799999999999,NA
a young man who is obviously inactive,67.248,3.977,71.22500000000001,NA
and perhaps is a little bit overweight?,71.225,2.514,73.73899999999999,NA
And it's because of some things I've seen,73.739,2.788,76.527,NA
in the last several years,76.527,1.917,78.444,NA
and I'd like to talk a little bit about those today,78.444,2.38,80.824,neutral
and related to how I believe,80.824,1.802,82.626,neutral
it could be a national security threat,82.626,1.851,84.477,NA
within the next 20 to 30 years.,84.477,2.493,86.97,NA
"First of all, in 1983,",86.97,3.343,90.313,NA
the Army sent me on something,90.313,1.673,91.986,NA
called a broadening experience.,91.986,1.616,93.602,NA
I was asked to go graduate school,93.602,2.194,95.796,sad
at Indiana University.,95.796,1.207,97.003,sad
"I had studied as an undergraduate 
in International Relations",97.003,2.779,99.782,sad
"but they said, ""Hey we want you to go",99.782,1.715,101.497,sad
"and get a Master's degree
in Exercise Physiology",101.497,3.794,105.291,NA
"and then teach PE at West Point.""",105.291,3.045,108.336,NA
"So I said, ""Okay, sounds like a great idea.",108.336,1.64,109.976,NA
"It's broadening to be sure.""",109.976,2.052,112.028,NA
And I went out there -- (Laugther) --,112.028,2.364,114.39200000000001,NA
I went to Indiana University,114.392,1.522,115.914,NA
and my first class was an anatomy class,115.914,2.776,118.69,NA
and I had an anatomy lab.,118.69,1.601,120.291,NA
I walked into the classroom,120.291,1.656,121.947,NA
and they issued me a cadaver.,121.947,2.677,124.62400000000001,NA
As they did everyone else in the class.,124.624,1.88,126.50399999999999,NA
"And the cadaver I had,
came with a medical history",126.504,3.677,130.181,NA
"The professor told us,
""In order to respect",130.181,2.548,132.729,NA
"the people who have given
their bodies to science",132.729,2.662,135.39100000000002,NA
"we'd ask you to respect them,
too, and you perhaps",135.391,2.334,137.725,NA
wanna name them to remind yourself,137.725,2.48,140.20499999999998,NA
that they were once a person,140.205,1.045,141.25,NA
"although we don't wanna give you
their real name.""",141.25,1.715,142.965,NA
So I named mine Charlie.,142.965,2.024,144.989,NA
Charlie had a medical history.,144.989,1.217,146.20600000000002,NA
He had been a two-pack-a-day smoker.,146.206,3.043,149.249,sad
Charlie had not exercised in the last 20 years.,149.299,3.986,153.285,NA
Charlie was extremely overweight,153.285,2.51,155.795,NA
and Charlie had died of a cardiovascular disease,155.795,3.845,159.64,NA
and he was 46 years old.,159.64,2.913,162.553,NA
"When we pulled him up and we began,",162.553,1.473,164.026,NA
the various students in the room began,164.026,1.715,165.741,NA
our disection of these bodies,165.741,1.716,167.45700000000002,NA
I had a lot of a tougher time,167.457,1.97,169.427,NA
than some of the other students,169.427,1.561,170.988,NA
because I had to cut through,170.988,1.51,172.498,NA
several layers of adipose.,172.498,1.746,174.244,NA
When I got to the internal body cavities,174.244,1.579,175.823,NA
it was amazing to me,175.823,1.417,177.24,NA
comparing Charlie's organs,177.24,1.758,178.99800000000002,NA
"to some of the organs of 
the other students in the class.",178.998,2.452,181.45,NA
The heart was surrounded by fat,181.45,2.888,184.338,NA
several inches.,184.338,0.982,185.32,NA
"One of the tricks our instructors taught us was,",185.32,2.617,187.93699999999998,NA
"you know, we had to through these labs",187.937,2.177,190.114,NA
where we had to name what vein was which,190.114,2.005,192.119,sad
"and what artery was which,",192.119,1.962,194.081,NA
"and the professor said, ""If you pull",194.081,2.319,196.39999999999998,NA
"on an artery, it's like a rubber band.",196.4,1.643,198.043,sad
"If you pull on a vein, it's like 
a guitar string and it'll twang.""",198.043,2.701,200.744,sad
When I pulled on Charlie's arteries and veins,200.744,2.058,202.802,NA
they broke off into my hand.,202.802,2.929,205.731,NA
So I finished grad school,206.607,2.241,208.848,NA
and went to teach at West Point for 3 years,208.848,1.637,210.485,NA
from '83 to '86,210.485,1.544,212.02900000000002,NA
and then after that assignment,212.029,1.502,213.531,NA
I went back to the operational Army,213.531,1.522,215.053,NA
and did things that all soldiers do:,215.053,2.246,217.299,NA
"commanded organizations,",217.3,1.317,218.61700000000002,NA
"trained, went into combat several times,",218.617,2.414,221.03099999999998,NA
and then coming out of combat,221.031,1.706,222.737,NA
as a Division Commander in 2009,222.737,3.756,226.493,NA
the Army decided they wanted to promote me,226.493,2.481,228.974,NA
to three-star General,228.974,1.185,230.159,NA
I think because they wanted to prove,230.159,1.584,231.743,sad
they have a sense of humor.,231.743,1.472,233.215,NA
They then sent me to be the Commander of,233.215,2.894,236.109,NA
Initial Military Training.,236.109,2.343,238.452,NA
"My job was to train
the 160,000 or so soldiers",238.452,4.577,243.029,NA
"or correction: civilians,",243.029,1.947,244.976,NA
that would come into the Army every year,244.976,1.565,246.541,sad
and turn them into soldiers.,246.541,2.478,249.019,NA
What I found when I reported to that assignment,249.019,3.585,252.604,NA
disturbed me.,252.604,1.579,254.18300000000002,NA
Several facts came to my attention.,254.183,1.801,255.98399999999998,NA
"First of all, 75% or more",255.984,4.36,260.344,NA
a little bit more actually,260.344,1.197,261.541,NA
of the civilians who wanted to join the Army,261.541,3.441,264.98199999999997,NA
were not qualified to do so.,264.982,2.91,267.89200000000005,NA
"75% of the 17-24 year olds 
who wanted to join the Army",267.892,3.992,271.884,NA
were not qualified,271.884,1.381,273.265,NA
and the number one reason,273.265,1.017,274.282,neutral
was because they were obese.,274.282,2.234,276.51599999999996,sad
Of the 25% that could join the Army,276.516,2.48,278.99600000000004,NA
what we found on the first day of basic training,278.996,2.335,281.33099999999996,NA
was that about 60% of them,281.331,2.93,284.261,NA
could not pass the PT test,284.261,3.11,287.37100000000004,NA
that we gave on the first day.,287.371,1.686,289.05699999999996,NA
"And that was: 
one minute of push-ups,",289.057,2.052,291.10900000000004,NA
"one minute of sit-ups and
a one-mile run.",291.109,2.542,293.65099999999995,NA
"Now, that's not a difficult test.",293.654,2.038,295.692,NA
But we were finding that,295.692,1.254,296.946,sad
a great majority of our new soldiers,296.946,2.307,299.25300000000004,NA
"coming off the civilian environment,",299.253,1.967,301.21999999999997,NA
could not pass that test.,301.22,2.648,303.86800000000005,sad
I couldn't understand what had happened.,303.868,1.776,305.644,sad
This was not what I had left,305.644,2.382,308.026,sad
studying physical education in 1986.,308.026,4.341,312.367,sad
As we did some analyses,312.367,1.367,313.73400000000004,sad
I realized that a couple of things had changed.,313.734,3.323,317.05699999999996,NA
"First of all, number one
and the primary reason was",317.057,3.74,320.797,NA
starting in the late '90s,320.797,1.23,322.02700000000004,NA
"the majority of our elementary
and high schools",322.027,2.169,324.19599999999997,NA
"stopped teaching PE,",324.196,3.076,327.27200000000005,NA
"and in fact, only five states",327.272,2.199,329.471,NA
of the 50 of our country right now,329.471,2.689,332.16,NA
"have mandatory requirements
for physical education",332.16,2.528,334.68800000000005,NA
between K and 12th grade today.,334.688,3.059,337.747,NA
Five out of 50.,337.747,2.273,340.02000000000004,NA
"Now, you say,
""Okay, well that's interesting,",340.02,2.253,342.27299999999997,NA
"but what does the Army care about that?""",342.273,2.468,344.74100000000004,NA
"Well, we're getting the product of that",344.741,1.933,346.674,sad
but in addition to second and third order effects,346.674,2.204,348.878,NA
were young people that were joining our service,348.878,2.215,351.09299999999996,NA
"could not run, dodge, jump, tumble, roll",351.093,2.757,353.85,NA
the kinds of things you expect soldiers to do,353.85,2.98,356.83000000000004,NA
if they're in combat.,356.83,1.409,358.239,NA
The second thing we found,358.239,2.146,360.385,NA
or that I found or realized was,360.385,1.991,362.376,NA
that our diet had changed radically,362.376,2.884,365.26,NA
in the last 15 years.,365.26,1.905,367.16499999999996,NA
We were supersizing everything.,367.165,2.72,369.88500000000005,NA
"Having been stationed overseas in Germany,",369.885,1.745,371.63,NA
"that's not the case there,",371.63,1.433,373.063,NA
but they were supersizing --,373.063,1.502,374.565,NA
if you want a large fries,374.565,0.98,375.545,NA
"you can get extra large
and extra-extra large.",375.545,2.288,377.833,NA
"You couldn't just get a 16 oz drink,",377.833,1.478,379.31100000000004,NA
"you could get a 24, 42, 64 oz soda.",379.311,3.582,382.893,NA
And that was having a deleterious effect.,382.893,3.021,385.914,NA
It was fascinating to me,385.914,1.764,387.678,NA
"that we were also seeing,",387.678,2.333,390.011,NA
"a scientist told me,",390.011,1.695,391.706,NA
that in the last 15 years,391.706,1.535,393.24100000000004,NA
from the time I left West Point until today,393.241,2.354,395.59499999999997,NA
Americans eat about 30% more calories a day,395.595,3.37,398.96500000000003,sad
than they had in 1983,398.965,1.538,400.503,NA
and about 15 lbs more of sugar a year.,400.503,4.013,404.51599999999996,NA
Phenomenal statistics.,404.516,1.823,406.339,sad
"But the combination
of a lack of physical education",406.339,3.041,409.38,NA
and an increase of poor nutrition,409.38,3.458,412.838,NA
was causing secondary effects.,412.838,2.249,415.08700000000005,NA
"This is the ""O"" food group, by the way.",415.087,2.508,417.59499999999997,NA
"I started calling it the ""O"" food group",417.595,3.238,420.833,NA
"because anything that ends in an ""O""",420.833,1.923,422.75600000000003,NA
is probably not good for you.,422.756,2.767,425.52299999999997,NA
(Laugther),425.523,4.415,429.93800000000005,NA
"I haven't found anything
that ended in ""O"" yet",429.967,2.923,432.89,NA
that was actually very nutritious in nature.,432.89,3.591,436.481,NA
But what we started to do was,436.481,1.749,438.23,NA
we saw some second and third order effects,438.23,1.614,439.844,NA
and this is one of them,439.844,1.847,441.691,NA
