text,start,duration,end,dominant_emotion
hello I'm dr. Kyle Kinmen from certified,3.319,6.431,9.75,sad
Foot & Ankle specialists here to talk to,7.2,4.62,11.82,sad
you today about peripheral neuropathy,9.75,4.259,14.009,fear
and how we can usually reverse those,11.82,3.83,15.65,happy
symptoms with nerve decompression,14.009,4.831,18.84,fear
procedures it's a common misconception,15.65,5.23,20.880000000000003,fear
among the medical community and the lake,18.84,4.8,23.64,fear
community that peripheral neuropathy is,20.88,5.79,26.669999999999998,fear
permanent and so people are very upset,23.64,5.129,28.769,fear
when they hear that peripheral,26.67,3.96,30.630000000000003,fear
neuropathy pain is going to be with them,28.769,4.491,33.26,fear
forever and they're often treated by,30.63,5.19,35.82,fear
narcotic medication anti-seizure,33.26,7.06,40.32,fear
medication antidepressants injections,35.82,6.39,42.21,fear
all types of different modalities that,40.32,4.829,45.149,fear
usually fail and the pain from,42.21,5.31,47.52,fear
neuropathy can be debilitating patients,45.149,5.401,50.55,fear
also suffer keeps them up at night have,47.52,6.269,53.789,fear
trouble sleeping but fortunately despite,50.55,6.72,57.269999999999996,fear
the misconception there are procedures,53.789,5.461,59.25,fear
in the lower extremity that we can do,57.27,4.949,62.219,fear
that will reverse the symptoms and the,59.25,5.189,64.439,fear
pain of peripheral neuropathy ninety,62.219,4.08,66.299,fear
percent of the time in the appropriate,64.439,4.171,68.61,fear
patient this includes diabetic,66.299,4.981,71.28,fear
peripheral neuropathy chemotherapy,68.61,5.1,73.71,fear
induced neuropathy and other types of,71.28,5.729,77.009,fear
neuropathy usually the diagnosis is made,73.71,7.019,80.729,fear
and the confirmation that the patient is,77.009,6.451,83.46,fear
a candidate for procedure is made with a,80.729,5.041,85.77,fear
physical exam we can also confirm that,83.46,4.14,87.6,fear
further sometimes with nerve conduction,85.77,4.86,90.63,fear
studies but most of it we can tell on,87.6,5.19,92.78999999999999,fear
initial evaluation with physical exam,90.63,4.23,94.86,fear
and then assuming the patient is healthy,92.79,4.71,97.5,fear
and able to undergo the procedure it's,94.86,4.71,99.57,fear
an outpatient procedure that's done in a,97.5,4.799,102.299,fear
surgery center takes about 45 minutes,99.57,6.079,105.64899999999999,fear
there are three or four incisions and,102.299,6.481,108.78,fear
the patient has stitches in place for,105.649,6.131,111.78,fear
two weeks postoperatively and usually,108.78,5.549,114.32900000000001,fear
the pain from the neuropathy is gone,111.78,4.89,116.67,fear
when they wake up and if they've had,114.329,4.64,118.969,fear
numbness associated with the neuropathy,116.67,4.65,121.32000000000001,fear
they're very happy to see that they can,118.969,4.631,123.6,fear
again feel their feet in the recovery,121.32,5.009,126.329,fear
room it happens that quickly and so it's,123.6,6.269,129.869,fear
a very rewarding procedure so if you,126.329,3.88,130.209,fear
have,129.869,2.26,132.129,fear
peripheral neuropathy or someone you,130.209,4.081,134.29,fear
know suffers from peripheral neuropathy,132.129,4.711,136.84,fear
please come see us at certified foot and,134.29,4.47,138.76,fear
ankle and we'd love to do this procedure,136.84,4.08,140.92000000000002,fear
if you're a candidate and help to,138.76,4.97,143.73,fear
relieve your pain,140.92,2.81,143.73,fear
[Music],143.77,3.079,146.84900000000002,NA
you,147.27,2.06,149.33,NA
