text,start,duration,end,dominant_emotion
hey this is dr. Barry let's talk for just a few minutes about something called a tenth assist nigricans what the heck is that if I have it what does it mean is it a big deal or not,0.03,21.141,21.171,angry
this is actually a very important medical sign it's a red flag for serious disease and I'm gonna describe what this is to you and I'm gonna tell you what you should do about this okay first of,10.65,27.340000000000003,37.99,NA
all if you know someone who has dark velvety patches of kind of raised leathery feeling velvety feeling skin on their neck under their armpits in their groin even around their navel sometimes,24.75,26.61,51.36,NA
rarely on the face then please share this video with them they need to know that that's actually a risk factor for very serious medical issues and you're sharing this could save them lots of,37.68,21.929,59.608999999999995,NA
suffering and maybe even save their life now let's talk about a can ptosis nigricans what the heck is it and what should you do so as we've said it's a it's a thickening of velvety darkness in,48.899,24.000999999999998,72.9,NA
the skin and there are five different types and I'm gonna go through each different type and tell you kind of what causes that and what if anything you can do about it but some you can do stuff,60.69,22.02,82.71,neutral
about some you cannot so this is the one that either there are severe medical issues that can cause this and so you need to know about this okay now type 1 is familial which means you inherit it,70.74,24.72,95.46,neutral
you can inherit this from your mom or dad or it may be even skips a generation but you can get it genetically okay and that's usually a very mild case you'll be able to see it faintly on your neck,84.39,21.238,105.628,neutral
or in your armpits maybe you're growing but it's not very noticeable from a distance people who are not medically educated you usually won't even know it they'll just think you've got darker,94.829,19.892000000000003,114.721,neutral
skin there and it's usually not a sign of anything bad or serious but the problem is is you don't know if you have type 1 or familial or if you have one of the other four types now type 2 is,104.7,25.198999999999998,129.899,neutral
caused by endocrine problems okay these are the glands in your body that secrete different hormones almost without exception it's caused by insulin resistance okay if you have an,116.28,23.76,140.04,neutral
overabundance of insulin in your system from eating too many carbs they you can develop an endocrine or type-2 a can ptosis nigricans type 3 is obesity now again caused by insulin resistance,129.179,28.500999999999998,157.68,neutral
caused by an overabundance of insulin and glucose in your system and it can lead to these dark patches and so that is a risk factor for metabolic syndrome if you have a cognate Ken ptosis,143.61,22.590000000000003,166.20000000000002,neutral
nigricans you're at increased risk for PCOS for dementia for metabolic syndrome for type 2 diabetes in fact a lot of people that's how their diabetes is diagnosed is they have these dark,154.92,20.840000000000003,175.76,neutral
patches and they go to a dermatologist and he says oh you know what let's check a blood sugar and a fasting insulin level and a c-peptide and sure enough there you go you got type 2 diabetes and,165.54,22.6,188.14,neutral
you didn't even know it hey Ken thoses nigricans can be the kind of red flag that lets you know that something's wrong type 4 can be is caused by drugs different drugs the most common of which,176.55,24.78,201.33,neutral
are the steroids the corticosteroids like prednisone medrol methylprednisolone all of those kind of guys if you take high doses for long periods of time can lead to a can ptosis,188.61,22.95,211.56,neutral
nigricans and so basically again that's because they cause chronically elevated insulin and blood sugar right also if you take super high doses of niacin it can cause a in or a can ptosis nigricans,199.83,29.55,229.38000000000002,neutral
also if you take oral contraceptives they can sometimes rarely lead to this condition okay now type 5 very very important a can ptosis nigricans can also be a red flag for cancer yeah,214.59,29.520000000000003,244.11,neutral
malignancy can lead to these dark velvety patches on your neck or under your arms or in your growing sometimes rarely around the navel or even on the face but usually it's the neck and the,229.62,22.32,251.94,neutral
armpits is where it shows up and so if you have any cancer of the gastrointestinal system the stomach the liver the pancreas that can cause a can ptosis nigricans if you have,240.48,22.47,262.95,neutral
genitourinary bladder kidneys ureters that can also lead to it if you have any of the gynecological cancers ovarian fallopian tube uterine that can also lead to a can ptosis nigricans so if you,251.76,25.77,277.53,neutral
have these dark patches you've got to go see your doctor and you need to be checked for metabolic disease chronically elevated insulin type 2 diabetes pre-diabetes insulin resistance,265.44,24.93,290.37,neutral
and you also if it comes on suddenly if you're not taking any of the drugs I mentioned in type 4 then you need to be really scanned for cancer okay a can thoses nigricans a big deal and so,276.75,26.64,303.39,neutral
if you have a friend or a family member of you're like oh yeah they do have those those velvety dark brown patches that's a big deal they need to see their doctor and be thoroughly evaluated,291.09,20.79,311.88,neutral
either for insulin resistance disordered insulin glucose metabolism or cancer okay so it's a big deal now if you enjoyed this video please take one second hit the subscribe button and,300.6,21.749999999999996,322.35,neutral
consider clicking the little bell right beside it that way every time I have a bright idea like this you'll be one of the very first people to know also if my videos help your health help you live a,312.24,18.39,330.63,neutral
happier healthier life helps you lose some weight you can click on the patreon link right down below it's a quick sign up and you can throw a book or two my way to help me have more time to make,321.51,18.810000000000002,340.32,neutral
more videos just like this this is dr. berry I'll see you next time,330.69,8.77,339.46,neutral
