text,start,duration,end,dominant_emotion
diabetic neuropathy is a result of,0.89,6.009,6.899,fear
damage to the nerves nerves help us to,3.72,5.669,9.389,fear
feel sensations and also play an,6.899,4.441,11.34,fear
important part in the function of our,9.389,5.91,15.299,fear
organs diabetic neuropathy is a,11.34,6.449,17.789,neutral
long-term complication that can develop,15.299,5.911,21.21,neutral
over years or decades with good blood,17.789,6.15,23.939,fear
glucose control neuropathy can be,21.21,6.87,28.080000000000002,fear
significantly delayed or avoided the,23.939,6.571,30.509999999999998,fear
first instances of nerve damage are,28.08,5.34,33.42,fear
likely to be noticed as reduced feeling,30.51,5.639,36.149,fear
in the body's extremities such as the,33.42,6.479,39.899,fear
hands and feet later symptoms may,36.149,8.191,44.34,fear
include tingling numbness pain or,39.899,8.521,48.42,fear
burning feeling in the hands or feet if,44.34,6.989,51.329,fear
nerve damage affects the organs symptoms,48.42,6.09,54.510000000000005,fear
could include delayed stomach emptying,51.329,6.57,57.899,fear
or digestive problems faintness or,54.51,8.76,63.269999999999996,fear
dizziness or sexual difficulties the,57.899,7.59,65.489,fear
symptoms of early in Europe they can be,63.27,4.56,67.83,neutral
detected by having your feet checked at,65.489,5.821,71.31,fear
least once a year a doctor or specialist,67.83,5.82,73.65,fear
will perform simple checks on your feet,71.31,4.68,75.99000000000001,fear
to test for the sensitivity of your,73.65,6.99,80.64,fear
feeling and your blood circulation the,75.99,7.11,83.1,neutral
primary way to treat nerve damage is to,80.64,4.68,85.32,NA
put extra emphasis on maintaining good,83.1,5.4,88.5,NA
blood glucose control if neuropathy is,85.32,6.27,91.58999999999999,NA
causing pain or discomfort painkillers,88.5,7.1,95.6,NA
may be prescribed to ease the symptoms,91.59,4.01,95.60000000000001,NA
