text,start,duration,end,dominant_emotion
"the most common cause of hypoglycemia what is 
hypoglycemia low blood sugar okay what are the  ",0.08,6.32,6.4,
"symptoms dizziness cravings for sugar 
lightheadedness sweating lethargy and  ",6.4,7.04,13.440000000000001,
"being irritable now the simple version of how they 
diagnose this is if you're a diabetic and you have  ",13.44,5.04,18.48,
"blood sugars less than 70 milligrams per deciliter 
you can have hypoglycemia now if you're not a  ",18.48,5.28,23.76,
"diabetic and you're an adult if your blood sugars 
are less than 50 milligrams per deciliter you can  ",23.76,5.52,29.28,
"have hypoglycemia now one type of hypoglycemia is 
called idiopathic hypoglycemia okay now idiopathic  ",29.28,7.2,36.480000000000004,
"means unknown cause so basically they're 
labeling this hypoglycemia we don't know  ",36.48,5.76,42.239999999999995,
"what causes it so it's a nice descriptive term 
another form of hypoglycemia is called idiopathic  ",42.24,5.92,48.160000000000004,
"postpranial syndrome okay now that's a fancy word 
for describing low blood sugar symptoms without  ",48.72,8.48,57.2,
"actually having low blood sugar okay and of course 
the word idiopathic they don't know what causes it  ",57.2,5.84,63.040000000000006,
"and then the other um diagnosis that sometimes 
people get is that it's hypoglycemia caused from  ",63.04,5.6,68.64,
"adrenal fatigue okay because the adrenal hormones 
specifically cortisol and adrenaline are counter  ",69.76,7.52,77.28,
"regulatory hormones so if your blood sugars are 
too low they will raise your blood sugars up so  ",77.28,6.56,83.84,fear
"they kind of protect you against hypoglycemia but 
you know i've done videos on this and i've talked  ",83.84,6.88,90.72,
"about how the adrenals can cause hypoglycemia but 
i really don't think that's the main cause because  ",90.72,8.16,98.88,fear
"if you were to have hypoglycemia and you were 
to focus on fixing your adrenals you're usually  ",98.88,6.56,105.44,fear
"not going to see improvement in your blood 
sugars okay they're not going to actually  ",105.44,3.52,108.96,
"come up to normal so i think it can happen but you 
would have to really have an adrenal gland problem  ",109.52,7.44,116.96,
"where it's completely like shut down where you 
might have a condition called addison's disease  ",116.96,4.56,121.52,
"where the adrenal just doesn't work anymore the 
number one cause of hypoglycemia is hyper insulin  ",121.52,6.4,127.92,
"anemic hypoglycemia it's a fancy term for you 
have high insulin and low blood sugar now if  ",127.92,7.36,135.28,
"you look up the cause of this it'll say insulin 
injections okay if you're a diabetic type one  ",135.28,6.56,141.84,
"tumors okay autoimmune certain drugs especially 
diabetic drugs and prednisone too and genetics  ",143.2,10.8,154.0,
"but what they're missing is the big reason why you 
have hyper insulin okay and that's excessive carbs  ",154.56,8.96,163.52,
"it's amazing the number one cause for high 
insulin is not even mentioned okay hardly anywhere  ",164.24,7.12,171.36,
"when you look this up here's what happens large 
quantities of carbohydrates will then elevate your  ",171.36,6.16,177.52,
"blood sugars at a certain level and your body's 
going to then require large amounts of insulin  ",177.52,7.44,184.96,fear
"to come in there to push your blood sugars down 
and if it's too much force you're going to end  ",184.96,4.16,189.12,
"up with low blood sugars hypoglycemia all right 
now we give this more time and we keep eating a  ",189.12,5.68,194.8,
"large amount of carbohydrates an average person in 
america consumes like 65 of their calories in the  ",194.8,5.92,200.72,
"form of carbohydrates so a lot of people are doing 
this so if you do this over a long period of time  ",200.72,4.48,205.2,
"the body is going to protect itself by developing 
insulin resistance so now we have a situation  ",205.76,5.44,211.2,
"where the cells are not taking in insulin 
okay that alone is gonna jack up insulin more  ",211.2,7.6,218.79999999999998,
"at the same time you're consuming the same amount 
of carbohydrates you're getting so much insulin  ",219.52,5.6,225.12,
"coming in and the body is compensating for there 
is this resistance so you may have normal blood  ",225.12,6.96,232.08,
"sugars but you may have lower blood sugars because 
of all this insulin pushing things down and what  ",232.08,6.96,239.04000000000002,
"is the main treatment for hypoglycemia dextrose 
pills okay sugar pills so you're basically going  ",239.04,5.52,244.56,
"to add more carbohydrates to fix your low blood 
sugar wow whoever is doing that doesn't understand  ",244.56,6.48,251.04,fear
"this mechanism at all now with more time the 
pancreas is going to go you know what i can't keep  ",251.04,5.52,256.56,
"making all this insulin and the beta cells that 
make insulin are just going to get exhausted  ",256.56,4.16,260.72,
"they're going to get tired and they're going to 
retire and go to sleep and not work that much so  ",260.72,4.8,265.52000000000004,fear
"now we have less insulin and now the blood sugars 
go up because there's nothing to push it down  ",265.52,6.24,271.76,
"and this is called pre-diabetes and actual 
diabetes so that's the different phases of  ",272.48,6.32,278.8,
"what happens when you start doing more carbs end 
up with hypoglycemia and end up with hyperglycemia  ",278.8,8.56,287.36,
"what do you need to do if you're new to my channel 
i put the link down below just follow the eating  ",287.36,4.32,291.68,
"plan and it can greatly help you hey before 
you go if you're benefiting from any of my  ",291.68,6.96,298.64,
"content i would love to hear about your success 
story please share it in the link down below",298.64,8.72,307.36,
