text,start,duration
this information is provided for public,0.03,3.84
education purposes only and is not,2.129,3.121
intended to substitute for a,3.87,2.64
manufacturer's directions or,5.25,3.15
consultation with a licensed pharmacist,6.51,3.36
or healthcare professional all,8.4,2.88
medication including those available,9.87,3.389
over-the-counter can be harmful if not,11.28,3.96
used as directed in taking more than one,13.259,4.291
medication could result in harmful drug,15.24,4.32
interactions please consult a licensed,17.55,3.3
pharmacist or healthcare professional,19.56,3.51
before taking any medication or changing,20.85,4.11
and already approved or prescribed,23.07,9.689
medication plan hello my name is Ali and,24.96,9.21
I'm a student pharmacist at the,32.759,2.971
University of Arkansas for Medical,34.17,4.619
Sciences today I'm here to talk to you,35.73,5.129
about your medication Pio glitters own,38.789,4.62
pew glitters own is also known as the,40.859,5.46
brand name Actos peel glitters own comes,43.409,5.4
as a tablet dosage form Pio glitters own,46.319,3.93
is most commonly used for the treatment,48.809,4.861
of type 2 diabetes Pio glitters own is,50.249,6.121
usually taken by mouth once daily and is,53.67,4.95
safe to take either with meals or on an,56.37,4.439
empty stomach some common side effects,58.62,4.41
with pee elitism include swelling in the,60.809,4.92
hands or feet lightheadedness or shaking,63.03,5.76
runny nose and sore throat some less,65.729,4.74
common side effects with pee Oakland A's,68.79,4.17
own include headache heart failure and,70.469,4.171
muscle and bone weakness,72.96,4.74
do not take pee elitism if you have,74.64,5.28
heart failure or are allergic to peel a,77.7,5.04
zone while taking P o close own remember,79.92,4.71
it is important to tell your doctor or,82.74,4.14
pharmacist if you have signs of an,84.63,4.71
allergic reaction such as a rash itching,86.88,4.79
swelling or tightness of the chest,89.34,4.559
change in your vision or blurred vision,91.67,4.809
if you have blood in your urine pain,93.899,5.07
when you urinate increase in the amount,96.479,4.92
of urine produced or pain in your lower,98.969,3.0
back,101.399,2.4
pío glitter zone might weaken your bones,101.969,4.051
so discuss a way to keep them strong,103.799,4.71
with your doctor or pharmacist it's also,106.02,4.05
important to tell your doctor or,108.509,3.21
pharmacist if you start taking new,110.07,3.74
medications vitamins or supplements,111.719,4.47
thank you for watching and if you have,113.81,4.33
any further questions please contact,116.189,5.801
your pharmacist or health care provider,118.14,5.909
you,121.99,2.059
this information is provided for public,125.63,3.81
education purposes only and is not,127.7,3.089
intended to substitute for a,129.44,2.61
manufacturer's directions or,130.789,3.151
consultation with a licensed pharmacist,132.05,3.299
or healthcare professional all,133.94,3.15
medication including those available,135.349,3.481
over-the-counter can be harmful if not,137.09,3.72
used as directed in taking more than one,138.83,4.29
medication could result in harmful drug,140.81,4.289
interactions please consult a licensed,143.12,3.3
pharmacist or healthcare professional,145.099,3.541
before taking any medication or changing,146.42,4.08
and already approved or prescribed,148.64,4.73
medication plan,150.5,2.87
you,159.28,2.06
