text,start,duration
so penelope you came in off a neuropathy,1.439,3.281
uh,3.84,3.76
advertisement i think uh yes you saw,4.72,3.28
this,7.6,2.16
and you were a teacher by trade and you,8.0,4.16
liked you liked things yes,9.76,6.079
i was but i changed careers many moons,12.16,4.48
ago,15.839,2.241
how much better do your feet feel you,16.64,3.52
were having burning and numbness how,18.08,3.119
much better are you now after a,20.16,2.24
neuropathy program,21.199,4.641
wow uh 90 percent better,22.4,7.76
at least i'd say my legs don't move like,25.84,5.599
they were,30.16,5.44
my feet don't tingle the same way,31.439,7.041
there's still a little bit but nothing,35.6,5.2
like it was when i first came in,38.48,6.239
absolutely nothing so i really responded,40.8,7.68
to uh the treatment very well,44.719,6.801
and um i,48.48,7.36
well i'm still sort of in it um,51.52,7.44
on reduced visits but,55.84,5.92
it was extremely helpful and i would,58.96,5.36
definitely recommend this for anybody,61.76,4.719
well thank you for being such a great,64.32,3.92
patient and,66.479,4.96
for all the good things you say so well,68.24,6.72
i don't see them unless i mean them so,71.439,8.0
wonderful well thank you,74.96,4.479
