text,start,duration
I eat lots of steak I ate lots of I ate,0.06,7.789
everything but a vegetable wrestling I,4.68,7.169
started to gain some bad weight only,7.849,10.561
partly was a took steroids and ate,11.849,9.121
abruptly came off steroids because of an,18.41,6.16
injury kept eating when wrestling was,20.97,12.32
over kept eating health from age 30 on,24.57,11.759
probably not very good didn't move well,33.29,5.859
you know loss of breath up and down,36.329,7.471
stairs you know just I was 6 4 but I was,39.149,7.671
340 pounds so I mean I I didn't look,43.8,7.71
enormous ly obese but I was obese the,46.82,7.059
diagnosis was poignant primarily because,51.51,5.729
my dad passed away when he was 53 years,53.879,6.961
old and I was 14 at this time that I got,57.239,6.66
diagnosed I was 53 years old my oldest,60.84,7.68
son was 14 I had flashbacks of me,63.899,8.301
without a dad and that just wasn't,68.52,8.94
something I was willing to let happen to,72.2,7.36
the next generation I was given met,77.46,4.049
Foreman as you know because that's what,79.56,4.32
they give everybody at the VA you I,81.509,4.021
think you come in with a bottle of,83.88,4.349
metformin and attach to your belt they,85.53,4.199
gave me the metformin they told me to,88.229,3.541
take it I took it for three days I,89.729,3.901
brought it back stuck it on a desk and,91.77,4.559
said give me the insulin they said why I,93.63,5.01
said because this stuff makes me sick I,96.329,5.641
said I'd rather take the shots she said,98.64,6.089
once you take insulin you're never,101.97,4.8
coming off of it I said I'll see you in,104.729,5.551
90 days 90 days later I came back I was,106.77,6.48
about 60 pounds lighter all my numbers,110.28,7.92
were within reason the a1c was down to,113.25,8.7
about six five I put the I put the,118.2,5.669
insulin on her desk and said I'm done,121.95,4.05
not taking it any more I'll do the rest,123.869,5.521
of it with diet and exercise with the VA,126.0,6.18
you go you go through doctors like kids,129.39,4.26
go through M&Ms,132.18,5.57
and I went to the doctor I I was,133.65,8.66
approximately 15 16 months,137.75,8.47
post-diagnosis he says son you no longer,142.31,7.0
have diabetes and he wrote non-diabetic,146.22,8.659
in my record I was emotionally wrecked I,149.31,8.819
was John of two Tia's literally two,154.879,6.371
tears because I knew how hard it was to,158.129,7.021
get where I got I knew how hot I worked,161.25,8.069
and and I knew what was at stake so it,165.15,7.669
gave me a a lease on life that I,169.319,7.381
probably didn't deserve my numbers today,172.819,7.361
are all within all under normal ranges,176.7,6.99
under five three a1c all my blood sugar,180.18,5.76
and numbers are to the point now where I,183.69,3.87
don't even bother anymore,185.94,5.159
I don't I haven't I don't check hey I'm,187.56,6.78
Bob Blackburn I reverse type 2 diabetes,191.099,6.181
with the help of two things a whole food,194.34,6.299
plant-based no oil diet and dr. Neil,197.28,6.03
Bonnett without those two things I,200.639,6.231
wouldn't be sitting here today,203.31,3.56
you,212.62,2.06
