text,start,duration
"today we're going to talk about how to reverse 
a condition called acanthosis nigricans okay now  ",0.16,6.56
"what is that that's a situation where you have 
this gray brown hyperpigmentation it's kind of  ",6.72,5.36
"a darkening on the back of your neck on the side 
of the neck on the armpits it could be in certain  ",12.08,6.4
"other places but it has a kind of a velvety 
texture to it and it's symmetrical which means  ",18.48,5.28
"it's on both sides okay or both armpits now it's 
associated with diabetes pcos polycystic ovarian  ",23.76,9.28
"syndrome cushing's syndrome which is high cortisol 
and metabolic disease okay now if you look it  ",33.04,7.52
"up in wikipedia it'll say that the majority of 
cases are idiopathic this is a very fancy word  ",40.56,7.68
"for i don't know what's causing it okay unknown 
cause but this condition is primarily caused by  ",48.24,8.08
"excessive amount of insulin okay hyper 
insulin anemia too much insulin in the blood  ",57.04,6.64
"and parallel with that you have insulin 
resistance so these go hand in hand  ",64.96,4.4
"if you have insulin resistance your body will then 
make more insulin so you're going to have too much  ",69.36,4.24
"insulin and that's what's creating this right here 
and that's why it's associated with diabetes pcos  ",73.6,6.72
"cushing's and metabolic syndrome you can call it 
disease if you want but this is what's behind all  ",80.32,6.96
"these right here now if you look at what wikipedia 
says about hyperinsulinemia what causes that  ",87.28,5.76
"it lists tumor carb malabsorption which i'm not 
sure exactly what that means pancreatic cancer  ",93.76,7.2
"pcos trans fats what are they missing 
they're missing the primary cause okay  ",100.96,7.76
"eating too many carbs i find it very very 
interesting that the actual root cause  ",108.72,5.28
"of hyperinsulinemia is not even on the page 
and so when people read this or study this  ",114.0,6.08
"they're going to go oh maybe i should go to the 
doctor and get a mri or a cat scan and make sure  ",120.08,5.04
"i don't have a tumor or maybe i should go to a 
gi doctor to see if i have carb malabsorption  ",125.12,5.68
"or maybe an oncologist to see if i have pancreatic 
cancer or a fertility doctor to see if i have pcos  ",130.8,7.28
"and so you have all these different specialists 
which have their own specialized knowledge  ",138.64,3.6
"but unfortunately a lot of times they don't look 
at the whole picture and the common thread that is  ",142.88,5.68
"throughout all of these conditions right here 
and this is it right here so very simply what  ",148.56,5.6
"you need to do if you have this condition is 
lower the amount of carbs in your diet that's  ",154.16,5.28
"really all you need to do and it will reverse 
this right here very very a to b give it a shot  ",159.44,6.72
"then comment down below hey before you go real 
quick i have a course entitled how to bulletproof  ",166.8,7.28
"your immune system it's a free course i want 
you to take it and here's why here's you  ",174.64,6.24
"here is your environment everyone 
is focused on this over here  ",182.56,7.2
"avoiding your environment but what about here 
what about strengthening your immune system  ",189.76,6.24
"that's what's missing this course will show 
you how to bulletproof yourself and so you  ",196.56,4.8
"can tolerate and resist your environment much 
better by strengthening your own immune system  ",201.36,6.24
"i put a link down in the description right 
down below check it out and get signed up today",207.6,7.92
