text,start,duration
"Have you or a family member been told
you have prediabetes? Prediabetes means",0.65,6.28
"blood sugar is higher than normal, but
it's not high enough to be type 2",6.93,4.589
"diabetes. Think of prediabetes as a
traffic light that goes from green to",11.519,7.471
"yellow to red. Prediabetes is the yellow
warning light. It affects both adults and",18.99,6.75
"children and prediabetes is on the rise
in children and in teens. Many people",25.74,6.839
"don't have any symptoms, but having high
blood sugar increases the risk of",32.579,6.061
"developing type 2 diabetes. Over time
high blood sugar can damage the eyes, the",38.64,7.079
"kidneys, the nerves, and other organs. By
taking action now you can help prevent",45.719,6.331
"or delay type 2 diabetes. Here's what you
can do to help bring blood sugar back to",52.05,6.419
"the normal range. First, move more every
day. When you're active, your muscles use",58.469,6.66
"the sugar in your blood for energy. How
can you be more active? Turn off screens",65.129,5.641
"and take walks together as a family. Take
the stairs instead of the elevator. Bike",70.77,5.97
"to school or work. What else can you do?
Swap sugary drinks for water or milk.",76.74,7.91
"Sodas, sports drinks, and even juice can
have as much sugar as a candy bar. That's",84.65,7.84
"a lot of sugar to drink. Eating healthy
is important. Fill half your plate with",92.49,5.669
"vegetables, have healthy snacks like an
apple with peanut butter or a handful of",98.159,5.761
"nuts. For kids and younger teens the goal
is to maintain weight or slow down",103.92,5.4
"weight gain as they grow. Focus on
creating healthy habits that will last a",109.32,4.979
"lifetime.
For older teens and adults who are",114.299,4.551
"overweight, losing five to seven percent
of body weight can reduce the risk of",118.85,5.49
"developing type 2 diabetes by nearly 60%.
Prediabetes is serious but it's not too",124.34,6.93
"late to make healthy changes and turn
things around.",131.27,10.109
