text,start,duration
you know the nerve support formula is,1.439,3.36
something that i've been using my office,3.28,3.68
for the last two or three years,4.799,3.281
um,6.96,2.96
i mean hands down it's it's the best,8.08,3.599
treatment for peripheral neuropathy,9.92,4.32
medical doctors do not have a clue of,11.679,4.641
what to do for that condition when your,14.24,5.6
blood sugar goes too high as in diabetes,16.32,4.719
what's going to happen is that it's,19.84,2.88
going to destroy your nerves it's going,21.039,3.761
to actually destroy the the,22.72,3.44
coating around the nervous system,24.8,3.76
causing numbness tingling and even,26.16,4.72
burning in the feet or the hands,28.56,5.2
um i've been in practice for 25 years,30.88,4.96
i've trained over 2 500 doctors in the,33.76,3.92
field of alternative care,35.84,4.96
i worked on 35 000 clients i've done 4,37.68,4.64
800 seminars i worked at harvard,40.8,3.759
university as an associate professor,42.32,4.719
so i've been out there in the area of,44.559,4.16
healthcare,47.039,4.801
and i highly recommend if you have any,48.719,5.201
problems with peripheral neuropathy to,51.84,4.16
try this product now i'm not getting,53.92,4.24
paid for this endorsement but it's just,56.0,5.12
the truth you know so if it if you have,58.16,5.039
any of these conditions diabetes,61.12,5.28
epiphylopathy give it a try,63.199,7.401
i think it could really help you,66.4,4.2
