text,start,duration
guys welcome to be body fitness i'm in,0.16,3.92
front of the motivation wall something,2.48,4.08
that's meaningful to us is to empower,4.08,5.76
our members slash your employees to be,6.56,6.56
thankful to be authentic to be real to,9.84,6.08
be strong to be transformed and if you,13.12,4.48
entrust us with your employees i,15.92,3.92
guarantee we will not let you down they,17.6,4.56
will have the energy the stamina the,19.84,4.96
motivation to get the work done at be,22.16,4.08
body fitness for our corporate,24.8,3.68
membership we're offering a 20 discount,26.24,4.879
now you have to maintain 10 or more,28.48,5.52
employees but it's a 20 discount on all,31.119,4.321
of our memberships you can go with,34.0,4.0
whatever membership you want it's 20 off,35.44,4.24
every single month think about it here,38.0,4.0
at be body fitness your employees come,39.68,4.16
they're in an amazing workout they're,42.0,4.16
inspired to share their goals their,43.84,4.559
dreams their ambitions they want to take,46.16,4.239
themselves to the next level that's what,48.399,4.8
we do with peabody fitness we inspire,50.399,5.281
your employees our members to get to the,53.199,6.641
next level let's do it,55.68,4.16
