text,start,duration
My name is Matthew Deluhery.,7.504,1.166
"I'm an emergency
medicine physician",8.67,2.15
"with Wheaten Franciscan
Healthcare, an emergency",10.82,2.6
"medicine specialist, working in
Milwaukee and Waukesha County.",13.42,3.92
"Today's lecture is going
to be about the GI tract,",17.34,2.84
"as well as the GU and
reproductive tract.",20.18,2.674
"We're going to spend
quite a bit of time",22.854,1.666
"on the pathology of those
particular tracts, that's",24.52,6.81
going to be towards the end.,31.33,1.37
"The first part of this is going
to be a review of the anatomy",32.7,2.8
"and physiology of both the macro
and micro parts of the anatomy.",35.5,6.54
We'll get right into it.,42.04,1.06
"The GI system, I think we're
all very familiar with.",43.1,3.17
"It's for the digestion
of food and then",46.27,2.59
"you absorb your water
and your nutrients.",48.86,3.29
"It's also part of the
detoxifying system,",52.15,2.1
"we'll talk quite about that when
we talk about the liver as well",54.25,4.19
as the GI role with it.,58.44,4.04
"Any disturbance, certainly
in the GI system,",62.48,2.18
"not only affects that
particular system",64.66,2.24
"but can affect the body's
homeostasis in its entirety",66.9,4.95
with it.,71.85,2.9
"Grossly, I think we're quite
familiar with the GI system.",74.75,3.25
"It makes a lot of intuitive
sense to paramedics.",78.0,3.09
"They've dealt with
it quite a bit.",81.09,2.18
"All we have to envision is
what happens when you eat",83.27,2.3
"and when you swallow, starting
with the oral cavity going down",85.57,3.9
"into the pharynx, the
esophagus, into the stomach,",89.47,2.91
"small intestine, large
intestine, and the rectum.",92.38,2.844
"The important take
home point, and it'll",95.224,1.666
"be emphasized several times,
is that the GI system is not",96.89,3.36
"only the physical areas that
the food touches, but also all",100.25,3.57
"the different organs that
contribute to this homeostasis,",103.82,4.01
"like the liver, the gallbladder,
the saliva producing glands",107.83,5.05
with it.,112.88,0.5
"And that's very
important to remember",113.38,1.61
"when you consider the GI system
as a whole and different areas",114.99,4.28
"that can go wrong with it
that critical care paramedics",119.27,2.66
need to be familiar with.,121.93,2.67
"In particular, some of
these accessory organs,",124.6,2.23
"like the salivary glands,
we don't necessarily",126.83,2.77
"think of when we think
of the GI system,",129.6,2.31
"but certainly
they're immediately",131.91,2.5
