text,start,duration
"hey guys welcome to episode 7 of the
strength series these episodes are about",0.03,4.829
"gaining muscle and cutting fat,
specifically for guys. In this episode",4.859,4.41
"I'm going to talk about how to increase
your insulin sensitivity.  In the last",9.269,4.381
"episode I talked about insulin
resistance. If you're insulin resistant",13.65,4.049
"you're more likely to store any
carbohydrates you eat as fat. When you",17.699,4.051
"eat carbohydrates or a large portion of protein, that gets
broken down and glucose is released into",21.75,5.279
"the bloodstream. Your body needs to deal
with that so your pancreas is going to",27.029,4.201
"release insulin. You have receptors in
your muscle and fat cells and they're",31.23,4.829
"going to activate in the presence of
insulin and they're going to draw the",36.059,3.721
"glucose out of the bloodstream. When you
are having sugary foods or you're snacking",39.78,5.07
"throughout the day you're triggering
lots of these blood sugar spikes and",44.85,3.99
"that's going to release insulin every
single time. Eventually your receptors",48.84,4.289
"become less responsive to insulin so
your pancreas needs to release more to deal",53.129,4.741
"with the same amount of glucose.
If you're insulin resistant you release 5",57.87,5.189
"to 7 times as much insulin as a regular
person would. Why is that a problem? Well",63.059,5.431
"that's a problem because ""In the presence
of any insulin all fat burning hormones",68.49,5.82
"are shut down"". When you eat carbohydrates
your body is switching off fat-burning",74.31,5.07
"mode in order to deal with the food that
you just ate. Your goal is to be more",79.38,4.379
"sensitive to insulin because we're
talking about those receptors in your",83.759,3.511
"body. You want them to jump into action
at the smallest release of insulin. So",87.27,4.77
"that is true whether you're trying to
gain muscle or lose fat that's because",92.04,4.079
"as well as keeping you burning fat by
controlling your insulin you can also",96.119,3.871
"help build muscle more effectively. So
with that in mind here are 15 ways to",99.99,4.919
"increase your insulin sensitivity
starting today. Number one: stop eating",104.909,4.591
"six times a day. It's fine if you're
having a moderate dose of protein and",109.5,4.14
"maybe some healthy fats but if you're
having a banana mid morning then insulin",113.64,3.869
"is being released. Two: avoid sugary drinks. 
Around half of the sugar in things like",117.509,5.101
"Coke and Pepsi as well as sports drinks
is fructose. That is a fruit sugar and can",122.61,5.489
"only be dealt with by the liver. In too
high a dose it will interfere with",128.099,3.901
"insulin signaling
and cause fat storage. Three: limit your",132.0,3.96
"fruits. As I said we want to manage
fructose. In order to improve your",135.96,3.96
"insulin sensitivity it's a good idea to
cut down on high fructose fruits like",139.92,4.32
"bananas and apples as well as most dried
fruits. A limit of 1 to 2 pieces a day is",144.24,5.91
"said to be effective. Four: avoid
sweeteners. Just because there's zero",150.15,3.75
"calories doesn't mean they can't trigger
insulin. This study showed a 20% increase",153.9,5.1
"in insulin when someone consumed a drink
with artificial sweeteners in it",159.0,4.14
"compared to water when taken with the
meal. So it's best to stick with water",163.14,4.8
"and avoid diet drinks particularly at meal
times. Five: reduce your body fat. This is",167.94,5.16
"particularly true if you're obese as
you're likely already storing the carbs",173.1,3.6
"that you eat as body fat. If you follow a
lower carb diet you should be able to",176.7,4.38
