text,start,duration
"In my practice I see a lot of patients with
a diagnosis called peripheral neuropathy.",0.25,4.09
"Peripheral neuropathy is where the nerves
in the feet generally don't work as well as",4.34,4.35
they should for one reason or another.,8.69,1.77
"The most common cause of this is diabetes,
however there is innumerable amounts of different",10.46,4.719
causes of peripheral neuropathy.,15.179,1.961
"And one of the things that our task is is
trying to figure out what's that cause.",17.14,3.07
"And if so, how can we treat that cause?",20.21,2.87
"Most common symptoms of peripheral neuropathy
include cold sensations, numbness, tingling",23.08,5.41
"in the feet, pins and needles, burning pain
in the feet as well as balance issues and",28.49,4.86
lightheadedness upon standing.,33.35,1.95
"When patients come for treatment for peripheral
neuropathy, other than the actual cause of",35.3,4.841
"the disorder itself, most commonly that's
in the form of a bothersome tingling, pins",40.141,4.709
and needles or burning pain.,44.85,1.96
"We treat this with a multitude of different
we call neuropathic pain agents, which are",46.81,5.61
"medications that dull nerve sensations and
nerve pain.",52.42,2.5
