text,start,duration
"Hurry up there, because I have a date with my girlfriend!",0.0,1.72
"[Notary]
Is that true ?",1.72,0.72
"No, but hurry anyway.",2.44,2.02
"So as you know, Mr. Grenier,",4.46,1.9
your auntie died.,6.36,2.84
"She left us after a 
tragic car accident.",9.2,2.58
Did she have a car license?,11.78,1.32
"No, she suffocated after
 swallowing a Majorette car, but ...",13.66,3.88
she left you various items.,17.54,1.72
Including this letter. Here.,19.26,1.6
"My God, but ... I cannot read it.",23.72,2.54
Looks like Elvish!,26.88,1.5
"[Notary]
It is upside down.",28.38,1.04
"Oh yeah, shit.",29.42,1.02
"[Voice of Auntie]
""My dear little Grenier,",32.04,1.68
"if you read this letter,",33.72,1.36
is that I suffocated myself,35.08,1.58
eating a delicious Majorette car,36.66,2.58
"and as I know that there will be
a close up of your face",39.92,3.0
to pretend that you read the letter ...,42.92,2.0
Here.,44.92,1.72
"I bequeath you a pair of maracas,",46.64,2.5
a handful of rotten games,49.14,1.72
and three million euros.,50.86,1.24
PS:,52.68,0.92
I was joking when I said three million euros.,53.6,2.34
Ha ha.,55.94,1.46
"Here, so that being said,",57.4,2.26
"about my fees, 
my secretary will share ...",59.66,1.98
"[Deep voice] I ... I have to go,",61.64,1.4
Justice calls me.,63.04,1.46
[Explosion],65.06,2.12
[Squeaky chair noise],72.84,3.86
[Generic],80.26,5.0
"Hello everyone,
so today a little special episode",116.6,2.68
"since it will make a bulk of several games, actually.",119.28,2.66
"You know, when we choosing games 
before the shooting,",121.94,2.34
we often falls on games...,124.28,2.16
"that are very poor or very bizarre,",126.44,2.16
"but are also too empty
to make a complete test about it.",128.6,2.58
"So well here, this time around, we'll take all these games",131.18,2.4
and we will do a bulk.,133.58,1.12
"So, let's see  the first one:",135.1,1.36
"""Alf"", on Master System, released in 89 in France,",136.46,2.9
adapted from the series of the same name.,139.36,1.34
"So good, I conceive that now I am old,",140.7,2.52
younger may not know the series.,143.22,1.7
"So to recap,",144.92,0.96
"Alf is a series that involves
an alien who eats cats",145.88,3.14
"and completely randomly placed laugh track.
.",149.02,2.54
"""Yes, and if they plant needles in his body?""",152.52,2.52
[Fake laughs],155.04,1.28
"Wait, that's not funny!",156.9,1.02
"The game, therefore, is as a platform game,",158.84,2.0
We walk between your home where you came,160.84,2.46
"and the main street, trying to
avoid weird guys",163.3,2.58
trying to catch you.,165.88,1.14
"It's funny, I always believed in the series Alf
remained in the house",167.94,2.86
"just so people do not see,",170.8,1.4
"and there, it seems not to shock people to see
alien who walks in the street.",172.2,3.3
"So obviously, the workability of the game
is unbearable",176.12,2.94
"and above all, it don't looks like that when you see it,",179.06,1.7
